Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
登場人物,731,,,,776,,,,,ステファン=カンテミール,ミハイの父。ランディア公国カンテミール領主の長子として生まれる,,,,range,
登場人物,734,,,,776,,,,,ダリア=カンテミール,ミハイの母,,,,,
登場人物,748,,,,769,,,,,アンドレイ=カンテミール,ステファンとダリアの長男。公国騎士団に所属するが反乱貴族討伐戦に参加したときの傷から破傷風を発症して死亡,,,,,
登場人物,752,,,,776,,,,,ディヴィッド＝カンテミール,"ステファン＝カンテミールとイオアナ＝カンテミールの次男として生まれる。ミハイとは九歳差。アンドレイの死後、ステファンの後継者となり、ダリアと関係を結ぶ
",,,,,
登場人物,,,,,,,,,,,,,,,,
登場人物,,,,,,,,,,,,,,,,
登場人物,,,,,,,,,,,,,,,,
登場人物,,,,,,,,,,,,,,,,
登場人物,,,,,,,,,,,,,,,,
登場人物,,,,,,,,,,,,,,,,
登場人物,,,,,,,,,,,,,,,,
