Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
スコットランド,1371,,,,1714,,,,,ステュアート朝,,,,,background,blue
イングランド,409,,,,825,,,,,七王国時代,,,,,background,red
イングランド,1016,,,,1042,,,,,デーン朝,,,,,background,yellow
イングランド,1042,,,,1066,,,,,サクソン系王朝,,,,,background,red
イングランド,1066,,,,1154,,,,,ノルマン朝,,,,,background,yellow
イングランド,1154,,,,1484,,,,,プランタジネット朝,,,,,background,pink
イングランド,1485,,,,1603,,,,,テューダー朝,,,,,background,green
イングランド,1603,,,,1714,,,,,ステュアート朝,,,,,background,blue
スペイン,718,,,,1503,,,,,レコンキスタ,,,,,background,red
スペイン,1504,,,,1699,,,,,ハプスブルク朝,,,,,background,red
スペイン,1700,,,,1807,,,,,ブルボン朝,,,,,background,red
スペイン,1808,,,,1812,,,,,ボナパルト朝,,,,,background,red
スペイン,1813,,,,1867,,,,,ブルボン朝,,,,,background,red
スペイン,1868,,,,1869,,,,,空位,,,,,background,red
スペイン,1870,,,,1872,,,,,サヴォイア朝,,,,,background,red
スペイン,1873,,,,1874,,,,,第一共和制,,,,,background,red
スペイン,1875,,,,1930,,,,,ブルボン朝,,,,,background,red
スペイン,1931,,,,1938,,,,,第二共和制,,,,,background,red
スペイン,1939,,,,1974,,,,,フランコ政権,,,,,background,red
スペイン,1975,,,,now,,,,,ボルボン朝,,,,,background,red
フランス,461,,,,751,,,,,メロヴィング朝,,,,,background,pink
フランス,751,,,,986,,,,,カロリング朝,,,,,background,pink
フランス,987,,,,1327,,,,,カペー朝,,,,,background,pink
フランス,1328,,,,1587,,,,,ヴァロワ朝,,,,,background,pink
フランス,1589,,,,1792,8,10,,,ブルボン朝,,,,,background,pink
ドイツ,843,,,,917,,,,,カロリング朝,,,,,background,black
ドイツ,919,,,,961,,,,,ザクセン朝,,,,,background,black
ドイツ,962,,,,1253,,,,,三王朝時代,,,,,background,black
ドイツ,1254,,,,1272,,,,,大空位時代,,,,,background,black
ドイツ,1273,,,,1437,,,,,跳躍選挙時代,,,,,background,black
ドイツ,1438,,,,1806,,,,,ハプスブルク朝,,,,,background,black
ドイツ,1815,6,9,,1866,8,23,,,ドイツ連邦,,,,,background,black
ドイツ,1871,1,18,,1918,11,9,,,ドイツ帝国,,,,,background,black
中国統一,-221,,,,,,,,,秦の統一,,,,,box,
中国統一,-202,,,,,,,,,前漢の統一,,,,,box,
中国統一,280,,,,,,,,,西晋の統一,,,,,box,
中国統一,589,,,,,,,,,隋の統一,,,,,box,
中国統一,626,,,,,,,,,唐の統一,,,,,box,
中国統一,979,,,,,,,,,北宋の統一,,,,,box,
中国,-770,,,,-404,,,,,春秋時代,,,,,background,
中国,-403,,,,-222,,,,,戦国時代,,,,,background,
中国,220,,,,279,,,,,三国時代,,,,,background,
中国,304,,,,439,1,1,,,五胡十六国時代,,,,,background,
中国,439,12,31,,589,,,,,南北朝時代,,,,,background,
中国,907,,,,960,,,,,五代十国時代,,,,,background,
中国,-771,,,,-206,1,1,,,秦,,,,,range,
中国,220,,,,265,,,,,魏,,,,,range,
中国,265,,,,316,,,,,西晋,,,,,range,
中国,317,,,,420,,,,,東晋,,,,,range,
中国,581,,,,618,1,1,,,隋,,,,,range,
中国,618,12,31,,907,,,,,唐,,,,,range,
中国,960,,,,1127,1,1,,,北宋,,,,,range,
中国,1127,12,31,,1279,,,,,南宋,,,,,range,
中国,1271,,,,1635,,,,,元,,,,,range,
中国,1368,,,,1644,,,,,明,,,,,range,
中国,1616,,,,1912,,,,,清,,,,,range,
