Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
外部環境,1980,,,,1990,,,,,好調であったコンピュ ータ事業,,,,,,
外部環境,1990,,,,2000,,,,,景気の後退とダウンサイジングの波➡メインフレームの売上に陰り,,,,,,
外部環境,2000,,,,,,,,,★ケース時点,,,,,,
FSAS,1995,,,,,,,,,上場宣言,,,,,,
FSAS,1996,4,,,,,,,,富士通サポート・テクノロジーと合併,,,,,,
FSAS,1989,3,,,,,,,,会社設立　富士通のコンピュー タ保守部門が分離独立,,,,,,
業績,1990,3,,,,,,,,237憶円,,,,,,
業績,1997,3,,,,,,,,929憶円,,,,,,
業績,1999,3,,,,,,,,1572憶円,,,,,,
FSAS,1989,,,,,,,,,富士通カスタマエンジニアリングとして分社,,,,,,
FSAS,1996,4,,,,,,,,社名変更（FSAS）,,,http://www.westatic.com/img/dict/dkijt/guericke_test2.jpg,,,
FSAS,1994,6,,,,,,,,桑原氏社長就任,,,,,,
改革,1996,,,,1998,,,,,MCPアワード受賞,,,,,,
改革,1999,,,,,,,,,スペシャル・アワード受賞,,,,,,
改革,1996,10,,,,,,,,新生FSAS宣言（サービスプロバイダーNo.1）,,,,,,
改革,1996,8,,,,,,,,意識調査（CIアンケート）,,,,,,
改革,1997,2,,,,,,,,意識調査（CIアンケート）,,,,,,
改革,1996,12,,,1997,2,,,,トップ・ビジョン浸透キャンペーン,,,,,,
