Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
年号,1868,1,25,,1912,7,30,,,明治,,,,,background,yellow
年号,1912,7,30,,1926,12,25,,,大正,,,,,background,
年号,1926,12,25,,1989,1,7,,,昭和,,,,,background,yellow
年号,1989,1,7,,2018,12,31,,,平成,,,,,background,
展覧会,1945,9,,,1945,,,,,三岸節子展,"会場：日動画廊（銀座）
所感：戦後初の個展（出典：『女性画家の全貌。』巻末年表）",,,,,
展覧会,1945,12,,,1945,,,,,日本女流美術家協会第一回展,会場：日本橋三越本店（出典：『女性画家の全貌。』巻末年表）,,,,,
展覧会,1946,11,,,1946,,,,,現代女流画家展,会場：北荘画廊（日本橋）（出典：『女性画家の全貌。』巻末年表）,,,,,
展覧会,1947,7,,,1947,,,,,女流画家協会第一回アンデパンダン展,"会場：東京都美術館
所感：第九回展までアンデパンダン形式をとる。（出典：『女性画家の全貌。』巻末年表）",,,,,
展覧会,1961,1,,,1961,,,,,近代百年を彩る女流画家展,会場：日本橋高島屋（出典：『女性画家の全貌。』巻末年表）,,,,,
展覧会,1968,1,,,1968,,,,,第一回女流秀作美術展,"会場：日本橋東急百貨店
主催：東京新聞（出典：『女性画家の全貌。』巻末年表）",,,,,
展覧会,1968,4,2,,1968,6,9,,,特別展　おんな100年：明治・大正の女／昭和の女,会場：山種美術館,http://www.nact.jp/exhibitions1945-2005/exhibitions.php?museum=%E5%B1%B1%E7%A8%AE%E7%BE%8E%E8%A1%93%E9%A4%A8,,,,
展覧会,1975,4,3,,1975,6,1,,,特別展　日本画の女流展,会場：山種美術館,http://www.nact.jp/exhibitions1945-2005/exhibitions.php?museum=%E5%B1%B1%E7%A8%AE%E7%BE%8E%E8%A1%93%E9%A4%A8,,,,
展覧会,1978,10,,,,,,,,特別展示　奥原晴湖展,会場：埼玉県立博物館（出典：『女性画家の全貌。』巻末年表）,,,,,
展覧会,1979,10,,,,,,,,有馬さとえ遺作展,会場：日本橋三越本店（出典：『女性画家の全貌。』巻末年表）,,,,,
展覧会,1980,3,1,,1980,3,30,,,桂ゆき展,会場：山口県立美術館,http://www.nact.jp/exhibitions1945-2005/exhibitions.php?museum=%E5%B1%B1%E5%8F%A3%E7%9C%8C%E7%AB%8B%E7%BE%8E%E8%A1%93%E9%A4%A8,,,,
展覧会,1980,11,15,,1980,11,23,,,第一回　日本の美　現代女流美術展,"会場：上野の森美術館
主催：（財）日本美術協会・上野の森美術館、（財）彫刻の森美術館
所感：1999年第20回まで開催。（出典：『女性画家の全貌。』巻末年表）",http://www.ueno-mori.org/tenji/past/jyoryu.html,,,,
