Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
スターダスト,2012,4,,,2015,4,,,,ももいろクローバーZ,百田夏菜子,,,,,
スターダスト,2013,5,,,2015,7,,,,チームしゃちほこ,伊藤千由李,,,,,
スターダスト,2013,12,,,2016,5,,,,私立恵比寿中学,中山莉子,,,,,
スターダスト,2015,1,,,2017,1,,,,3B junior,小島はな,,,,,
iDOL Street,2015,8,,,2017,3,,,,わーすた,坂元葉月,,,,,
iDOL Street,2016,2,,,2016,7,,,,トーキョー夢ぴよ組(→スパガ),阿部夢梨,,,,,
iDOL Street,2016,3,,,2018,3,,,,GEM,森岡悠・小栗かこ,,,,,
その他,2018,2,,,2018,4,,,,転校少女歌撃団,古森結衣,,,,,
スターダスト,2018,5,,,2019,11,,,,ロッカジャポニカ(→B.O.L.T),平瀬美里,,http://www.westatic.com/img/dict/dkijt/guericke_test2.jpg,,,
スターダスト,2018,11,,,2019,10,,,,アメフラっシ,小島はな,,,,,
iDOL Street,2019,1,,,now,,,,,SUPER☆GiRLS,門林有羽,,,,,
その他,2019,9,,,now,,,,,Luce☆Twinkle Wink,深沢紗希,,,,,
スターダスト,2019,3,,,2019,8,,,,CROWN POP,三田美吹,,,,,
