Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
Japan,2019,,,,,,,,,Mobile house / Akiko Takeda,株式会社SAMPOが建設した旅行者武田晶子設計のオーダーメードのモービルハウス。小さな丸い窓と屋根に上る階段が特徴。その屋根には人工芝とソーラーパネルがあり、テーブルとロフトベッドのある作業スペースである。,,,,,
Japan,2019,,,,,,,,,Van Poco / Otomo Lumber,Otomo Lumberは一般にVan pacoとして知られる移動式の家を作ったが、これはHiaceの中に置くことができ、自分で組み立てることができる。,,,,,
Japan,2010,,,,,,,,,傘庵　UMBRELLA TEA HOUSE / 矢嶋一裕,竹を構造材とし、傘のように畳める茶室,,,,,
Japan,2005,,,,,,,,,新木場モバイル社屋 / 石山修武,,,,,,
Japan,1970,,,,,,,,,セイスイハイムM1 / 大野勝彦+積水化学工業,,,,,,
Japan,1969,,,,,,,,,ホームコア / ミサワホーム,,,,,,
Japan,1997,,,,,,,,,難民緊急支援仮設コンテナ病院計画 / 石山修武,,,,,,
Japan,1950,,,,,,,,,立体最小限住宅 / 池辺陽,池辺陽は工業化、モジュールと設計の関係など戦後建築生産の中心的な問題群に取り組み、最小限住宅やケーススタディハウスなどの作品も残している,,,,,
Japan,1952,,,,,,,,,増沢邸（自邸） / 増沢洵,増沢洵の9坪の自邸,,,,,
Japan,1953,,,,,,,,,試作小住宅 / 白井晟一,戦後のある時期、「最小」平面、「最小」空間をめぐって果敢な試みが行われた。,,,,,
Japan,2003,,,,,,,,,ホワイト・リムジン屋台 / 筑波大学貝島研究室+アトリエ・ワン,"通常は1.5メートルほどの屋台を、10メートルに長くしたリムジン型屋台である。屋台の通俗的なイメージを払拭し、小さな公共空間とすることを考えた。屋台は、関連イベントや町のお祭りへ出張営業したり、貸し出されたりもした。移動がまた見もので、曲がるときに道路の4車線を使うので、町にちょっとした渋滞を引き起こしたが、その少し間抜けな姿を沿道の人々は暖かく見守ってくれた
",,,,,
Japan,2012,,,,,,,,,農具屋台 / アトリエ・ワン,"地域住民と協力し、制作されたのが《農具屋台》です。材料には民家の古材が転用され、車輪としてトラクターのタイヤが使用されています。そして、屋台内の様々な箇所に農具が備え付けられており、古民家を思わせる古びた外観と相まって、それ自体が農家の生活の様子を伝える移動式の展示空間となっています。
",,,,,
Japan,2017,,,,,,,,,MUJI HUT / 無印良品,"構造:枠組壁工法
基礎:鉄筋コンクリート造
ラフト基礎 (防湿シート付);床下換気なし)",,,,,
Japan,2014,,,,,,,,,DIY Tiny House on Wheels / 田上晴彦,"田上晴彦氏が設計・製作したこの移動式マイクロキャビンは、小型車両で牽引できる小型キャンピングトレーラーとしての使用を想定しています
",,,,,
Japan,2016,,,,,,,,,Jyubako / 隈研吾,建築家の隈研吾は、日本のアウトドア用品メーカーであるスノーピークと共同で、木製の移動住宅 「重箱」 を開発した。トレーラーのような建物は、生活を最低限の生活必需品にまで簡素化することを基本とし、利用者が自分のニーズに合わせて空間を調整できる自然志向型の住居だ。,,,,,
Japan,2011,,,,,,,,,Gully Version at Tokyo flea market ,その上に屋台、柱、屋根があり、その小さな矢の空間が屋台の魅力の一つです。,,,,,
America,1935,,,,,,,,,Silver Dome Trailor Coach,車に取り付けて持ち歩ける広告バス。ベッド、ワードローブ、シャワー、ストーブ、水飲み器、照明、ラジオ付き。「ホテルの部屋を自分で持って行き、ホテル代を節約する」 と言って売られた。,,,,,
America,2019,,,,,,,,,Polydrops (Losangeles),Polydropトレーラーはキャンパーのポータブルなパーソナルスペースとしてデザインされている。スタイリッシュなストラットアシストバタフライドアが開き、シンプルなレイアウトのキャビンに122x191cmのマットレスが敷かれている。収納用引き出し2個、棚・ワークトップ1個、温度調節パネル付き。,,,,,
America,2017,,,,,,,,,Transitional Homes for Homeless (Losangeles),学生たちは、より安定した住居を待つホームレスの人々のための過渡期的な住居に焦点を当てたUSC建築コースワークショップ 「Homeless Studio」 の一環として、秋にポータブルホームを建てた。一人か二人が住む用の住宅を建てた後、ロサンゼルスに住むホームレスに寄付した。,,,,,
America,1927,,,,,,,,,Bookmobile (Cincinatti),シンシナティ公共図書館が所有する移動本屋。移動図書館は町から町へと移動し、臨時の読書スペースを設置する。,,,,,
America,1918,,,,,,,,,Camper Truck,ピクニックやキャンプに最適なカスタムメイドのキャンパートラック。お料理やお食事用の引き出しもございます。また、スクリーンインされたリビングエリアには、雨よけのブラインドが設置されており、キャンピングカーの両側には十分な収納スペースがある。,,,,,
America,1920,,,,,,,,,Douglas Fir Log Motorhome (Washington),ワシントン州シアトルの3トンDodge Brothersのシャーシに取り付けられた1台のDouglas Fir Logで作られたモーターホーム。ダグラスファーはスコットランドの植物学者デービッド・ダグラスにちなんで名付けられた。,,,,,
America,2006,,,,,,,,,Neverwas Haul (California),カリフォルニア州バークレーのシピヤード・アート・スペースでボランティアのクルーによって設計された、ジュール・ヴェルヌとH.G.ウェルズの幻想的な物語にインスパイアされた、75%リサイクルの機材で作られた、自走式の3階建てヴィクトリア邸。ホールは長さ24フィート、高さ24フィート、幅12フィートで、5輪トレーラーの土台の上に建てられています。,,,,,
America,1930,,,,1939,,,,,New Chris-Craft DIY Trailer (Arizona),Chris-Craft社の1930s DIYトレーラー広告。これはキットと呼ばれ、購入者が自分で組み立てることができるトレーラーのプレハブ部品が付属している。そして、それは市場の他のどの製品よりも安いです。,,,,,
America,2017,,,,,,,,,Blue Sky Center (California),330エーカーの高地砂漠に位置するブルースカイセンターは、リラックスしたり、星を眺めたり、探検したり、小さな飛行機が行き来するのを見たりするのに最適な場所です。,,,,,
America,1930,,,,,,,,,Collapsible Trailer Caravans,ベッド付きのキャラバン。ヘッドスペースが広く、ロッカーもあります。,,,,,
America,1945,,,,,,,,,Enoch Pratt Library book wagon (Merylamd),メリーランド州ボルチモアのダラス・ストリート1000番地を訪れているエノック・プラット図書館のブックワゴン。,,,,,
Others,2013,,,,,,,,,"Micro House (China, Beijing)",中国の北京にあるルー・ルービン・スタジオが設計した十字型のマイクロハウスは、必要に応じてワークスペース、寝室、洗濯、キッチンなどの機能ユニットを追加することをコンセプトにした家だ。,,,,,
Others,2013,,,,,,,,,"Tricycle House (China, Beijing)",自分の家を持てない人のために、三輪車の上に建てられた家です。移動中:日中は自然光を取り入れ、夜間は街灯からの光を受ける半透明のプラスチック製のテント。,,,,,
Others,2012,,,,,,,,,Yi Duo House on Wheels (China),Yi Duo Houseは、人が座ったり横になったりするのに必要な最小限のスペースに対応する基本モジュールから生成される。スクエアウッドとポリカーボネートシートに具現化されたハウス型の断面形状で、収納、座り寝、キッチン、お風呂、仕事場など、その場その場のニーズや人のニーズに合わせて用途や機能を使い分けられる。,,,,,
