Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
日本の年号,2019,5,1,,now,,,,,令和,,,,,,
日本の年号,1989,,,,2019,4,30,,,平成,,,,,,
日本の年号,1926,,,,1988,,,,,昭和,,,,,,
日本の年号,1912,,,,1926,,,,,大正,,,,,,
日本の年号,1868,,,,1912,,,,,明治,,,,,,
日本の年号,1588,,,,1867,,,,,江戸,,,,,,
国連,1948,,,,,,,,,世界人宣言,その第22条に「すべて人は、社会の一員として、社会保障を受ける権利を有し…」と謳ったのは、連合国が承認した、いわゆる「世界人権宣言」の一文である,,,,,
日本,1961,,,,,,,,,国民皆保険,自営業者や無業者を含め国民すべてが公的年金制度に加入し老齢、障害、死亡に備える国民皆保険体制となっている。社会保険方式,,,,,
日本,1986,,,,,,,,,費用者年金制度加入者の配偶者,,,,,,
日本,1991,,,,,,,,,国民年金への加入義務づけ,,,,,,
イギリス,1601,,,,,,,,,エリザベス救貧法,働ける農民（強制労働所）働けない貧民（保護費）孤児（徒弟に出し働かせる）,,,,,
日本,1900,,,,,,,,,精神病者監護法,,,,,,
日本,1919,,,,,,,,,精神病院法,,,,,,
日本,1964,,,,,,,,,ライシャワー事件,,,,,,
日本,1965,,,,,,,,,精神衛生法の改定,精神衛生センターの配置・通院医療費公費負担制度・保健所が第一線,,,,,
日本,1968,,,,,,,,,クラーク勧告,,,,,,
日本,1987,,,,,,,,,報徳会宇都宮事件,"報徳会宇都宮病院事件をきっかけに, 精神衛生法の改定を求める声が国内外からあがり成立",,,,,
日本,1993,,,,,,,,,精神保健法の改定,"保護義務者が保護者に名称変更, 必要な援助等を受ける権利を規定
・地域生活援助事業(グループホーム)法定化
・精神障害者社会復帰促進センター(全国1カ所)の設置",,,,,
日本,1993,,,,,,,,,障害者基本法,精神障害者が障害者と初めて法的に位置づけ,,,,,
日本,1995,,,,,,,,,精神保健福祉法,精神障害者保健福祉手帳制度,,,,,
日本,1999,,,,,,,,,精神保健福祉法の改定,緊急に入院が必要な精神障害者の移送制度,,,,,
日本,1997,,,,,,,,,"精神保健福祉士法
",,,,,,
日本,2003,,,,,,,,,医療観察法,,,,,,
日本,2004,,,,,,,,,発達障害者支援法,,,,,,
日本,2005,,,,,,,,,障害者自立支援法,,,,,,
日本,2011,,,,,,,,,障害者基本法改定,社会に障害があって継続的に支障があったから障害者になった,,,,,
日本,2011,,,,,,,,,障害者虐殺防止法,,,,,,
日本,2012,,,,,,,,,障害者総合支援法,,,,,,
日本,2013,,,,,,,,,障害者差別解消法,,,,,,
イギリス,1948,,,,,,,,,NHS　国民保健サービス創設,係りつけ医者から必要であれば専門医に伝える,,,,,
イギリス,1959,,,,,,,,,精神保健法,コミュニティケアを打ち出す,,,,,
イギリス,1968,,,,,,,,,シーボーム報告,コミュニティケア＝脱施設課,,,,,
イギリス,1982,,,,,,,,,バークレイ報告,コミュニティ・ソーシャルワーク　インフォーマルの資源を活用・開発・組織化,,,,,
