Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
Año,1789,,,,now,,,,,EDAD CONTEMPORÁNEA ,,,,,,
Año,1492,,,,1789,,,,,EDAD MODERNA,,,,,,
Año,476,,,,1492,,,,,EDAD MEDIA,,,,,,
Año,-3000,,,,476,,,,,EDAD ANTIGUA ,,,,,,
PREHISTORIA ,-3000,,,,-2000,,,,,EDAD DEL COBRE,Stonehenge. 2.000 a.C,,https://i2.wp.com/www.labrujulaverde.com/wp-content/uploads/2015/04/Stonehenge-carismatico-megalitos.jpg?fit=750%2C521&ssl=1,,,
PREHISTORIA ,-2000,,,,-800,,,,,EDAD DEL BRONCE,,,,,,
PREHISTORIA ,-800,,,,-300,,,,,EDAD DEL HIERRO,,,,,,
MESOPOTAMIA Y PRÓXIMO ORIENTE,-3000,,,,-330,,,,,MESOPOTAMIA Y PRÓXIMO ORIENTE,,,,,,
MESOPOTAMIA Y PRÓXIMO ORIENTE,-3000,,,,-2340,,,,,Período Sumerio ,Zigurat de Ur (Irak). Hacia 2100 a.C,,https://1.bp.blogspot.com/-2YwdJ1O5Q-w/U9_De5YET2I/AAAAAAAAAC4/qhXPSc1R5po/s1600/aa.jpg,,,
MESOPOTAMIA Y PRÓXIMO ORIENTE,-2340,,,,-2200,,,,,Período Acadio,Estela de Naram-sin. Hacia 2550 a.C,,https://upload.wikimedia.org/wikipedia/commons/d/d8/Victory_stele_of_Naram_Sin_9068.jpg,,,
MESOPOTAMIA Y PRÓXIMO ORIENTE,-2200,,,,-2000,,,,,Período neosumerio ,Estatua de Gudea. Hacia 2120 a.C,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Gudea_of_Lagash_Girsu.jpg/1200px-Gudea_of_Lagash_Girsu.jpg,,,
MESOPOTAMIA Y PRÓXIMO ORIENTE,-2000,,,,-1150,,,,,Imperio babilónico,Estela del Código de Hammurabi. Hacia 1760 a.C,,https://upload.wikimedia.org/wikipedia/commons/6/64/P1050763_Louvre_code_Hammurabi_face_rwk.JPG,,,
