Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
区分,-323,,,,-30,,,,,ヘレニズム,,,,,,
ギリシア,-624,,,,-546,,,,,タレス,,,,,,
ギリシア,-610,,,,-547,,,,,アナクシマンドロス,,,,,,
ギリシア,-570,,,,-525,,,,,アナクシメネス,,,,,,
ギリシア,-500,,,,,,,,,エレア学派,,,,,,
ギリシア,-540,,,,-480,,,,,パルメニデス,,,,,,
ギリシア,-540,,,,-480,,,,,ヘラクレイトス,,,,,,
ギリシア,-494,,,,-434,,,,,エンペドクレス,,,,,,
ギリシア,-600,,,,,,,,,ミレトス学派,,,,,,
ギリシア,-500,,,,-428,,,,,アナクサゴラス,,,,,,
ギリシア,-460,,,,-370,,,,,デモクリトス,,,,,,
ギリシア,-487,,,,-420,,,,,プロタゴラス,,,,,,
ギリシア,-470,,,,-399,,,,,ソクラテス,,,,,,
ギリシア,-427,,,,-347,,,,,プラトン,,,,,,
ギリシア,-384,,,,-322,,,,,アリストテレス,,,,,,
ギリシア,-400,,,,,,,,,キュニコス学派,,,,,,
ギリシア,-300,,,,,,,,,ストア派,,,,,,
イタリア,-106,,,,-43,,,,,キケロ,,,,,,
ギリシア,-484,,,,-424,,,,,ヘロドトス,,,,,,
ギリシア,-460,,,,-400,,,,,ツキジデス,,,,,,
ギリシア,-460,,,,-370,,,,,ヒポクラテス,,,,,,
ギリシア,-499,,,,-449,,,,,ペルシア戦争,,,,,,
ギリシア,-447,,,,-432,,,,,パルテノン,,,,,,
,-443,,,,,,,,,ヘロドトス『歴史』,,,,,,
,-375,,,,,,,,,プラトン『国家』,,,,,,
,-358,,,,,,,,,プラトン『法律』,,,,,,
,-387,,,,,,,,,プラトン『饗宴』,,,,,,
ギリシア,-356,,,,-323,,,,,アレクサンドロス大王,,,,,,
イタリア,0121,,,,0180,,,,,マルクス・アウレリウス,,,,,,
イタリア,-4,,,,0065,,,,,セネカ,,,,,,
ギリシア,-341,,,,-270,,,,,エピクロス,,,,,,
ギリシア,-311,,,,,,,,,エピクロス派,,,,,,
アフリカ,0204,,,,0269,,,,,プロティノス,,,,,,
イタリア,0250,,,,,,,,,新プラトン主義,,,,,,
