Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
1909,1909,,,,1909,,,,,日本　その1,井上貞治郎が鋳鉄製ロールの手回し段繰機で繰りっ放しの国産化に成功。「段ボール」と命名。,,,,,
1913,1913,,,,1913,,,,,日本　その2,この頃から、国内でも貼合用接着剤として珪酸ソーダの使用が始まる。,,,,,
1915,1915,,,,1915,,,,,日本　その3,繰りっ放しと片面段ボールが主体であったが、両面段ボールも生産され始めた。,,,,,
1939,1939,,,,1939,,,,,日本　その4,スタインホール社の貼合用接着剤処方の日本特許が公告。,,,,,
1946,1946,,,,1946,,,,,日本　その5,国内メーカーがトムソン式（平盤タテ型）の打抜機を開発。,,,,,
1946,1946,,,,1946,,,,,日本　その6,段ボール、重袋専用のゴム印版の生産が始まった。手彫りが主で、わずかに鋳造版も生産。,,,,,
1949,1949,,,,1949,,,,,日本　その7,工業標準化法制定(JIS制定)。,,,,,
1950,1950,,,,1950,,,,,日本　その8,JIS Z 1501「輸出品外装用段ボール箱」制定。,,,,,
1950,1950,,,,1950,,,,,日本　その9,この頃、アメリカでは、ワイヤージョイントより作業性の良いテープジョイントが多く使われていたが、日本はコスト面から殆どワイヤージョイントであった。,,,,,
1951,1951,,,,1951,,,,,日本　その10,森林法の改正で、木材の濫伐が防止された結果、木材価格が高騰し、段ボール採用の機運が高まった。,,,,,
1951,1951,,,,1951,,,,,日本　その11,第3次吉田内閣が木箱包装を段ボール箱に切換えることを閣議で決定。,,,,,
1951,1951,,,,1951,,,,,日本　その12,JIS Z 1506「外装用段ボール箱」制定。,,,,,
1952,1952,,,,1952,,,,,日本　その13,工業技術院工芸指導所を工業技術院工芸試験所と改称し、国の機関として初めて業務範囲の一つに包装を組み入れた。,,,,,
1953,1953,,,,1953,,,,,日本　その14,段ボール技術委員会が結成され、第1回技術委員会を開催。,,,,,
1953,1953,,,,1953,,,,,日本　その15,貼合用接着剤のでん粉にコーンスターチの使用研究が始まった。,,,,,
1956,1956,,,,1956,,,,,日本　その16,日本段ボール協会がスタインホール社のでん粉接着剤の特許使用権を団体取得。,,,,,
1956,1956,,,,1956,,,,,日本　その17,缶詰・段ボール業界が共同して缶詰用ライナ規格を作成。,,,,,
1957,1957,,,,1957,,,,,日本　その18,"段ボール原紙「マル網スキ合せライナ」のJIS P 3902制定。特A,A,B,C級とし、比破裂強さで区分。",,,,,
1958,1958,,,,1958,,,,,日本　その19,青果物段ボール包装普及会発足。,,,,,
1958,1958,,,,1958,,,,,日本　その20,この頃、速乾性インキが普及。グリコールに樹脂を溶解したビヒクルを使用し、乾燥時間20〜30分。（これまで使用されていた油性インキの乾燥時間は3〜4時間）,,,,,
1958,1958,,,,1958,,,,,日本　その21,国内で初の段ボール用Kライナ（クラフトライナ）抄造開始。（それまでは古紙を何層にも抄き合せたジュートライナを使用）,,,,,
1959,1959,,,,1959,,,,,日本　その22,JIS Z 1516「外装用段ボール」制定。,,,,,
1959,1959,,,,1959,,,,,日本　その23,耐水段ボール（ワックスディッピングタイプ）生産開始。,,,,,
1961,1961,,,,1961,,,,,日本　その24,海外メーカーとの提携により、高性能コルゲータの生産開始。加熱二重粘度方式のヘンリープラット製糊装置の国内販売開始。,,,,,
1963,1963,,,,1963,,,,,日本　その25,この年に、スタインホール法の特許権が失効した。（特許は15年間で、本来1954年までのところ、「連合国人所有権特許措置法」により延長されていた。）,,,,,
1963,1963,,,,1963,,,,,日本　その26,JIS P 3902改正。外装用ライナとして丸網・長網を統一。,,,,,
1964,1964,,,,1964,,,,,日本　その27,日本初のEフルート製造。,,,,,
1964,1964,,,,1964,,,,,日本　その28,コルゲータにスリッタースコアラ付設始まる。,,,,,
1964,1964,,,,1964,,,,,日本　その29,国内メーカーがロータリーダイカッタ（ハード方式）開発。,,,,,
1965,1965,,,,1965,,,,,日本　その30,フレキソフォルダーグルア国産化。,,,,,
1965,1965,,,,1965,,,,,日本　その31,フレキソインキが市場に。,,,,,
1965,1965,,,,1965,,,,,日本　その32,連続印刷の美粧段ボール販売開始。,,,,,
1965,1965,,,,1965,,,,,日本　その33,感光性樹脂版普及始まる。,,,,,
1966,1966,,,,1966,,,,,日本　その34,美粧段ボール、新形式箱、強化段ボールなどの実用化競争。,,,,,
1966,1966,,,,1966,,,,,日本　その35,フレキソ印刷への関心高まる。,,,,,
1966,1966,,,,1966,,,,,日本　その36,カットテープ箱の使用始まる。,,,,,
1968,1968,,,,1968,,,,,日本　その37,第1回全国段ボール技術者大会開催。防水段ボールの研究など発表。,,,,,
1968,1968,,,,1968,,,,,日本　その38,コルゲータ広幅時代に。,,,,,
1968,1968,,,,1968,,,,,日本　その39,コルゲータオンライン印刷が開発され、農産物用の段ボール箱に採用。,,,,,
1968,1968,,,,1968,,,,,日本　その40,耐水段ボール、強化中しん、化工でん粉の使用促進。,,,,,
1969,1969,,,,1969,,,,,日本　その41,JIS Z 0501「段ボール印刷色（16色） 」制定。フレキソインキによる印刷増加。,,,,,
1970,1970,,,,1970,,,,,日本　その42,水質汚濁防止法公布。インキの廃水処理施設に関心高まる。,,,,,
1971,1971,,,,1971,,,,,日本　その43,国内メーカー、フォルダーグルア用自動給紙機（フィーダ）、スプライサ開発。,,,,,
1971,1971,,,,1971,,,,,日本　その44,ブリスボックス製箱機輸入。,,,,,
1973,1973,,,,1973,,,,,日本　その45,国内メーカー、世界初のコルゲータでのカットオフドライブを開発。これによって定点カットが可能になり、パターン印刷された段ボールを所定の位置でカットすることができ、本格的なプレプリント印刷された段ボールの生産が可能となった。プレプリント用5色広幅フレキソ印刷機開発。,,,,,
1973,1973,,,,1973,,,,,日本　その46,国産ワンタッチグルア開発。,,,,,
1975,1975,,,,1975,,,,,日本　その47,Cフルート普及促進委員会設置。前年のオイルショックの影響もあって省資源対応として推進するも実用化に至らず。,,,,,
1975,1975,,,,1975,,,,,日本　その48,反り、省エネなどの目的でコールドコルゲーションの関心高まり、研究される。,,,,,
1975,1975,,,,1975,,,,,日本　その49,鮮度保持段ボールの関心高まる。,,,,,
1975,1975,,,,1975,,,,,日本　その50,美粧化のためプロセス印刷も始まり、それに伴い印版の樹脂化が進行。,,,,,
1976,1976,,,,1976,,,,,日本　その51,国内段ボールメーカー、フィンガレスシングルフェーサ開発。,,,,,
1978,1978,,,,1978,,,,,日本　その52,不況を背景に段ボールの軽量化進む。,,,,,
1978,1978,,,,1978,,,,,日本　その53,小分け包装可能なディスプレイボックスが市場に。,,,,,
1982,1982,,,,1982,,,,,日本　その54,多品種・少ロット・短納期対応時代へ。,,,,,
1985,1985,,,,1985,,,,,日本　その55,液状樹脂版開発される。,,,,,
1986,1986,,,,1986,,,,,日本　その56,物流バーコード研究会発足。,,,,,
1986,1986,,,,1986,,,,,日本　その57,青果物鮮度保持、防錆段ボールの研究始まる。,,,,,
1986,1986,,,,1986,,,,,日本　その58,サンプル製作用のCAD／CAMシステム導入開始。,,,,,
1989,1989,,,,1989,,,,,日本　その59,タピオカでん粉によるプレミックスタイプ貼合用接着剤開発。,,,,,
1989,1989,,,,1989,,,,,日本　その60,高速印刷、作業軽減に対応して、印版の軽量化進行。,,,,,
1989,1989,,,,1989,,,,,日本　その61,工場内環境改善機運（紙粉除去、騒音防止）。,,,,,
1991,1991,,,,1991,,,,,日本　その62,FEFCO技術大会に、全国段ボール技術委員会から初めて委員を派遣。,,,,,
1991,1991,,,,1991,,,,,日本　その63,"各製造業界がバーコード(JAN,ITF)採用の方向。",,,,,
1992,1992,,,,2000,,,,,日本　その64,"JIS Z 0501「段ボールに印刷された色の標準」を18色に改正。
　（JISのゼロベース見直しにより廃止、2000年に業界規格へ移行）",,,,,
1992,1992,,,,1992,,,,,日本　その65,全国段ボール技術委員会、Rule41／Item222（1991年改訂版）日本語訳冊子発行。,,,,,
1993,1993,,,,1993,,,,,日本　その66,ロボットパレタイザ採用進む。,,,,,
1993,1993,,,,1993,,,,,日本　その67,TAPPI技術大会に、全国段ボール技術委員会から初めて委員を派遣。,,,,,
1994,1994,,,,1994,,,,,日本　その68,JIS X 0502「物流バーコード（ITF）」改正。印刷倍率縮小。一般は0.25以上、段ボールは0.6以上が望ましいとされたが、実際には、読み取り機の関係で流通からは、段ボールにも低倍率の要求が相次いだ。,,,,,
1994,1994,,,,1994,,,,,日本　その69,コルゲータメーカー各社 ベルトプレスシングルフェーサ、一枚刃のスリッタースコアラを相次いで上市。,,,,,
