Group,Year ,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
アーティスト名,1964,,,,1967,,,,,（初代）ジャニーズ,,,,,,
アーティスト名,1968,,,,1978,,,,,フォーリーブス,,,,,,
アーティスト名,2002,,,,2009,,,,,フォーリーブス（再活動）,,,,,,
アーティスト名,1982,,,,1988,,,,,シブガキ隊,,,,,,
アーティスト名,1987,,,,1995,,,,,光GENJI,,,,,,
アーティスト名,1985,,,,now,,,,,少年隊,,,,,,
アーティスト名,1991,,,,2016,,,,,SMAP,,,,,,
アーティスト名,1991,,,,now,,,,,TOKIO,,,,,,
アーティスト名,1995,,,,now,,,,,V6,,,,,,
アーティスト名,1997,,,,now,,,,,KinKi Kids,,,,,,
アーティスト名,1999,,,,2021,,,,,嵐,,,,,,
アーティスト名,2002,,,,2018,,,,,タッキー&翼,,,,,,
アーティスト名,2003,,,,now,,,,,NEWS,,,,,,
アーティスト名,2004,,,,now,,,,,関ジャニ∞,,,,,,
アーティスト名,2006,,,,now,,,,,KAT-TUN,,,,,,
アーティスト名,2007,,,,now,,,,,Hey!Say!JUMP,,,,,,
アーティスト名,2011,,,,now,,,,,Kis-My-Ft2,,,,,,
アーティスト名,2011,,,,now,,,,,SexyZone,,,,,,
アーティスト名,2012,,,,now,,,,,ABC-Z,,,,,,
アーティスト名,2014,,,,now,,,,,ジャニーズWEST,,,,,,
アーティスト名,2018,,,,now,,,,,King & Prince,,,,,,
アーティスト名,2020,,,,now,,,,,SnowMan,,,,,,
アーティスト名,2020,,,,now,,,,,SixTONES,,,,,,
