Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
会社設立,2015,7,,,2016,4,,,7月,広告事業立ち上げ,,,,,,
四谷,2015,11,,,2016,2,,,11月,多言語変換無料HPサービス作ると言い出す,,,,,,
四谷,2016,2,,,2016,3,,,2月,モックが出来上がる,,,,,,
四谷,2016,4,,,2016,5,,,4月,ゲームやると言い出す,,,,,,
四谷,2016,5,,,2016,6,,,5月,ゲームの企画書を通す,,,,,,
赤坂,2016,7,,,2017,12,,,7月,ゲームの事業化を目指す,,,,,,
赤坂,2016,9,,,2016,10,,,9月,"バイト6人・・・
エフェクトが必要だと気づく・・・",,,,,,
赤坂,2016,10,,,2016,12,,,10月,インターンが6人,,,,,,
赤坂,2016,12,,,2017,1,,,12月,オトギのα版みたいなやつを提出,,,,,,
赤坂,2017,1,,,2017,2,,,1月,メインキャラの絵師が決まっていない・・・,,,,,,
赤坂,2017,2,,,2017,3,,,2月,山Pと松井くんが手伝いに来るようになる,,,,,,
赤坂,2017,4,,,2017,5,,,4月,基本的にオトギを全て作り変える。,,,,,,
赤坂,2017,4,,,2017,6,,,4月,UIが鬼大変,,,,,,
赤坂,2017,5,,,2017,6,,,5月,MicroSoft BizSpark Plus認定,,,,,,
赤坂,2017,8,,,2017,9,,,8月,オトギフロンティアリリース,,,,,,
赤坂,2017,10,,,2017,12,,,10月,インターン 4人,,,,,,
入社,2015,7,,,2015,9,,,7月,梶原・三田尻・森川・大村,,,,,,
入社,2015,10,,,2015,11,,,10月,仲間,,,,,,
入社,2016,3,,,2016,4,,,3月,スー,,,,,,
入社,2016,5,,,2016,6,,,5月,青木,,,,,,
入社,2016,7,,,2016,8,,,7月,佐久間・佐藤,,,,,,
入社,2016,9,,,2016,10,,,9月,石渡,,,,,,
入社,2016,10,,,2016,11,,,10月,阿部 （大）・飛田・杉原,,,,,,
入社,2016,11,,,2016,12,,,11月,磯崎,,,,,,
入社,2017,1,,,2017,2,,,1月,砂川・川方,,,,,,
入社,2017,2,,,2017,3,,,2月,吉原・浮田,,,,,,
入社,2017,3,,,2017,4,,,3月,長友・細田・大久保・宮田・黒澤,,,,,,
入社,2017,4,,,2017,5,,,4月,山崎・松井,,,,,,
入社,2017,5,,,2017,6,,,5月,Mamlay,,,,,,
入社,2017,6,,,2017,7,,,6月,田中（隊長）,,,,,,
入社,2017,8,,,2017,9,,,8月,キリル・久保田,,,,,,
入社,2017,11,,,2017,12,,,11月,田中・村上・天将・平原・栗原・菅野・丸山・阿部,,,,,,
退職,2016,3,,,2016,4,,,3月,大村,,,,,,
退職,2016,11,,,2016,12,,,11月,杉原,,,,,,
退職,2017,1,,,2017,2,,,1月,青木,,,,,,
退職,2017,4,,,2017,5,,,4月,阿部（大）・吉原・長友・松井,,,,,,
退職,2017,5,,,2017,6,,,5月,黒澤,,,,,,
退職,2017,6,,,2017,7,,,6月,宮田,,,,,,
退職,2017,11,,,2017,12,,,11月,田中（隊長）・佐藤,,,,,,
