Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
出来事,2020,1,3,,,,,,,豪華客船に潜入,3/16を基軸とし、そこから73日前という描写アリ,,,,,
ミハン年表,2020,1,6,,2020,1,11,,,1話「朝日山岳鉄道事故・マトリ」,,,,,,
出来事1,2020,1,6,朝,,,,,,ミハンチームに吉岡・加賀美が加入,,,,,,
出来事2,2020,1,6,朝,,,,,,ミハンが田代・藤倉を探知,,,,,,
出来事3,2020,1,6,昼,,,,,,田代の家に潜入(井沢・吉岡・加賀美),,,,,,
出来事4,2020,1,6,昼～,,,,,,弁護士で潜入(小田切),,,,,,
出来事5,2020,1,6,夜,,,,,,風俗店に潜入(山内),,,,,,
出来事6,2020,1,7,昼,,,,,,田代の通うグループセラピーに潜入(小田切),田代が恋人を鉄道事故で亡くしていることが判明,,,,,
出来事7,2020,1,7,夜,,,,,,藤倉・岸本・近藤が料理店で接触,岸本がマトリの人間と判明,,,,,
出来事8,2020,1,8,夜,,,,,,バーに潜入・佐川と接触(吉岡),,,,,,
出来事9,2020,1,9,昼,,,,,,田代の岸本殺害を藤倉が阻止,井沢「明日で鉄道事故(1/10)からちょうど5年」,,,,,
出来事10,2020,1,10,昼,,,,,,朝日山岳鉄道から5年,,,,,,
出来事11,2020,1,10,夜,,,,,,井沢が町田と接触,,,,,,
出来事12,2020,1,11,朝,,,,,,香坂→井沢：町田が昨夜から行方不明,,,,,,
出来事13,2020,1,11,夕,,,,,,藤倉→犯行を決意,,,,,,
出来事14,2020,1,11,夜,,,,,,岸本逮捕,,,,,,
出来事15,2020,1,11,夜,,,,,,井沢の発砲を山内が阻止,,,,,,
出来事16,2020,1,12,,,,,,,町田が遺体で発見(11～12日の夜間？),,,,,,
,,,,,,,,,,,,,http://www.westatic.com/img/dict/dkijt/guericke_test2.jpg,,,
