Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
武士政権,1603,,,,1605,,,,,徳川家康,,,,,,
武士政権,1605,,,,1623,,,,,徳川秀忠,,,,,,
武士政権,1623,,,,1651,,,,,徳川家光,,,,,,
武士政権,1651,,,,1680,,,,,徳川家綱,,,,,,
武士政権,1680,,,,1709,,,,,徳川綱吉,,,,,,
武士政権,1709,,,,1712,,,,,徳川家宣,,,,,,
武士政権,1713,,,,1716,,,,,徳川家継,,,,,,
武士政権,1716,,,,1745,,,,,徳川吉宗,,,,,,
武士政権,1745,,,,1760,,,,,徳川家重,,,,,,
武士政権,1760,,,,1786,,,,,徳川家治,,,,,,
武士政権,1787,,,,1837,,,,,徳川家斉,,,,,,
武士政権,1837,,,,1853,,,,,徳川家慶,,,,,,
武士政権,1853,,,,1858,,,,,徳川家定,,,,,,
武士政権,1858,,,,1866,,,,,徳川家茂,,,,,,
武士政権,1867,,,,1868,,,,,徳川慶喜,,,,,,
武士政権,,,,,,,,,,,,,,,,
武士政権,,,,,,,,,,,,,,,,
天皇,1496,,,,1557,,,,,後奈良天皇,,,,,,
天皇,1868,,,,1912,,,,,明治,,,,,,
天皇,1588,,,,1867,,,,,江戸,,,,,,
天皇,1377,,,,1433,,,,,後小松天皇,,,,,,
人物,1596,,,,1680,,,,,後水尾天皇,,,,,,
人物,1593,,,,1668,,,,,鳳林承章,,,,,,
人物,1579,,,,1647,,,,,小堀遠州,,,,,,
人物,1604,,,,1651,,,,,徳川家光,,,,,,
人物,1579,,,,1629,,,,,八条宮智仁親王,,,,,,
人物,1619,,,,1662,,,,,八条宮智忠親王,,,,,,
人物,1542,,,,1616,,,,,徳川家康,,,,,,
人物,1579,,,,1632,,,,,徳川秀忠,,,,,,
人物,1358,,,,1408,,,,,足利義満,,,,,,
桂離宮,1615,,,,,,,,,智仁親王、桂離宮着工,,,,,,
桂離宮,1624,,,,,,,,,桂離宮が一応の完成を見る,,,,,,
桂離宮,1641,,,,,,,,,智忠親王が第二次造営着工,,,,,,
桂離宮,1632,,,,,,,,,徳川幕府より山荘の造営に銀千両援助,,,http://www.westatic.com/img/dict/dkijt/guericke_test2.jpg,,,
桂離宮,1658,,,,,,,,,後水尾上皇御幸,,,,,,
桂離宮,1663,,,,,,,,,後水尾上皇御幸,,,,,,
二条城,1601,,,,,,,,,建設予定地の町屋立ち退き,,,,,,
二条城,1603,,,,,,,,,二条城完成,,,,,,
二条城,1620,,,,,,,,,東福門院和子の入内に先立つ儀典を執り行う,,,,,,
二条城,1626,,,,,,,,,後水尾天皇が行幸,,,,,,
二条城,1634,,,,,,,,,家光が上洛,,,,,,
二条城,1699,,,,,,,,,二条城代廃止,,,,,,
二条城,1750,,,,,,,,,雷により天守閣炎上,,,,,,
二条城,1788,,,,,,,,,天明の大火で類焼,,,,,,
二条城,1863,,,,,,,,,将軍家茂の入城,,,,,,
二条城,1868,,,,,,,,,慶喜の将軍宣下,,,,,,
二条城,1869,10,,,,,,,,大政奉還,,,,,,
金閣,1958,,,,,,,,,鹿苑寺の方丈と大書院の修理が完了する,,,,,,
金閣,1904,,,,,,,,,鹿苑寺の金閣の解体修理が完了する,,,,,,
金閣,1759,,,,,,,,,伊藤若冲、鹿苑寺大書院の襖絵を完成する,,,,,,
金閣,1624,,,,,,,,,後水尾天皇を迎えるために夕佳亭が作られる,,,,,,
金閣,1397,,,,,,,,,義満　京都北山にある西園寺家の邸宅と庭園をゆずりうけ、別荘北山第の造営に着手し、舎利殿（金閣）の建設をはじめる,,,,,,
金閣,1398,,,,,,,,,"北山第の舎利殿（金閣）が完成する
",義満　室町第から北山第に移り、以後、公的行事は北山第で行われる,,,,,
金閣,1673,,,,1681,,,,,鹿苑寺、方丈再建,,,,,,
金閣,1402,,,,,,,,,義満、来日した明の使者と北山第で面会する,,,,,,
金閣,1649,,,,,,,,,このころ鹿苑寺住持の鳳林承章、野々村仁清と交流する,,,,,,
金閣,1950,,,,,,,,,鹿苑寺の金閣、放火により全焼する,,,,,,
金閣,1467,,,,,,,,,応仁の乱により、金閣などを残して鹿苑寺焼失する,,,,,,
金閣,1955,,,,,,,,,金閣、明治の解体修理時の記録を元にした復元が３年をかけて完成する,,,,,,
金閣,1987,,,,,,,,,金閣の改修が完了し、金箔張り替えられる,,,,,,
修学院離宮,1659,,,,,,,,,山荘完成,,,,,,
修学院離宮,1659,,,,,,,,,鳳林承章が招待される,,,,,,
修学院離宮,1886,,,,,,,,,林丘寺移転,楽只軒、客殿など残される,,,,,
修学院離宮,1824,,,,,,,,,徳川家斉の援助により修理,,,,,,
修学院離宮,1664,,,,,,,,,修学院焼の窯開き,,,,,,
円通寺,1672,,,,,,,,,霊元天皇に下賜,,,,,,
円通寺,1678,,,,,,,,,霊元天皇の勅願寺になる,,,,,,
キリシタン,1622,,,,,,,,,,,,,,,
キリシタン,1534,,,,,,,,,イエズス会結成,,,,,,
キリシタン,1540,,,,,,,,,イエズス会、教皇の承認を得る,,,,,,
キリシタン,1862,,,,,,,,,日本二十六聖人列聖,ピオ9世により列聖,,,,,
キリシタン,1619,,,,,,,,,京都の大殉教,,,,,,
キリシタン,1623,,,,,,,,,江戸の大殉教で50人処刑,,,,,,
キリシタン,1622,,,,,,,,,元和の大殉教,長崎で信徒・宣教師55人を処刑,,,,,
キリシタン,1587,,,,,,,,,秀吉による伴天連追放令,,,,,,
キリシタン,1612,,,,,,,,,江戸幕府による禁教令,,,,,,
キリシタン,1549,,,,,,,,,キリスト教伝来,ザビエルが鹿児島上陸,,,,,
