Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
歴史,-5500,,,,-2000,,,,,エジブト文明(5500年前〜2000年前),ファラオ(神権皇帝)初代クフ王。ナイル川の恩恵により天然の要塞と豊かな土地、河川交通で栄える。42の州に知事をおく。パピルス＝ナイル川下流のパピルスという植物の茎から作られた紙。,,,,,black
歴史,-5300,,,,-2300,,,,,シュメール人(紀元前5300-2300),"ギルガメッシュ王は人間はすべて神のしもべだと考え、いくつもの寺院を建てそれぞれを異なる神に捧げて自然の猛威をかわそうとした。
曜日のシステムを考案。
天国に近くためジッグラトという塔(一種のプラミッド)を築いた。最上部は平で神殿や寺院が築かれた。車輪の開発。ハンムラビ法典。",,,,,black
文字・グラフィック,-5000,,,,,,,,,楔形文字(5000年前),世界最古の言語ーシュメール語、アッシリア語、バビロニア語。オリエント商人が粘土板に品物を示す簡略な絵を刻み、そこ横に数量を示す記号を刻んだ→時間がかかるので葦の茎をしようして楔形の記号を刻んだ。,,,,,red
歴史,-5000,,,,-2000,,,,,仰韶文化(紀元前5000-2000)中国/黄河流域,養蚕で栄える。,,,,,black
歴史,-3300,,,,-1700,,,,,ミノア文明(紀元前3300〜1700),地中海のクレタ島で地中海交易の中継地として繁栄する。地母神の崇拝。,,,,,black
歴史,-3000,,,,,,,,,インダス文明,有力な支配階級がおらず平等。交易により成り立つ。地母神の崇拝。,,,,,black
歴史,-1810,,,,-1750,,,,,ハンムラビ,バビロン(ティグリス川とユーフラテス川に挟まれた土地のウルクとウルの北に栄えた都市国家)でハンムラビ法典を制定しメソポタミア地域の最強国家に導く。282条からなる法典は高さ2.5m近い石版に刻まれバビロンの中心に置かれた。現在の司法の基礎となる。,,,,,black
歴史,-1700,,,,,,,,,ハンムラビ法典,"古バビロニア王国の支配者はアムル人で、シュメール人やアッカド人やそのほかの様々な民族を支配していた。多くの民族が入り混じって生活していたため、争いが起きたときの対処法や、どこで手打ちにするかなどについての合理的ルールが生まれた。「もし奴隷が自由人の頬を殴ったときは、かれの耳を切り取る」（ハンムラビ法典　第205条より）
「他者に危害を加えた場合は同じことをされる」という同害復讐が原則であるハンムラビ法典ですが、身分差別は厳しいもの。",,,,,black
哲学・思想,-470,,,,-399,,,,,ソクラテス_アテナイ,真理にいたる道は難しい問題を解決したり高尚な議論を戦わせることだ。著作を残さなかったが弟子プラトンにより広まる。「アテナイの若者を堕落させた」と告発され死刑を言い渡される。民主的な陪審裁判によって有罪とされた以上死ぬことは義務であると述べ、毒ニンジンの杯をあおって命を絶つ。,,,,,black
芸術,1453,,,,1519,,,,,レオナルド・ダ・ヴィンチ(伊),,,,,,black
宗教,-1500,,,,,,,,,マハーバーラタ叙事詩,インド古典のなかで『ラーマーヤナ』とともに二大叙事詩に数えられている。クル王国の覇権を巡り王族の戦争を描いた物語。ヒンドゥー教の土台になった。全ての生物にはアートマン(ブラフマンの一部)が存在し、あらゆる生き物の中で生まれ変わりつづける。輪廻とヨガ。,,,,,black
歴史,-1200,,,,-800,,,,,フェニキア人(紀元前1200-800),アルファベットの基礎となるフェニキア文字を編み出す。母音子音。,,,,,black
宗教,-1200,,,,,,,,,ヴェーダ聖典(紀元前1200)アーリア人,アーリヤ人の伝えたインド最古の聖典群の名称。「知識」を意味するが、神の啓示と信ぜられ、婆羅門(バラモン)教徒の精神生活上の権威となっている。後に、ヒンズー教の根本経典ともなった。成立は、ほぼ紀元前１２世紀より紀元前３世紀に至る。祭式に参加する祭官の職能に従って共時的に４種(リグ、サーマ、ヤジュル、アタルヴァ)に分かれ、通時的に４部門(サンヒター、ブラーフマナ、アーラニヤカ、ウパニシャッド)より成る。,,,,,black
宗教,-1050,,,,-700,,,,,ユダヤ民族の誕生,"イスラエルがある土地に定住し始める。メソポタミアの都市国家ウルに住んでいた遊牧民の族長アブラハムの子を自称する。全能の神ヤハウェがはモーセにユダヤ民は神が選んだ民であると告げ「十戒」を与えたことがユダヤ教の基礎となる。
アラブハムの長男イシュマエルも12人の息子を授かりその子孫がアラブ人だとされている。その後新バビロニア王国の手にり北も南も首都が略奪され焼き払われた。",,,,,black
歴史,-1000,,,,,,,,,マヤ人の定住,,,,,,black
歴史,-800,,,,-200,,,,,スキタイ人,主にシベリアで生活をした遊牧複数の騎馬民族の総称。南中国から黒海まで領土を広げた。文字を持たなかったがスキタイ人の墓地が発見されたのをきっかけに研究が始まる。3種の世界(鳥・人間・超自然的な獣がいる死後)を信じていた。,,,,,black
歴史,-722,,,,,,,,,首都サマリアが東のアッシリア王国に攻撃され制服される。(紀元前722),アッシリア人はアラブ人とシリア人を入植させ、サマリアにいた4万人のユダヤ人をアッシリアの都市ニネヴァに連行し奴隷として灌漑工事で働かす。それを上回るユダヤ人が南のユダ王国に逃れてきたためエルサレムの人口は5倍になる。,,,,,orange
宗教,662,,,,,,,,,イスラム教スンニ派/シーア派分離,"紀元632年に死去したイスラム教の預言者ムハンマド（Prophet Mohammed）の後継者選びをめぐり、信者らの間で意見対立が生まれ、宗派分裂に発展した。
ムハンマドの弟子の中から後継者を選ぶべきだと考えた信徒たちに対し、ムハンマドの親族が後継者になるべきで、ムハンマドが自分の後継として支持していたのは、いとこのアリ（Ali）だと主張する信徒たちが現れ、その一派が「アリのシーア（シーアはアラビア語で党派の意）」、後にシーア派と呼ばれるようになった。

　結局、1代目カリフ（預言者ムハンマドの後継者のこと、原義は代理人）には、ムハンマドの腹心だったアブ・バクル（Abu Bakr）が就き、その後3代目まではムハンマドの側近の中から選ばれたが、4代目カリフには、いとこのアリが就任した。",,,,,orange
歴史,-640,,,,,,,,,タレス（自然哲学者),皆既日食を正確に予測。自然現象は神の気まぐれで起きていると信じられたいたが、天文学の知識で予測できることを実証した。,,,,,black
日本,-5000,,,,-300,,,,,縄文時代,,,,,,black
文化,-627,,,,,,,,,アッシリア帝国で図書館の建設(紀元前627年),2万枚の粘土板が発掘された,,,,,black
歴史,-600,,,,-529,,,,,キュロス2世/ペルシア帝国,アケメネス朝ペルシアの創始者。メディアを滅ぼしエジプトを覗くオリエントを統一。バビロン捕囚のユダヤ神を解放する。他民族の文化と宗教を尊重する寛容な政策をとる。,,,,,black
歴史,-594,,,,,,,,,ソロン(詩人/政治家),最初の民主的な政府を築く。一般市民に裁判権を与え、全ての争いごとを陪審裁判で解決するようにした。貴族を代表する「アレオパゴス会議(元老院)と「ブーレー(評議会)」で4つの部族から選ばれた100名の評議員によって構成された2つの政治組織が誕生した。,,,,,black
宗教,-563,,,,-483,,,,,ゴータマ・シッダールタ/釈迦(紀元前563-483),インドの王子。49日間にわたり瞑想を続け35歳の時に悟りをひらく。四諦(四つの聖なる真理)と八正道(八つの徳)の教えを守れば欲を捨て永遠に自由になれると解いた。,,,,,black
歴史,-559,,,,-330,,,,,ペルシア帝国,前559年アケメネス朝のキュロス２世が建国。前５世紀ペルシア戦争に敗れ，前330年ダレイオス３世がアレクサンドロス大王に敗死して滅亡した。ギリシアのヨーロッパとオリエントのペルシア文化に対立が生じる。,,,,,black
宗教,-551,,,,-479,,,,,孔子_紀元前551-479,孔子の教えは弟子の孟子や荀子によって発展したが本来の教えとは異なっていた。孔子は神や来世を語らないことによって、それらに束縛されない純粋は道徳を世界で初めて構築した。,,,,,black
音楽,-550,,,,,,,,,ピタゴラス教団,ドレミファソラシドという音の仕組みを発明,,,,,
宗教,-549,,,,-477,,,,,ジャイナ教/王子ヴァルダマーナ(紀元前549-477),ジャイナ教の開祖。菜食主義。,,,,,black
歴史,-509,,,,-27,,,,,古代ローマ/共和制,貴族が政治を支配する貴族共和制。内戦が度々起こる。,,,,,black
歴史,-500,,,,-200,,,,,戦国時代(中国)紀元前500-200, 7つの強国が争う。諸子百家という思想や学派が次々に誕生する。,,,,,black
歴史,-492,,,,-449,,,,,ギリシアとペルシア戦争,,,,,,orange
歴史,-489,,,,-192,,,,,スパルタ,支配階級により戦士を育てる。身体能力の限界を試す運動競技大会(オリンピック)が開かれるようになる。,,,,,black
歴史,-431,,,,-404,,,,,ペロポネソス戦争,ペロポネソス同盟(スパルタ)とデロス同盟(アテナイ)による戦争によりスパルタ側が勝利。,,,,,orange
歴史,-482,,,,-565,,,,,ユスティニアヌス1世,ローマ帝国ユスティニアヌス朝第2代皇帝。東ローマ帝国初期の絶頂期を現出。北アフリカのヴァンダル王国を滅ぼし、20年に及ぶゴート戦争の末にイタリアの東ゴート王国を征服、西ゴート王国からはイベリア半島の南端部をかすめ取った。東方では540年以降ササン朝のホスロー1世と戦って地中海の制海権を確保するなど、一時地中海帝国の再現に成功した。首都のハギア・ソフィア聖堂の再建をはじめ多くの教会堂を建立、法学者トリボニアヌスらに命じて共和政以来のローマ法を集大成させた,,,,,black
哲学・思想,-427,,,,-347,,,,,プラトン,「国家」で社会を統治する最善の方法をめぐる議論を書き綴った。アテナイの市民からなる陪審裁判が師のソクラテスを死刑にしたことに強い怒りを抱き、民主主義を批判する。最も軽蔑したのは民主主義が生み出す「自由」という妄想。,,,,,black
哲学・思想,-412,,,,-323,,,,,ディオゲネス(アテナイ),アテナイで物乞いしていた哲学者。史上初めて特定の都市や国に属さない「世界市民」を名乗り、コスモポリタニズムの語源となる。その思想からストア派の哲学が生まれた。人間の幸せは物質的な豊かさとは無縁だと信じる。,,,,,black
