Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
権力,-1000,,,,-350,,,,,中央前王朝,開始年は不明,,,,,
権力,-400,,,,1,,,,,グランヴェル王朝,,,,,,
権力,-300,,,,-400,,,,,オズ征服時代？,,,,,,
北,-2500,5,29,,,,,,,スノウ・ホワイト誕生,本人達は「1000から2000歳」発言、実際はもっと上？,,,,,
北,-2010,6,5,,,,,,,フィガロ誕生,2000歳近い,,,,,
北,-1000,2,8,,-700,,,,,ミスラ誕生,フィガロ・オズよりは下発言、オーエンがムルやシャイロックと並べて年代を語っていたためこの範囲内？,,,,,
北,-700,11,1,,-400,,,,,オーエン誕生,ミスラ・ムル・シャイロック＞オーエン＞ネロ,,,,,
北,-600,12,3,,,,,,,ブラッドリー誕生,600歳ぐらい,,,,,
北,-2000,4,27,,,,,,,オズ誕生,2000歳程度（＜フィガロ）,,,,,
西,-700,10,14,,,,,,,シャイロック誕生,700歳以上,,,,,
西,-700,2,11,,,,,,,ムル誕生,700歳以上,,,,,
西,-400,3,19,,,,,,,ラスティカ誕生,400歳以上、グランヴェル王国建国時には物心がついていた模様（曰く「建国記念メダルを持っている」）,,,,,
中央,-16,10,2,,,,,,,リケ誕生,,,,,,
西,-20,11,12,,,,,,,クロエ誕生,,,,,,
中央,-22,8,6,,,,,,,カイン誕生,,,,,,
中央,-17,3,9,,,,,,,アーサー誕生,,,,,,
東,-400,1,13,,,,,,,ファウスト誕生,400歳前後,,,,,
東,-400,9,8,,,,,,,ネロ誕生,ネロ＞ラスティカ,,,,,
東,-18,6,29,,,,,,,ヒースクリフ誕生,,,,,,
東,-17,4,14,,,,,,,シノ誕生,,,,,,
南,-20,7,1,,,,,,,ルチル誕生,,,,,,
南,-15,12,15,,,,,,,ミチル誕生,,,,,,
南,-400,5,16,,,,,,,レノックス誕生,400歳前後（＞ファウスト）,,,,,
その他,-1000,,,,-15,7,1,,,大魔女チレッタ死没,ミチルを産み死没、年齢は不明,,,,,
出来事,-900,,,,-600,,,,, ミスラ、チレッタに弟子入り,幼いうちに拾われたこと・生まれてから「三世代」は渡し守をしていたことから推定。正確な年代は不明。,,,,,
権力,-700,,,,,,,,,西の国発展,シャイロック曰く「人間の数が増えて魔法使いが忌避されていく時代の境目」,,,,,
出来事,-4,,,,,,,,,アーサー、帰城,,,,,,
出来事,-13,,,,,,,,,アーサー、実母により北に捨てられる,,,,,,
出来事,-7,,,,,,,,,クロエ、ラスティカにより拉致,,,,,,
出来事,-2,,,,,,,,,ルチル、教師になる,,,,,,
権力,-400,,,,,,,,,革命軍の活動開始,,,,,,
出来事,-4,,,,,,,,,北の国にて天災級の寒波,,,,,,
