Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,Url,Image URL,(未実装) Image Credit,Type,Color
Bass Player,1951,,,,1987,,,,,Jaco Pastorius,FL,,,,,
Bass Player,1951,,,,now,,,,,Stanley Clarke,Philly,,,,,
Bass Player,1951,,,,now,,,,,Alphonso Johnson,Philly,,,,,
Bass Player,1951,,,,2008,,,,,Dennis Irwin,AL,,,,,
Bass Player,1952,,,,now,,,,,John Clayton,CA,,,,,
Bass Player,1952,,,,now,,,,,William Parker,NY,,,,,
Bass Player,1952,,,,now,,,,,Mark Dresser,CA,,,,,
Bass Player,1953,,,,now,,,,,Marc Johnson,NE,,,,,
Bass Player,1955,,,,now,,,,,Nat Reeves,VA,,,,,
Bass Player,1955,,,,now,,,,,Jay Anderson,CA,,,,,
Bass Player,1955,,,,now,,,,,Santi Debriano,Panama,,,,,
Bass Player,1956,,,,now,,,,,Ralph Armstrong,Detroit,,,,,
Bass Player,1957,,,,now,,,,,Mike Boone,Philly,,,,,
Bass Player,1958,,,,now,,,,,Kiyoshi Kitagawa,Japan,,,,,
Bass Player,1958,,,,now,,,,,Gerald Cannon,WI,,,,,
Bass Player,1959 ,,,,now,,,,,John Patitucci,NY,,,,,
Bass Player,1959,,,,now,,,,,Marcus Miller,NY,,,,,
Bass Player,1959,,,,now,,,,,Drew Gress,NY,,,,,
Bass Player,1960,,,,now,,,,,Steve Baily,SC,,,,,
Bass Player,1960,,,,2016,,,,,Victor Baily,Philly,,,,,
Bass Player,1960,,,,now,,,,,Lonnie Plaxico,Chicago,,,,,
Bass Player,1961,,,,now,,,,,Kenny Davis,UK,,,,,
Bass Player,1962,,,,now,,,,,Ugonna Okegwo,UK,,,,,
Bass Player,1962,,,,now,,,,,Ben Wolfe,MD,,,,,
Bass Player,1963,,,,now,,,,,Scott Colley,CA,,,,,
Bass Player,1963,,,,now,,,,,Reginald Veal,Chicago,,,,,
Bass Player,1964,,,,now,,,,,Victor Wotten,ID,,,,,
Bass Player,1964,,,,now,,,,,Robert Hurst,Detroit,,,,,
Bass Player,1964,,,,now,,,,,Peter Washington,CA,,,,,
Bass Player,1966,,,,now,,,,,James Gebus,VA,,,,,
Bass Player,1966,,,,now,,,,,Larry Grenadier,CA,,,,,
Bass Player,1967,,,,now,,,,,Boris Kozlov,Russia,,,,,
Bass Player,1967,,,,now,,,,,Charnett Moffett,NY,,,,,
Bass Player,1968,,,,now,,,,,Rodney Whitaker,Detroit,,,,,
Bass Player,1970,,,,now,,,,,Avishai Cohen,Isreal,,,,,
Bass Player,1970,,,,now,,,,,Joe Martin,Kansas City,,,,,
Bass Player,1970,,,,now,,,,,Chris Thomas,St. Louis,,,,,
Bass Player,1970,,,,2013,,,,,Dwayne Burno,PA,,,,,
Bass Player,1970,,,,now,,,,,Hans Glawischning,Austria,,,,,
Bass Player,1970,,,,now,,,,,Ben Street,?,,,,,
Bass Player,1971,,,,now,,,,,Omer Avital,Israel,,,,,
Bass Player,1972,,,,now,,,,,Christian McBride,Philly,,,,,
Bass Player,1972,,,,now,,,,,John Hebert,NOLA,,,,,
Bass Player,1973,,,,now,,,,,Eivind Opsvik,Norway,,,,,
Bass Player,1974,,,,now,,,,,Matt Penman,New Zealand,,,,,
Bass Player,1974,,,,now,,,,,Reuben Rogers,VA,,,,,
Bass Player,1975,,,,now,,,,,Matt Clothsy,Austria,,,,,
Bass Player,1975,,,,now,,,,,Orland Le Fleming,OK,,,,,
Bass Player,1979,,,,now,,,,,Derrick Hodge,PA,,,,,
Bass Player,1979,,,,now,,,,,Carlos Henriquez,NY,,,,,
Bass Player,1980,,,,now,,,,,Miles Mosley,CA,,,,,
Bass Player,1981,,,,now,,,,,Thomas Morgan,CA,,,,,
Bass Player,1981,,,,now,,,,,Dezron Douglas,CT,,,,,
Bass Player,1982,,,,now,,,,,Harish Raghavan,IL,,,,,
Bass Player,1983,,,,now,,,,,Matt Brewer,OK,,,,,
Bass Player,1983,,,,now,,,,,Luques Curtis,CT,,,,,
Bass Player,1984,,,,now,,,,,Esperanza Spalding ,OR,,,,,
Bass Player,1984,,,,now,,,,,Ben Williams,D.C,,,,,
Bass Player,1984,,,,now,,,,,Joe Sanders,WI,,,,,
Bass Player,1984,,,,now,,,,,Linda Oh,Malaysia,,,,,
Bass Player,1985,,,,now,,,,,Corcoran Holt,D.C,,,,,
