Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
クリスマス,1549,,,,"
",,,,,キリスト教伝来,,,,,,
クリスマス,1938,,,,,,,,,クリスマス禁止,,,,,,
クリスマス,1945,,,,,,,,,GHQ　クリスマスツリー,,,,,,
クリスマス,1950,,,,1959,,,,,成人男性中心の盛り場のお祭り騒ぎ,,,,,,
クリスマス,1960,,,,1969,,,,,一家だんらんの行事,,,,,,
クリスマス,1970,,,,1979,,,,,男女のロマンティックなイベントとしてアピール,,,,,,
バレンタインデー,1936,,,,,,,,,モロゾフ広告,,,,,,
バレンタインデー,1950,,,,1959,,,,,百貨店中心の販売促進活動,,,,,,
バレンタインデー,1958,,,,,,,,,メリー　宣伝,,,,,,
バレンタインデー,1960,,,,1966,,,,,メリー,,,,,,
バレンタインデー,1965,,,,,,,,,伊勢丹バレンタインフェア開催,,,,,,
バレンタインデー,1970,,,,1979,,,,,チョコレートが定着,,,,,,
ハロウィン,1985,,,,,,,,,キディランド,,,,,,
アメリカとの関係,1945,,,,,,,,,終戦,,,,,,
