Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
日本の年号,1926,,,,1989,,,,,昭和,,,,,,
日本の年号,1912,,,,1926,,,,,大正,,,,,,
日本の年号,1868,,,,1912,,,,,明治,,,,,,
日本の年号,1603,,,,1868,,,,,江戸,,,,,,
日本の年号,1568,,,,1600,,,,,安土桃山,,,,,,
日本の年号,1336,,,,1573,,,,,室町,,,,,,
日本の年号,1185,,,,1333,,,,,鎌倉,,,,,,
日本の年号,794,,,,1185,,,,,平安,,,,,,
,1815,,,,1860,,,,,花の生涯,,,http://www.westatic.com/img/dict/dkijt/guericke_test2.jpg,,,
,1700,,,,1703,,,,,赤穂浪士,,,,,,
,1537,,,,1598,,,,,太閤記,,,,,,
,1159,,,,1189,,,,,源義経,,,,,,
,1864,,,,1867,,,,,三姉妹,,,,,,
,1836,,,,1867,,,,,竜馬がゆく,,,,,,
,1118,,,,1160,,,,,新・平家物語,,,,,,
,900?,,,,941,,,,,風と雲と虹と,,,,,,
,1020?,,,,1189,,,,,炎立つ,,,,,,
,1118,,,,1181,,,,,平清盛,,,,,,
,1167,,,,1225,,,,,草燃える,,,,,,
,1305,,,,1358,,,,,太平記,,,,,,
,1251,,,,1284,,,,,北条時宗,,,,,,
,1159,,,,1189,,,,,義経,,,,,,
,1449,,,,1496,,,,,花の乱,,,,,,
,1530,,,,1578,,,,,天と地と,,,,,,
,1505,,,,1582,,,,,国盗り物語,,,,,,
,1560,,,,1600,,,,,黄金の日日,,,,,,
,1561,,,,1615,,,,,おんな太閤記,,,,,,
,1543,,,,1616,,,,,徳川家康,,,,,,
,1567,,,,1636,,,,,独眼竜政宗,,,,,,
,1521,,,,1573,,,,,武田信玄,,,,,,
,1534,,,,1582,,,,,信長 KING OF ZIPANGU,,,,,,
,1537,,,,1598,,,,,秀吉,,,,,,
,1497,,,,1571,,,,,毛利元就,,,,,,
,1551,,,,1599,,,,,利家とまつ〜加賀百万石物語,,,,,,
,1584,,,,1645,,,,,武蔵 MUSASHI,,,,,,
,1560,,,,1605,,,,,功名が辻,,,,,,
,1541,,,,1561,,,,,風林火山,,,,,,
,1559,,,,1620,,,,,天地人,,,,,,
,1573,,,,1626,,,,,江〜姫たちの戦国〜,,,,,,
,1561,,,,1604,,,,,軍師官兵衛,,,,,,
,1582,,,,1615,,,,,真田丸,,,,,,
,1544,,,,1582,,,,,おんな城主直虎,,,,,,
,1542,,,,1582?,,,,,麒麟（きりん）がくる,,,,,,
,1619,,,,1671,,,,,樅の木は残った,,,,,,
,1571,,,,1646,,,,,春の坂道,,,,,,
,1823,,,,1899,,,,,勝海舟,,,,,,
,1700,,,,1703,,,,,元禄太平記,,,,,,
,1846,,,,1868,,,,,花神,,,,,,
,1867,,,,1890,,,,,獅子の時代,,,,,,
,1700,,,,1703,,,,,峠の群像,,,,,,
,1582,,,,1643,,,,,春日局,,,,,,
,1846,,,,1878,,,,,翔ぶが如く,,,,,,
,1590?,,,,1615?,,,,,琉球の嵐,,,,,,
,1684,,,,1751,,,,,八代将軍 吉宗,,,,,,
,1837,,,,1869,,,,,徳川慶喜,,,,,,
,1700,,,,1703,,,,,元禄繚乱,,,,,,
,1598,,,,1641,,,,,葵 徳川三代,,,,,,
,1853,,,,1869,,,,,新撰組！,,,,,,
,1835,,,,1868,,,,,篤姫,,,,,,
,1845,,,,1932,,,,,八重の桜,,,,,,
,1843,,,,1890,,,,,花燃ゆ,,,,,,
,1828,,,,1877,,,,,西郷どん,,,,,,
,1874,,,,1924,,,,,春の波濤,,,,,,
,1895,,,,1964,,,,,いだてん〜東京オリムピック噺,,,,,,
,1936,,,,1949,,,,,山河燃ゆ,,,,,,
,1945,,,,1985,,,,,いのち,,,,,,
