Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
,975,,,,,,,,,シー誕生,,,,,,
,983,,,,,,,,,ディディエ誕生,,,,,,
重要イベント,1000,,,,,,,,,シー帰還,シー25歳　オアシス217歳,,,,,
,1002,8,,,,,,,,ディディエが参謀に就任,,,,,,
,1002,9,,,,,,,,メーベル誘拐事件,以降、メーベルを気に掛ける,,,,,
,1003,,,,,,,,,ラズワルド・リリー接触,,,,,,
重要イベント,1004,,,,,,,,,ナイアガード防衛戦,,,,,,
,1006,,,,,,,,,ディディエ・メーベル結婚,,,,,,
,1009,,,,,,,,,メリンダ誕生,,,,,,
,1010,,,,,,,,,シー・ラズ結婚,,,,,,
没年,1066,,,,,,,,,メーベル死去,,,,,,
,1069,,,,,,,,,孤児院設立,,,,,,
,1078,,,,,,,,,ラズの助言,「何時まで引き摺っているつもりだ？メーベルのことだ、きっとお前が以前のように笑っているのを望んでいるだろう。……新しい人を探したっていいんじゃないか？」,,,,,
CD,1104,,,,2135,,,,,ディディエ、シーへの片想いに気づく,イタズラしてたらその気になった。,,,,,
,1358,,,,,,,,,シアン誕生,,,,,,
,1975,,,,,,,,,シー1000歳,,,,,,
,1983,,,,,,,,,ディディエ1000歳,,,,,,
没年,2013,,,,,,,,,ラズ死去,,,,,,
CD,2134,12,,,,,,,,ウェイン事件,,,,,,
CD,2135,5,,,,,,,,成就,,,,,,
没年,2571,,,,,,,,,ディディエ死去,享年1554歳,,,,,
重要イベント,2893,,,,,,,,,ディディエ転生,シー1918歳　シアン1560歳　オアシス2110歳,,,,,
,2894,,,,,,,,,シアンが国王になる,,,,,,
,2975,,,,,,,,,シー2000歳,ディディエ82歳(1636歳),,,,,
