Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
世界の出来事,1642,,,,1649,,,,,清教徒革命,,,,,,
世界の出来事,1688,,,,1689,,,,,名誉革命,,,,,,
世界の出来事,1776,,,,,,,,,アメリカ独立宣言,,,,,,
世界の出来事,1789,,,,1799,,,,,フランス革命,・絶対王政、封建制度の終わり。恐怖政治。,,,,,
世界の出来事,1792,,,,,,,,,世界初のガス利用,,,,,,
世界の出来事,1803,,,,1815,,,,,ナポレオン戦争,・フランス革命の思想の伝播,,,,,
世界の出来事,1760,,,,1830,,,,,第1次産業革命(イギリス),・ジェームズ・ワットの蒸気機関(1769),,,,,
世界の出来事,1865,,,,1900,,,,,第2次産業革命(他),・内燃機関(1865) オットー,,,,,
世界の出来事,1914,,,,1918,,,,,第1次世界大戦,,,,,,
世界の出来事,1920,,,,,,,,,モータリゼーション(アメリカ),,,,,,
世界の出来事,1933,,,,1945,,,,,ナチス・ドイツ,,,,,,
世界の出来事,1939,,,,1945,,,,,第2次世界大戦,,,,,,
世界の出来事,1945,,,,1989,,,,,冷戦,,,,,,
世界の出来事,1950,,,,,,,,,トヨタ生産方式の基礎,https://ja.wikipedia.org/wiki/%E3%83%88%E3%83%A8%E3%82%BF%E8%87%AA%E5%8B%95%E8%BB%8A,,,,,
世界の出来事,1950,,,,1953,,,,,朝鮮戦争,,,,,,
世界の出来事,1962,,,,,,,,,キューバ危機,,,,,,
世界の出来事,1969,,,,,,,,,アポロ11号が世界初の有人月面着陸,,https://ja.wikipedia.org/wiki/%E5%AE%87%E5%AE%99%E9%96%8B%E7%99%BA,,,,
世界の出来事,1979,,,,,,,,,スリーマイル島原子力発電所事故,,https://ja.wikipedia.org/wiki/%E3%82%B9%E3%83%AA%E3%83%BC%E3%83%9E%E3%82%A4%E3%83%AB%E5%B3%B6%E5%8E%9F%E5%AD%90%E5%8A%9B%E7%99%BA%E9%9B%BB%E6%89%80%E4%BA%8B%E6%95%85,,,,
世界の出来事,1980,,,,,,,,,天然痘根絶宣言,,,,,,
世界の出来事,1980,,,,,,,,,ジョンレノン銃殺,,,,,,
世界の出来事,1980,,,,1988,,,,,イラン・イラク戦争(第一次湾岸戦争),,https://ja.wikipedia.org/wiki/イラン・イラク戦争,,,,
世界の出来事,1985,,,,,,,,,Back to the Future公開,,https://ja.wikipedia.org/wiki/%E3%83%90%E3%83%83%E3%82%AF%E3%83%BB%E3%83%88%E3%82%A5%E3%83%BB%E3%82%B6%E3%83%BB%E3%83%95%E3%83%A5%E3%83%BC%E3%83%81%E3%83%A3%E3%83%BC,,,,
世界の出来事,1986,,,,,,,,,チェルノブイリ原発事故,,,,,,
世界の出来事,1990,,,,,,,,,地球温暖化説が定着,,https://ja.wikipedia.org/wiki/%E5%9C%B0%E7%90%83%E6%B8%A9%E6%9A%96%E5%8C%96%E3%81%AB%E9%96%A2%E3%81%99%E3%82%8B%E5%8B%95%E3%81%8D%E3%81%AE%E6%AD%B4%E5%8F%B2,,,,
世界の出来事,1990,,,,1991,,,,,湾岸戦争,,,,,,
世界の出来事,1995,,,,,,,,,GPS完全運用開始,,https://ja.wikipedia.org/wiki/%E3%82%B0%E3%83%AD%E3%83%BC%E3%83%90%E3%83%AB%E3%83%BB%E3%83%9D%E3%82%B8%E3%82%B7%E3%83%A7%E3%83%8B%E3%83%B3%E3%82%B0%E3%83%BB%E3%82%B7%E3%82%B9%E3%83%86%E3%83%A0,,,,
世界の出来事,1997,,,,,,,,,京都議定書,・排出量の削減を義務づける内容を盛り込んだ,,,,,
世界の出来事,2001,,,,,,,,,アメリカ同時多発テロ事件,,,,,,
日本の出来事,1868,,,,,,,,,明治元年,,,,,,
日本の出来事,1872,,,,,,,,,横浜でガス燈が設置される,,,,,,
日本の出来事,1882,,,,,,,,,日本で初めて電灯照明が使われる,,,,,,
日本の出来事,1890,,,,,,,,,日本初めての電車,,,,,,
日本の出来事,1894,,,,1895,,,,,日露戦争,,,,,,
日本の出来事,1922,,,,,,,,,東京の家庭に電灯完全普及,,,,,,
日本の出来事,1923,,,,,,,,,関東大震災,,,,,,
日本の出来事,1940,,,,1950,,,,,オート三輪全盛期,,,,,,
日本の出来事,1953,,,,,,,,,日本の家庭でプロパンガスが使われ始める,,https://enepi.jp/articles/500,,,,
日本の出来事,1954,,,,1973,,,,,高度経済成長期,,https://ja.wikipedia.org/wiki/%E9%AB%98%E5%BA%A6%E7%B5%8C%E6%B8%88%E6%88%90%E9%95%B7,,,,
日本の出来事,1955,,,,1964,,,,,交通戦争,,,,,,
日本の出来事,1956,,,,,,,,,三種の神器（テレビ、洗濯機、冷蔵庫）,,,,,,
日本の出来事,1961,,,,,,,,,プロパンガスの輸入が始まる,,https://enepi.jp/articles/500,,,,
日本の出来事,1963,,,,,,,,,日本初の商用原子炉,,https://ja.wikipedia.org/wiki/%E6%97%A5%E6%9C%AC%E3%81%AE%E5%8E%9F%E5%AD%90%E5%8A%9B%E7%99%BA%E9%9B%BB%E6%89%80,,,,
日本の出来事,1963,,,,,,,,,3C（カラーテレビ、クーラー、自動車）,,,,,,
日本の出来事,1963,,,,,,,,,電話の提供開始,,,,,,
日本の出来事,1964,,,,,,,,,東京オリンピック,,,,,,
日本の出来事,1964,,,,,,,,,モータリゼーションが進む,,,,,,
