Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
,-4026,,,,,,,,,BC4026以降創世記3:15の最初の預言,,,,,,
,-3896,,,,,,,,,BC3896以前；アベルの死,,,,,,
,-2490,,,,,,,,,人類に関する神の宣告,,,,,,
,-2370,11,,,-2370,12,,,,洪水,,,,,,
,-2369,4,,,,,,,,箱船がアララトにとどまる,,,,,,
,-2369,6,,,,,,,,山々の頂が見えるようになる,,,,,,
,-2369,9,,,,,,,,ノアが屋根の一部を取りのける,,,,,,
,-2369,11,,,,,,,,ノアは箱船を出る,,,,,,
,-1943,,,,,,,,,アブラハム契約が有効となる,,,,,,
,-1943,,,,,,,,,イスラエル人がエジプトをさるまでの430年にわたる期間の始まり,,,,,,
,-1918,,,,,,,,,イサクの誕生「およそ450年間の始まり」,,,,,,
,-1913,,,,,,,,,400年間の苦しみの始まり,,,,,,
,-1750,,,,,,,,,ヨセフは奴隷として売られる,,,,,,
,-1728,,,,,,,,,ヤコブはエジプトに入る,,,,,,
,-1513,,,,,,,,,エジプトからの出国,,,,,,
,-1513,,,,,,,,,四百年間の苦しみとアブラハムがユーフラテス川を渡った後の四百三十年の終わり,,,,,,
,-1513,,,,,,,,,シナイ山で律法契約が結ばれる。聖書が書き始められる,,,,,,
,-1512,,,,,,,,,幕屋が完成する,,,,,,
,-1473,,,,,,,,,イスラエル人は約束の地に入る,,,,,,
,-1117,,,,,,,,,サウルが王として油そそがれる,,,,,,
,-1077,,,,,,,,,ダビデがヘブロンでユダの王となる,,,,,,
,-1070,,,,,,,,,ダビデは全イスラエルを治める王となる,,,,,,
,-1070,,,,,,,,,1070年より後，ダビデは契約の箱をエルサレムに運ぶ:,,,,,,
,-1037,,,,,,,,,ソロモンはダビデの跡を継いで王となる,,,,,,
,-1034,,,,-1027,,,,,ソロモンは神殿を建てる,,,,,,
,-997,,,,,,,,,イスラエルは二つの王国に分裂する。十部族のイスラエル王国が背教する,,,,,,
,-829,,,,,,,,,ウジヤがユダで支配を始める,,,,,,
,-753,,,,,,,,,ローマの建国,,,,,,
,-740,,,,,,,,,イスラエルの十部族王国が征服される,,,,,,
,-732,,,,,,,,,セナケリブの軍隊が滅ぼされる,,,,,,
,-647,,,,,,,,,エレミヤは伝道を始める,,,,,,
,-632,,,,,,,,,ニネベの滅亡,,,,,,
,-625,,,,,,,,,カルケミシュの戦闘,,,,,,
,-620,,,,,,,,,エルサレムがバビロンに従属する,,,,,,
,-617,,,,,,,,,ユダヤ人の捕らわれ人の最初の一団がバビロンへ連れて行かれる,,,,,,
,-617,,,,,,,,,ゼデキヤはユダの王にされる,,,,,,
,-613,,,,,,,,,エゼキエルは預言を始める。エゼキエルが見た，エホバの戦車の幻,,,,,,
,-612,,,,,,,,,エルサレムの神殿での汚れた崇拝に関するエゼキエルの幻,,,,,,
