Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
2002-2009,2002,,,,,,,,,スケートと出会う,遊びに行ったリンクで浅田真央選手に声をかけられスケートを始める,,,,,black
2002-2009,2006,10,28,,2006,10,29,,,全日本ノービス選手権B【4位】,総合 50.19(4位),https://www.jsfresults.com/National/2006-2007/Figure/national_nv/data0305.htm,,,,
2002-2009,2006,12,29,,,,,,,全日本選手権,"名古屋で行われた大会のフラワーボーイとして参加
<br>高橋大輔選手の「オペラ座の怪人」を観て憧れを抱く",,,,,black
2002-2009,2007,10,27,,2007,10,28,,,全日本ノービス選手権B【優勝】,総合 60.37(優勝),https://shomaunobio.tumblr.com/tagged/shoma2007,,,,
2002-2009,2008,11,8,,2008,11,9,,,全日本ノービス選手権B【優勝】,総合 74.74(優勝),https://shomaunobio.tumblr.com/tagged/shoma2008,https://78.media.tumblr.com/f8110e40689d55c0eb0c9b73c8d83c77/tumblr_p762zqF0T91xq2gceo1_400.jpg,,,
2002-2009,2009,11,21,,2009,11,23,,,全日本ジュニア選手権【3位】,"特別出場(当時11才・小6)
<br>ショート 52.95(4位)
<br>フリー 95.09(4位)
<br>総合 148.04(3位)",https://shomaunobio.tumblr.com/tagged/JapanJr2009,https://78.media.tumblr.com/c5def0ebcca3239aa76c7395dde8e874/tumblr_p75hua5X0g1xq2gceo1_400.jpg,,,
2002-2009,2009,10,23,,2009,10,25,,,全日本ノービス選手権A【優勝】,総合 91.91(優勝),https://shomaunobio.tumblr.com/tagged/ShomaNovice2009,https://78.media.tumblr.com/853c8932feee3740572f16746268c554/tumblr_p76359SGZ71xq2gceo1_250.jpg,,,
2002-2009,2010,2,16,,2010,2,17,,,バンクーバー五輪,,,https://78.media.tumblr.com/ee76d8669f8a8c3dba60ad3e17daa2c8/tumblr_p7c1zkhL1o1xq2gceo1_500.jpg,,,black
2010-2011,2010,11,26,,2010,11,28,,,全日本ジュニア選手権【4位】,"ショート 57.62(3位)
<br>フリー 94.42(8位)
<br>総合 152.04(4位)",https://shomaunobio.tumblr.com/tagged/ShomaJr2010,,,,
2010-2011,2010,10,29,,2010,10,31,,,全日本ノービス選手権A【優勝】,総合 101.33(優勝),https://shomaunobio.tumblr.com/tagged/ShomaNovice2010,https://78.media.tumblr.com/71c0eed7fcba3ab7497989c0700c1bc2/tumblr_p787njmvX81xq2gceo1_400.jpg,,,
2011-2012,2011,,,,,,,,,右足首疲労骨折,"比較的ケガの少ない競技生活の中で一番長く練習を休んだのがこの2週間
<br>3ヶ月程は本調子で練習ができなかった
<br>ジャンプの練習を十分に出来ない中でジュニア一年目を迎えることになる
<br>このときから平昌五輪までケガで試合を欠場したとこが一度もない",,,,,black
