Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
日本の年号,1989,,,,now,,,,,平成,,,,,,
日本の年号,1926,,,,1988,,,,,昭和,,,,,,
日本の年号,1912,,,,1926,,,,,大正,,,,,,
日本の年号,1868,,,,1912,,,,,明治,,,,,,
日本の年号,1588,,,,1867,,,,,江戸,,,,,,
日本の年号,,,,,,,,,,安土桃山,,,,,,
日本の年号,,,,,,,,,,室町,,,,,,
日本の年号,,,,,,,,,,鎌倉,,,,,,
日本の年号,,,,,,,,,,平安,,,,,,
日本の年号,,,,,,,,,,奈良,,,,,,
日本の年号,,,,,,,,,,,,,,,,
時代,-3500,,,,-3100,,,,,ウルク期(シュメール人),,,,,,
時代,-2000,,,,-1400,,,,,クレタ文明,クレタ島,,,,,
時代,-1600,,,,-1200,,,,,ミケーネ文明,ミケーネ、ティリンス,,,,,
時代,-1200,,,,-800,,,,,暗黒時代,,,,,,
時代,-1200,,,,,,,,,「海の民」、,ヒッタイト滅亡、エジプト新王国シリアから撤退。セム系3民族（アラム、フェニキア、ユダヤ）独立,,,,,
時代,581,,,,618,,,,,隋,,,,,,
出来事,-5000,,,,,,,,,稲作始まる＠長江流域,,,,,,
出来事,-1000,,,,,,,,,北部九州への水稲耕作伝来,,,,,,
出来事,-1046,,,,,,,,,牧野の戦い  周>殷,,,,,,
出来事,600,,,,,,,,,第一回遣隋使,,,,,,
