Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
年号,2019,,,,now,,,,,令和時代,,https://ja.wikipedia.org/wiki/%E4%BB%A4%E5%92%8C,,,,
年号,1989,,,,2019,,,,,平成時代,,https://ja.wikipedia.org/wiki/%E5%B9%B3%E6%88%90,,,,
年号,1926,,,,1988,,,,,昭和時代,,https://ja.wikipedia.org/wiki/%E6%98%AD%E5%92%8C,,,,
年号,1912,,,,1926,,,,,大正時代,,https://ja.wikipedia.org/wiki/%E5%A4%A7%E6%AD%A3,,,,
年号,1868,,,,1912,,,,,明治時代,,https://ja.wikipedia.org/wiki/%E6%98%8E%E6%B2%BB,,,,
年号,1853,,,,1868,,,,,江戸時代(幕末),,https://ja.wikipedia.org/wiki/%E5%B9%95%E6%9C%AB,,,,
年号,1787,,,,1853,,,,,江戸時代(後期),,https://ja.wikipedia.org/wiki/%E6%B1%9F%E6%88%B8%E6%99%82%E4%BB%A3,,,,
年号,1709,,,,1787,,,,,江戸時代(中期),,https://ja.wikipedia.org/wiki/%E6%B1%9F%E6%88%B8%E6%99%82%E4%BB%A3,,,,
年号,1603,,,,1709,,,,,江戸時代(前期),,https://ja.wikipedia.org/wiki/%E6%B1%9F%E6%88%B8%E6%99%82%E4%BB%A3,,,,
年号,1573,,,,1603,,,,,安土桃山時代,,https://ja.wikipedia.org/wiki/%E5%AE%89%E5%9C%9F%E6%A1%83%E5%B1%B1%E6%99%82%E4%BB%A3,,,,
年号,1467,,,,1590,,,,,戦国時代,,https://ja.wikipedia.org/wiki/%E6%88%A6%E5%9B%BD%E6%99%82%E4%BB%A3_(%E6%97%A5%E6%9C%AC),,,,
年号,1333,,,,1336,,,,,建武の新政,,https://ja.wikipedia.org/wiki/%E5%BB%BA%E6%AD%A6%E3%81%AE%E6%96%B0%E6%94%BF,,,,
年号,1336,,,,1392,,,,,南北朝時代,,https://ja.wikipedia.org/wiki/%E5%8D%97%E5%8C%97%E6%9C%9D%E6%99%82%E4%BB%A3_(%E6%97%A5%E6%9C%AC),,,,
年号,1336,,,,1573,,,,,室町時代,,https://ja.wikipedia.org/wiki/%E5%AE%A4%E7%94%BA%E6%99%82%E4%BB%A3,,,,
年号,1185,,,,1333,,,,,鎌倉時代,,https://ja.wikipedia.org/wiki/%E9%8E%8C%E5%80%89%E6%99%82%E4%BB%A3,,,,
年号,794,,,,1185,,,,,平安時代,,https://ja.wikipedia.org/wiki/%E5%B9%B3%E5%AE%89%E6%99%82%E4%BB%A3,,,,
年号,710,,,,794,,,,,奈良時代,,https://ja.wikipedia.org/wiki/%E5%A5%88%E8%89%AF%E6%99%82%E4%BB%A3,,,,
年号,592,,,,710,,,,,飛鳥時代,,https://ja.wikipedia.org/wiki/%E9%A3%9B%E9%B3%A5%E6%99%82%E4%BB%A3,,,,
年号,250,,,,699,,,,,古墳時代,,https://ja.wikipedia.org/wiki/%E5%8F%A4%E5%A2%B3%E6%99%82%E4%BB%A3,,,,
年号,-1000,,,,0250,,,,,弥生時代,,https://ja.wikipedia.org/wiki/%E5%BC%A5%E7%94%9F%E6%99%82%E4%BB%A3,,,,
年号,-14000,,,,-300,,,,,縄文時代,,https://ja.wikipedia.org/wiki/%E7%B8%84%E6%96%87%E6%99%82%E4%BB%A3,,,,
天皇陛下,-660,1,1,,-584,3,11,,,初代 神武天皇,神倭伊波礼毘古命(かむやまといわれびこ の みこと),https://ja.wikipedia.org/wiki/%E7%A5%9E%E6%AD%A6%E5%A4%A9%E7%9A%87,https://ja.wikipedia.org/wiki/%E7%A5%9E%E6%AD%A6%E5%A4%A9%E7%9A%87#/media/File:Emperor_Jimmu.jpg,,,
天皇陛下,-581,1,8,,-549,5,10,,,第2代 綏靖天皇,神沼河耳命(かむぬなかわみみ の みこと),https://ja.wikipedia.org/wiki/%E7%B6%8F%E9%9D%96%E5%A4%A9%E7%9A%87,https://ja.wikipedia.org/wiki/%E7%B6%8F%E9%9D%96%E5%A4%A9%E7%9A%87#/media/File:Suizei_thumb_1.jpg,,,
天皇陛下,-549,7,15,,-511,12,6,,,第3代 安寧天皇,師木津日子玉手見命(しきつひこ たまてみ の みこと),https://ja.wikipedia.org/wiki/%E5%AE%89%E5%AF%A7%E5%A4%A9%E7%9A%87,https://ja.wikipedia.org/wiki/%E5%AE%89%E5%AF%A7%E5%A4%A9%E7%9A%87#/media/File:Tenn%C5%8D_Annei_thumb.jpg,,,
天皇陛下,-510,2,4,,-477,9,8,,,第4代 懿徳天皇,大倭日子鉏友命(おおやまと ひこすき とも の みこと),https://ja.wikipedia.org/wiki/%E6%87%BF%E5%BE%B3%E5%A4%A9%E7%9A%87,https://ja.wikipedia.org/wiki/%E6%87%BF%E5%BE%B3%E5%A4%A9%E7%9A%87#/media/File:Tenn%C5%8D_Itoku_thumb.jpg,,,
天皇陛下,-475,1,9,,-393,8,5,,,第5代 孝昭天皇,御真津日子訶恵志泥命(みまつ ひこ かえしね の みこと),https://ja.wikipedia.org/wiki/%E5%AD%9D%E6%98%AD%E5%A4%A9%E7%9A%87,https://ja.wikipedia.org/wiki/%E5%AD%9D%E6%98%AD%E5%A4%A9%E7%9A%87#/media/File:Tenn%C5%8D_K%C5%8Dsh%C5%8D_thumb.jpg,,,
