Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
AKB48,2005,,,,now,,,,,AKB48,,,,,,
浜崎あゆみ,1998,,,,now,,,,,浜崎あゆみ,,,,,,
モーニング娘。,1997,,,,now,,,,,モーニング娘。,,,,,,
嵐,1999,,,,now,,,,,嵐,,,,,,
EXILE,2001,,,,now,,,,,EXILE,,,,,,
SMAP,1998,,,,2016,,,,,SMAP,,,,,,
安室奈美恵,1992,,,,2018,,,,,安室奈美恵,,,,,,
東方神起,2003,,,,now,,,,,東方神起,,,,,,
ピンクレディ,1976,,,,1981,,,,,ピンクレディ,,,,,,
ピンクレディ,1984,,,,,,,,,ピンクレディ,,,,,point,
ピンクレディ,1989,,,,,,,,,ピンクレディ,,,,,point,
ピンクレディ,1990,,,,,,,,,ピンクレディ,,,,,point,
ピンクレディ,1996,,,,1997,,,,,ピンクレディ,,,,,,
ピンクレディ,2003,,,,2005,,,,,ピンクレディ,,,,,,
ピンクレディ,2010,,,,now,,,,,ピンクレディ,,,,,,
宮沢りえ,1985,,,,now,,,,,宮沢りえ,,,,,,
美空ひばり,1947,,,,1989,,,,,美空ひばり,,,,,,
キャンディーズ,1972,,,,1978,,,,,キャンディーズ,,,,,,
沢田研二,1967,,,,now,,,,,沢田研二,,,,,,
郷ひろみ,1971,,,,now,,,,,郷ひろみ,,,,,,
工藤静香,1984,,,,now,,,,,工藤静香,,,,,,
田原俊彦,1979,,,,now,,,,,田原俊彦,,,,,,
近藤真彦,1977,,,,now,,,,,近藤真彦,,,,,,
石原裕次郎,1956,,,,1987,,,,,石原裕次郎,,,,,,
ザ・タイガース,1967,,,,1971,,,,,ザ・タイガース,,,,,,
ザ・タイガース,1981,,,,1983,,,,,ザ・タイガース,,,,,,
ザ・タイガース,1989,,,,2013,,,,,ザ・タイガース,,,,,,
山口百恵,1973,,,,1980,,,,,山口百恵,,,,,,
松田聖子,1979,,,,now,,,,,松田聖子,,,,,,
吉永小百合,1957,,,,now,,,,,吉永小百合,,,,,,
南野陽子,1984,,,,now,,,,,南野陽子,,,,,,
中山美穂,1985,,,,now,,,,,中山美穂,,,,,,
光GENJI,1987,,,,1995,,,,,光GENJI,,,,,,
中森明菜,1982,,,,1989,,,,,中森明菜,,,,,,
中森明菜,1990,,,,2010,,,,,中森明菜,,,,,,
中森明菜,2014,,,,now,,,,,中森明菜,,,,,,
おニャン子クラブ,1985,,,,1987,,,,,おニャン子クラブ,,,,,,
おニャン子クラブ,2002,,,,,,,,,おニャン子クラブ,,,,,point,
西城秀樹,1972,,,,2018,,,,,西城秀樹,,,,,,
KARA,2007,,,,2016,,,,,KARA,,,,,,
ジャッキー吉川とブルーコメッツ,1957,,,,now,,,,,ジャッキー吉川とブルーコメッツ,,,,,,
橋幸夫,1960,,,,now,,,,,橋幸夫,,,,,,
ザ・スパイダース,1961,,,,1970,,,,,ザ・スパイダース,,,,,,
ザ・スパイダース,2017,,,,,,,,,ザ・スパイダース,,,,,point,
10代~20代,2001,,,,2011,,,,,10代,,,,,,
10代~20代,1991,,,,2001,,,,,20代,,,,,,
10代~20代,1981,,,,1991,,,,,30代,,,,,,
10代~20代,1971,,,,1981,,,,,40代,,,,,,
10代~20代,1961,,,,1971,,,,,50代,,,,,,
10代~20代,1951,,,,1961,,,,,60代,,,,,,
