Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
日本の年号,1989,,,,now,,,,,平成,,,,,background,
日本の年号,1926,,,,1988,,,,,昭和,,,,,background,blue
日本の年号,1912,,,,1926,,,,,大正,,,,,background,yellow
日本の年号,1868,,,,1912,,,,,明治,,,,,background,green
日本の年号,1588,,,,1867,,,,,江戸,,,,,background,
日本の年号,1493,,,,1587,,,,,戦国時代,,,,,background,purple
出来事,1564,,,,,,,,,エリー出生,,,,,,
出来事,1658,,,,,,,,,ソフィー出生,,,,,,
歴史上の出来事,1720,,,,,,,,,マルセイユでペスト流行,,,,,,
歴史上の出来事,1776,,,,,,,,,アメリカ合衆国建国,,,,,,
歴史上の出来事,1789,,,,,,,,,フランス革命,,,,,,
歴史上の出来事,1986,,,,,,,,,スーパーマリオ2発売,,,,,,
歴史上の出来事,1914,,,,1918,,,,,第一次世界大戦,,,,,,yellow
出来事,1915,,,,,,,,,エリー眠る,,,,,,
歴史上の出来事,1939,,,,1945,,,,,第二次世界大戦,,,,,,yellow
歴史上の出来事,1602,,,,,,,,,東インド会社設立,,,,,,
歴史上の出来事,1858,,,,,,,,,細胞病理説が主流になる,,,,,,
歴史上の出来事,1896,,,,,,,,,ラ・シオタ駅への列車の到着が上映される,,,,,,
出来事,1986,,,,,,,,,ソフィー来日,,,,,,
