Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
PS1,2003,,,,,,,,,バイオハザード３,,,,,,
PS1,2003,,,,,,,,,チョコボの不思議なダンジョン,,,,,,
ゲームボーイアドバンス,2004,,,,,,,,,クラッシュバンディクー,,,,,,
DS,2005,,,,,,,,,コンタクト,,,,,,
DS,2005,,,,,,,,,おいでよどうぶつの森,,,,,,
PS2,2006,,,,,,,,,みんな大好き塊魂,,,,,,
PS2,2007,,,,,,,,,ドラゴンクエスト８,,,,,,
DS,2006,,,,,,,,,ポケットモンスター　パール,,,,,,
PS2,2007,,,,,,,,,FF12,難易度の高さに途中で挫折,,,,,
DS,2008,,,,,,,,,アヴァロンコード,,,,,,
DS,2008,,,,,,,,,レイトン教授と不思議な街,,,,,,
PS2,2008,,,,,,,,,大神,,,,,,
PSP,2009,,,,,,,,,モンスターハンター2ndG,,,,,,
PSP,2011,,,,,,,,,ダンガンロンパ,,,,,,
PS2,2011,,,,,,,,,FF12（再）,,,,,,
PSP,2012,,,,,,,,,ペルソナ３ポータブル,,,,,,
PSP,2010,,,,,,,,,メタルギアソリッドピースウォーカー,,,,,,
DS,2012,,,,,,,,,RPGツクール,,,,,,
PS3,2012,,,,,,,,,ダークソウル,,,,,,
PS3,2012,,,,,,,,,ウイニングイレブン,,,,,,
PS2,2006,,,,,,,,,キングダムハーツⅠⅡ,,,,,,
PS3,2014,,,,,,,,,デモンズソウル,,,,,,
PSP,2013,,,,,,,,,テイルズオブファンタジア,,,,,,
スマホ,2013,,,,,,,,,パズル＆ドラゴンズ,,,,,,
スマホ,2013,,,,,,,,,剣と魔法のログレス,,,,,,
スマホ,2016,,,,,,,,,魔女の泉,,,,,,
Wii,2008,,,,,,,,,大乱闘スマッシュブラザーズX,,,,,,
Switch,2018,,,,,,,,,大乱闘スマッシュブラザーズSP,,,,,,
スマホ,2018,,,,,,,,,アナザーエデン,,,,,,
3DS,2018,,,,,,,,,モンスターハンター　ダブルクロス,,,,,,
3DS,2017,,,,,,,,,ドラゴンクエスト１１,,,,,,
3DS,2017,,,,,,,,,MOTHER2,,,,,,
DS,2018,,,,,,,,,ブレイブリーデフォルト,,,,,,
スマホ,2019,,,,,,,,,ドラゴンクエスト5,,,,,,
Switch,2019,,,,,,,,,UNDERTALE,,,,,,
PS4,2020,,,,,,,,,ブラッドボーン,,,,,,
