Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
日本の年号,2019,5,1,,now,,,,,令和,,,,,,
日本の年号,1989,,,,2019,4,30,,,平成,,,,,,
日本の年号,1926,,,,1988,,,,,昭和,,,,,,
日本の年号,1912,,,,1926,,,,,大正,,,,,,
日本の年号,1868,,,,1912,,,,,明治,,,,,,
日本の年号,1588,,,,1867,,,,,江戸,,,,,,
福井家,1927,1,4,,now,,,,,福井憲晶,,,,,,
福井家,1932,6,3,,now,,,,,福井えつこ,,,,,,
福井家、家族,1954,2,6,,now,,,,,福井吉宏,,,,,,
福井家、家族,1956,10,17,,now,,,,,福井洋子,,,,,,
福井家、家族,1983,11,9,,now,,,,,福井秀策,,,,,,
福井家、家族,1987,1,6,,now,,,,,福井憲作,,,,,,
向井家,1904,,,,1988,11,8,,,向井君江,,,,,,
向井家,1927,3,13,,now,,,,,向井克,,,,,,
向井家,1925,12,15,,2006,6,18,,,向井徹司,,,,,,
日本,1945,8,15,,,,,,,終戦,,,,,,
中国,1997,,,,,,,,,香港返還,,,,,,
アメリカ,1972,,,,1974,,,,,ウォーターゲート事件,,,,,,
日本映画人,1947,1,18,,now,,,,,北野武,,,,,,
日本映画人,1923,5,24,,2017,2,13,,,鈴木清順,,,,,,
日本映画人,1931,11,29,,1997,6,21,,,勝新太郎,,,,,,
アジア映画人,1950,2,15,,now,,,,,ツイ・ハーク,,,,,,
アジア映画人,1956,9,12,,2003,4,1,,,レスリー・チャン,,,,,,
アジア映画人,1963,4,26,,now,,,,,ジェット・リー,,,,,,
フランス映画人,1930,12,3,,now,,,,,ジャン＝リュック・ゴダール,,,,,,
日本映画,1935,,,,,,,,,丹下左膳余話 百萬両の壺（山中貞雄 監督）,,,,,,
日本映画,1954,,,,,,,,,ゴジラ（本多猪四郎 監督）,,,,,,
日本映画,1962,,,,,,,,,座頭市物語（三隈研次 監督）,,,,,,
日本映画,1980,,,,,,,,,ツィゴイネルワイゼン（鈴木清順 監督),,,,,,
日本映画,1981,,,,,,,,,陽炎座（鈴木清順 監督）,,,,,,
日本映画,1991,,,,,,,,,夢二（鈴木清順 監督）,,,,,,
日本映画,1993,,,,,,,,,ソナチネ（北野武 監督）,,,,,,
日本映画,2001,,,,,,,,,ピストルオペラ（鈴木清順 監督）,,,,,,
アジア映画,1970,,,,,,,,,侠女 第一部：チンルー砦の戦い （キン・フー 監督）,,,,,,
アジア映画,1971,,,,,,,,,侠女 第二部：最後の法力（キン・フー 監督),,,,,,
アジア映画,1973,,,,,,,,,燃えよドラゴン（ロバート・クローズ 監督）,,,,,,
アジア映画,1982,,,,,,,,,少林寺（張鑫炎【チャン・シン・イエン】監督）,,,,,,
香港映画,1978,,,,,,,,,ドランクモンキー酔拳（ユエン・ウーピン 監督）,,,,,,
香港映画,1987,,,,,,,,,チャイニーズ・ゴースト・ストーリー（チン・シウトン 監督）,,,,,,
香港映画,1990,,,,,,,,,欲望の翼（ウォン・カーウァイ 監督）,,,,,,
香港映画,1991,,,,,,,,,ワンス・アポン・ア・タイム・イン・チャイナ（ツイ・ハーク 監督）,,,,,,
香港映画,1992,,,,,,,,,スウォーズマン 女神伝説の章（チン・シウトン 監督）,,,,,,
香港映画,1994,,,,,,,,,君さえいれば（ピーター・チャン 監督）,,,,,,
香港映画,1994,,,,,,,,,恋する惑星（ウォン・カーウァイ 監督）,,,,,,
香港映画,2000,,,,,,,,,花様年華（ウォン・カーウァイ 監督）,,,,,,
香港映画,2004,,,,,,,,,2046（ウォン・カーウァイ 監督）,,,,,,
フランス映画,1894,,,,,,,,,世界初実写映画「工場の出口」（リュミエール兄弟 監督）,,,,,,
フランス映画,1959,,,,,,,,,勝手にしやがれ（ジャン＝リュック・ゴダール 監督）,,,,,,
フランス映画,1962,,,,,,,,,ラ・ジュテ（クリス・マルケル 監督）,,,,,,
フランス映画,1963,,,,,,,,,鬼火（ルイ・マル 監督）,,,,,,
フランス映画,2001,,,,,,,,,アメリ（ジャン・ピエール・ジュネ 監督）,,,,,,
アメリカ映画,1959,,,,,,,,,北北西に進路を取れ（アルフレッド・ヒッチコック 監督）,,,,,,
アメリカ映画,1968,,,,,,,,,オリバー！（キャロル・リード 監督）,,,,,,
アメリカ映画,1967,,,,,,,,,"夜の大捜査線（ノーマン・ジュイソン 監督）
※世界初ズームレンズを使用した撮影",,,,,,
アメリカ映画,1976,,,,,,,,,ロッキー （ジョン・G・アヴィルドセン監督）,,,,,,
