Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
オフィス（日本）,2010,12,,,,,,,,ロンドンでQuipper創設,,,,,,
オフィス（日本）,2013,1,,,,,,,,無限ラボ（渋谷）,,,,,,
オフィス（日本）,2013,5,,,,,,,,Hub Tokyo（目黒）,,,,,,
オフィス（日本）,2013,8,,,,,,,,笹塚,,,,,,
オフィス（日本）,2015,7,,,,,,,,京橋昭和ビル,,,,,,
オフィス（日本）,2016,5,,,,,,,,京橋テプコ,,,,,,
オフィス（日本）,2018,5,,,,,,,,目黒（現オフィス）,,,,,,
オフィス（海外）,2015,1,,,,,,,,インドネシアオフィス,,,,,,
オフィス（海外）,2014,1,,,,,,,,フィリピンオフィス,,,,,,
オフィス（海外）,2016,1,,,,,,,,メキシコオフィス,,,,,,
プロダクト/プロジェクト,2013,1,,,2014,7,,,,GAKUMOプロジェクト,,,,,,
プロダクト/プロジェクト,2013,5,,,2014,7,,,,Moonプロジェクト,,,,,,
プロダクト/プロジェクト,2014,1,,,,,,,,QuipperSchoolをフィリピンで提供開始,,,,,,
プロダクト/プロジェクト,2015,5,,,2017,3,,,,Ayaプロジェクト,,,,,,
プロダクト/プロジェクト,2015,8,,,,,,,,QuipperVideoをインドネシアで提供開始,,,,,,
プロダクト/プロジェクト,2016,3,,,2017,5,,,,QuipperVietnam/Tailandプロジェクト,,,,,,
プロダクト/プロジェクト,2017,3,,,,,,,,合格特訓コース提供開始,,,,,,
プロダクト/プロジェクト,2017,7,,,,,,,,スタディサプリLIVE提供開始,,,,,,
プロダクト/プロジェクト,2019,4,,,,,,,,オンライン個別指導コース提供開始,,,,,,
出来事,2014,7,,,,,,,,ベネッセ事件,,,,,,
出来事,2015,4,,,,,,,,リクルートと合併,,,,,,
出来事,2016,2,,,,,,,,日本でのサービスブランドをスタディサプリに統一,,,,,,
出来事,2017,4,,,,,,,,CEOがまささんから文洋さんへ,,,,,,
出来事,2018,4,,,,,,,,スタディサプリENGLISHがQuipperへ,,,,,,
