Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
北海道・東北,2016,4,,,2016,4,,,,北海道大学・あやめ,,,,,,
北海道・東北,2013,8,,,now,,,,,東北大学・ORUXE,,,,,,
北海道・東北,2016,10,,,2018,,,,,山形大学・山折,,,,,,
関東,2012,6,,,now,,,,,群馬大学・Origin,,,,,,
関東,2015,,,,2016,,,,,駿河台大学折り紙サークル,,,,,,
関東,2018,4,,,,,,,,文教大学越谷校舎折り紙サークル,,,,,,
東京,2008,,,,now,,,,,東京大学・Orist,,,,,,
東京,2018,4,,,now,,,,,東京海洋大学インドア同好会,折り紙サークルから改称,,,,,
東京,2012,,,,now,,,,,東京工業大学・FIT,,,,,,
東京,2014,6,,,now,,,,,一橋大学・IOC,,,,,,
東京,,,,,,,,,,首都大学東京折り紙サークル,,,,,,
東京,2013,12,,,now,,,,,慶応義塾大学・折禅,,,,,,
東京,2016,5,,,now,,,,,帝京大学・千羽繚乱,,,,,,
東京,2016,,,,now,,,,,東京農業大学折り紙サークル,,,,,,
東京,2012,,,,now,,,,,東洋大学・四季折々,,,,,,
東京,2015,,,,2016,,,,,立教大学・Link,,,,,,
東京,2014,,,,now,,,,,早稲田大学・W.O.L.F.,,,,,,
関東,2014,10,,,now,,,,,千葉大学・OLIOLI,,,,,,
東海,2017,4,,,2018,12,,,,名古屋大学・Nu Folders,,,,,,
北陸,2014,3,,,2018,6,,,,新潟大学折り紙サークル,,,,,,
北陸,2018,,,,now,,,,,長岡科学技術大学・チーム折り紙,,,,,,
北陸,2015,6,,,2018,2,,,,金沢大学・金紙,,,,,,
関西,2012,,,,now,,,,,京都大学・いまじろ～,,,,,,
関西,2008,,,,2018,4,,,,同志社・立命館・colorful,京大いまじろ～に吸収,,,,,
関西,2013,,,,2016,1,,,,大阪大学・HOC,,,,,,
関西,2017,6,,,now,,,,,大阪市立大学・OCU,,,,,,
関西,2015,6,,,2016,11,,,,近畿大学・クローバー,,,,,,
中国・四国,2012,7,,,2019,8,,,,広島大学・HiMOC,2014年広島大学・originから改称,,,,,
中国・四国,2020,4,,,now,,,,,広島大学・Hi-ORU,,,,,,
中国・四国,2014,9,,,2015,,,,,愛媛大学折り紙サークル,,,,,,
九州・沖縄,2014,4,,,now,,,,,九州大学・ORUTO,,,,,,
