Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
日本の年号,1989,,,,now,,,,,平成,,,,,,
日本の年号,1926,,,,1988,,,,,昭和,,,,,,
日本の年号,1912,,,,1926,,,,,大正,,,,,,
日本の年号,1868,,,,1912,,,,,明治,,,,,,
勝田美保子年表,1927,10,14,,,,,,昭和2年,誕生,佐藤直と中村千代の二女として文京区小石川で誕生,,,,point,
勝田美保子年表,1928,,,,1934,,,,幼少期,小石川で幼少期を送る,伝通院で遊んだ思い出,,,,,
勝田美保子年表,1934,,,,1940,,,,小学生,母の肺結核療養のため、会津若松近くの親戚家で育つ,母の実家は大家族の農家。勝田にちょっかいを出す大学生のいとこ、おっかない祖父などと育つ,,,,,
勝田美保子年表,1940,,,,1943,,,,中学生,都立家政で姉と育つ。妹は夭折。,父方の祖父は医師、父は銀行員。実家では姉よりヒイキにされていた。原っぱで遊んでいた,,,,,
勝田美保子年表,1943,,,,1946,,,,高校生,学徒動員で三鷹の日本無線工場で勤務,"高円寺は空爆を受けたが、都立家政は無傷
終戦後は中野の占い師のところによく通った",,,,,
勝田美保子年表,1946,,,,1948,,,,大学生,日本女子高等学校（現昭和女子大）,"父の勧めで英文科に入る。卒業時に英語の教員免許を取得
東京都中野区上高田1-39→
東京都世田谷区太子堂1-7",,,,,
勝田美保子年表,1948,,,,1953,,,,,忍ケ丘高校中学部に赴任,"高校と中学の管轄が変わり、蓬莱中学校に赴任
忍ケ丘高校（東京都台東区浅草橋5丁目1番24号）
蓬莱中学校（東京都台東区清川2-14-7）",,,,,
勝田美保子年表,1953,,,,,,,,,結婚を機に退職,フィルコ社に努めるアメリカ人フォスター氏　一女をもうける,,,,,
勝田美保子年表,1953,,,,1961,,,,,田園調布に主人と娘と暮らす,お手伝いさんもいたので、絵を描いていた,,,,,
勝田美保子年表,1961,,,,,,,,,離婚,,,,,,
勝田美保子年表,1963,3,,,,,,,昭和38年,新橋タイプセンターの看板を掲げる,父の友人の消火器会社の社長から事務所を提供される,,,,,
勝田美保子年表,1964,4,,,,,,,昭和39年,十印として法人立ち上げ,,,,,,
勝田美保子年表,1981,8,13,,,,,,昭和56年,勝田氏と離婚,離婚後も勝田という苗字を継続する,,,,,
勝田美保子年表,2004,7,31,,,,,,平成16年,戸籍紛失,港区以前の記録がなくなる,東京都港区六本木5-64より前の本籍地で原戸籍を取得できるか,,,,
住まい,1927,,,,1934,,,,,文京区小石川,,,,,,
住まい,1934,,,,1940,,,,,会津若松,,,,,,
住まい,1940,,,,1953,,,,,中野区鷺宮,,,,,,
住まい,1953,,,,1961,,,,,大田区田園調布,,,,,,
住まい,1961,,,,1983,,,,,中野区鷺宮,,,,,,
住まい,1983,4,8,,2010,,,,,港区麻布,東京都港区麻布狸穴町44番地　狸穴マンション705号,,,,,
住まい,2010,1,31,,now,,,,,港区浜松町,東京都港区浜松町1-30-5-2004,,,,,
出来事,1923,,,,,,,,大正12年,関東大震災,,,,,,
出来事,1944,11,24,,,,,,昭和19年,東京への空襲が始まる,終戦までに合計106回の空襲を受ける,,,,,
出来事,1961,,,,,,,,昭和36年,池田内閣所得倍増計画始動,,,,,,
出来事,1964,,,,,,,,昭和39年,東京オリンピック,,,,,,
