Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
世界史,1939,,,,1945,,,,,第二次世界大戦,,,,,,
ブラジル史,1822,,,,,,,,,ブラジル帝国独立,,,,,,
ブラジル史,1888,,,,,,,,,奴隷制禁止,,,,,,
ブラジル史,1889,,,,,,,,,共和制に移行,,,,,,
ブラジル史,1960,,,,,,,,,ブラジリアに遷都,,,,,,
ブラジル史,1964,,,,1985,,,,,軍事政権時代,,,,,,
ブラジル音楽史,1916,,,,,,,,,"Donga""Pelo Terefone""の録音",,,,,,
ブラジル音楽史,1958,,,,1962,,,,,Bossa Novaの流行,,,,,,
ブラジル音楽史,1965,,,,1972,,,,,TV番組にて音楽フェスティバルの開催,,,,,,
ブラジル音楽史,1967,,,,,,,,,Quarteto Novoがアルバム発表,,,,,,
ブラジル音楽史,1967,,,,1968,,,,,トロピカリズモ,,,,,,
ブラジル音楽史,1983,,,,,,,,,CDの普及,,,,,,
作曲家,1880,,,,1974,,,,,Donga,,,,,,
作曲家,1887,,,,1974,,,,,João da Bahiana,,,,,,
作曲家,1888,,,,1930,,,,,Sinhô,,,,,,
作曲家,1897,,,,1973,,,,,Pixinguinha,,,,,,
作曲家,1899,,,,1931,,,,,Nilton Bastos,,,,,,
作曲家,1901,,,,1987,,,,,Clementina de Jesus,,,,,,
作曲家,1901,,,,1992,,,,,Pedro Caetano,,,,,,
作曲家,1902,,,,1975,,,,,"""Bide"" Alcebiades",,,,,,
作曲家,1902,,,,2000,,,,,Moreira da Silva,,,,,,
作曲家,1903,,,,1964,,,,,Ary Barroso,,,,,,
作曲家,1905,,,,1978,,,,,Ismael Silva,,,,,,
作曲家,1907,,,,1981,,,,,Mário Reis,,,,,,
作曲家,1908,,,,1935,,,,,Brancura,,,,,,
作曲家,1908,,,,1980,,,,,Cartola,,,,,,
作曲家,1908,,,,1954,,,,,Zé-com-Fome,,,,,,
作曲家,1909,,,,1984,,,,,Mano Décio,,,,,,
作曲家,1910,,,,1965,,,,,Haroldo Lobo,,,,,,
作曲家,1910,,,,1962,,,,,Vadico,,,,,,
作曲家,1910,,,,1937,,,,,Noel Rosa,,,,,,
作曲家,1910,,,,1995,,,,,Claudionor,,,,,,
作曲家,1910,,,,1979,,,,,Jorge Veiga,,,,,,
作曲家,1911,,,,1958,,,,,Assis Valente,,,,,,
作曲家,1911,,,,1986,,,,,Nelson Cavaquinho,,,,,,
作曲家,1912,,,,1993,,,,,Aniceto,,,,,,
作曲家,1912,,,,1992,,,,,Herivelto,,,,,,
作曲家,1913,,,,1980,,,,,Vinicius de Moraes,,,,,,
作曲家,1913,,,,1935,,,,,Baiaco,,,,,,
作曲家,1913,,,,1968,,,,,Wilson Batista,,,,,,
作曲家,1913,,,,1973,,,,,Ciro Monteiro,,,,,,
作曲家,1913,,,,2008,,,,,Jamelão,,,,,,
作曲家,1914,,,,1988,,,,,Aracy de Almeida,,,,,,
作曲家,1914,,,,2008,,,,,Dorival Caymmi,,,,,,
作曲家,1914,,,,1980,,,,,Valzinho,,,,,,
作曲家,1915,,,,1979,,,,,Haroldo Barbosa,,,,,,
作曲家,1916,,,,1972,,,,,Silas de Oliveira,,,,,,
作曲家,1917,,,,1984,,,,,Odete Amaral,,,,,,
作曲家,1917,,,,1975,,,,,Dilermando Pinheiro,,,,,,
作曲家,1918,,,,1980,,,,,Mijinha,,,,,,
作曲家,1918,,,,1955,,,,,Geraldo Pereira,,,,,,
作曲家,1919,,,,1988,,,,,Linda Batista,,,,,,
作曲家,1919,,,,1945,,,,,Janet de Almeida,,,,,,
作曲家,1920,,,,1990,,,,,Elizeth Cardoso,,,,,,
作曲家,1920,,,,2007,,,,,Carmen Costa,,,,,,
作曲家,1920,,,,1981,,,,,Luiz Soberano,,,,,,
作曲家,1920,,,,2012,,,,,Roberto Silva,,,,,,
作曲家,1921,,,,1995,,,,,Manacéa,,,,,,
作曲家,1921,,,,1999,,,,,Zé Keti,,,,,,
作曲家,1921,,,,1987,,,,,Dick Farney,,,,,,
作曲家,1922,,,,2018,,,,,Dona Ivone Lara,,,,,,
作曲家,1922,,,,2003,,,,,Nora Ney,,,,,,
作曲家,1922,,,,1999,,,,,Dircinha Batista,,,,,,
作曲家,1922,,,,2014,,,,,Marlene,,,,,,
作曲家,1922,,,,2018,,,,,Casquinha,,,,,,
作曲家,1923,,,,2005,,,,,Emilinha,,,,,,
作曲家,1923,,,,1942,,,,,Vassourinha,,,,,,
作曲家,1924,,,,2013,,,,,Paulo Vanzolini,,,,,,
作曲家,1924,,,,1973,,,,,Monsueto,,,,,,
作曲家,1924,,,,1991,,,,,Mirabeau,,,,,,
作曲家,1926,,,,1980,,,,,Luís Reis,,,,,,
作曲家,1927,,,,1994,,,,,Tom Jobim,,,,,,
作曲家,1927,,,,1993,,,,,Lúcio Alves,,,,,,
作曲家,1928,,,,1994,,,,,Bôscoli,,,,,,
作曲家,1928,,,,2014,,,,,Miltinho,,,,,,
作曲家,1929,,,,2000,,,,,Anescar,,,,,,
作曲家,1930,,,,1959,,,,,Dolores Duran,,,,,,
作曲家,1930,,,,now,,,,,Elza Soares,,,,,,
作曲家,1930,,,,1989,,,,,Mauro Duarte,,,,,,
作曲家,1930,,,,2010,,,,,Walter Alfaiate,,,,,,
作曲家,1930,,,,1994,,,,,Marçal,,,,,,
作曲家,1930,,,,now,,,,,Elton Medeiros,,,,,,
作曲家,1931,,,,2019,,,,,João Gilberto,,,,,,
作曲家,1933,,,,now,,,,,Monarco,,,,,,
作曲家,1933,,,,now,,,,,Carlos Lyra,,,,,,
作曲家,1934,,,,1966,,,,,Sylvia Telles,,,,,,
作曲家,1934,,,,2020,,,,,Dóris Monteiro,,,,,,
作曲家,1934,,,,now,,,,,João Donato,,,,,,
作曲家,1935,,,,1978,,,,,Candeia,,,,,,
作曲家,1936,,,,2018,,,,,Wilson Moreira,,,,,,
作曲家,1937,,,,now,,,,,Claudette Soares,,,,,,
作曲家,1937,,,,2018,,,,,Miúcha,,,,,,
作曲家,1937,,,,2000,,,,,Baden Powell,,,,,,
作曲家,1937,,,,now,,,,,Roberto Menescal,,,,,,
