Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
A,1920,,,,,,,,,北京首都国際空港,,,,,,black
北京,1958,,,,now,,,,,R1,3200,,,,background,blue
北京.,1958,,,,now,,,,,R2,3800,,,,background,blue
北京..,2008,,,,now,,,,,R3,3800,,,,background,blue
B,1920,,,,,,,,,上海浦東国際空港,,,,,,black
上海,1999,,,,now,,,,,R1,,,,,background,blue
上海.,2005,,,,now,,,,,R2,,,,,background,blue
上海..,2008,,,,now,,,,,R3,,,,,background,blue
上海...,2015,,,,now,,,,,R4,,,,,background,blue
C,1920,,,,,,,,,東京国際空港,,,,,,black
東京.,1947,,,,1988,,,,,R1,,,,,background,blue
東京..,1947,,,,2000,,,,,R2,,,,,background,blue
東京...,1964,,,,1997,,,,,R3,,,,,background,blue
東京....,1988,,,,now,,,,,R4,,,,,background,blue
東京.....,1997,,,,now,,,,,R5,,,,,background,blue
東京......,2000,,,,now,,,,,R6,,,,,background,blue
東京.......,2010,,,,now,,,,,R7,,,,,background,blue
D,1920,,,,,,,,,成田国際空港,,,,,,black
成田,1971,,,,now,,,,,R1,,,,,background,blue
成田.,2002,,,,now,,,,,R2,,,,,background,blue
E,1920,,,,,,,,,仁川国際空港,,,,,,black
仁川,2001,,,,now,,,,,R1,,,,,background,blue
仁川.,2001,,,,now,,,,,R2,,,,,background,blue
仁川..,2008,,,,now,,,,,R3,,,,,background,blue
F,1920,,,,,,,,,クアラルンプール国際空港,,,,,,black
KUA,1998,,,,now,,,,,R1,,,,,background,blue
KUA.,1998,,,,now,,,,,R2,,,,,background,blue
KUA..,2013,,,,now,,,,,R3,,,,,background,blue
G,1920,,,,,,,,,チャンギ国際空港,,,,,,black
CAG,1981,,,,now,,,,,R1,,,,,background,blue
CAG.,1981,,,,now,,,,,R2,,,,,background,blue
H,1920,,,,,,,,,スカルノ・ハッタ国際空港,,,,,,black
CGK,1985,,,,now,,,,,R1,,,,,background,blue
CGK.,1985,,,,now,,,,,R2,,,,,background,blue
I,1920,,,,,,,,,スワンナプーム国際空港,,,,,,black
BKK,2006,,,,now,,,,,R1,,,,,background,blue
BKK.,2006,,,,now,,,,,R2,,,,,background,blue
J,1920,,,,,,,,,インディラ・ガンジー国際空港,,,,,,black
DEL,1962,,,,now,,,,,R1,,,,,background,blue
DEL.,1962,,,,now,,,,,R2,,,,,background,blue
DEL..,2008,,,,now,,,,,R3,,,,,background,blue
K,1920,,,,,,,,,カイロ国際空港,,,,,,black
CAI,1963,,,,now,,,,,R1,,,,,background,purple
CAI.,1963,,,,now,,,,,R2,,,,,background,purple
CAI..,2010,,,,now,,,,,R3,,,,,background,purple
L,1920,,,,,,,,,ハマド国際空港,,,,,,black
DOH,2013,,,,now,,,,,R1,,,,,background,purple
DOH..,2013,,,,now,,,,,R2,,,,,background,purple
M,1920,,,,,,,,,ダラス・フォートワース国際空港,,,,,,black
DFH,1973,,,,now,,,,,R1,,,,,background,red
DFH.,1973,,,,now,,,,,R2,,,,,background,red
DFH..,1978,,,,now,,,,,R3,,,,,background,red
DFH...,1978,,,,now,,,,,R4,,,,,background,red
DFH....,1981,,,,now,,,,,R5,,,,,background,red
DFH.....,1984,,,,now,,,,,R6,,,,,background,red
DFH......,1994,,,,now,,,,,R7,,,,,background,red
N,1920,,,,,,,,,サンフランシスコ国際空港,,,,,,black
SFO,1963,,,,now,,,,,R1,,,,,background,red
SFO.,1963,,,,now,,,,,R2,,,,,background,red
SFO..,1963,,,,now,,,,,R3,,,,,background,red
SFO...,1963,,,,now,,,,,R4,,,,,background,red
O,1920,,,,,,,,,ワシントン・ダレス国際空港,,,,,,black
IAD,1962,,,,now,,,,,R1,,,,,background,red
IAD.,1962,,,,now,,,,,R2,,,,,background,red
IAD..,1962,,,,now,,,,,R3,,,,,background,red
IAD...,2008,,,,now,,,,,R4,,,,,background,red
P,1920,,,,,,,,,ロサンゼルス国際空港,,,,,,black
LAX,1949,,,,now,,,,,R1,,,,,background,red
LAX.,1949,,,,now,,,,,R2,,,,,background,red
LAX..,1949,,,,now,,,,,R3,,,,,background,red
LAX...,1949,,,,now,,,,,R4,,,,,background,red
Q,1920,,,,,,,,,シカゴ・オヘア空港,,,,,,black
ORD,1956,,,,2003,,,,,R1,,,,,background,red
ORD.,1960,,,,2015,,,,,R2,,,,,background,red
ORD..,1960,,,,now,,,,,R3,,,,,background,red
ORD...,1965,,,,now,,,,,R4,,,,,background,red
ORD....,1965,,,,now,,,,,R5,,,,,background,red
ORD.....,1971,,,,now,,,,,R6,,,,,background,red
ORD......,2008,,,,now,,,,,R7,,,,,background,red
ORD.......,2013,,,,now,,,,,R8,,,,,background,red
ORD........,2015,,,,now,,,,,R9,,,,,background,red
R,1920,,,,,,,,,ジョン・F・ケネディ国際空港,,,,,,black
JFK,1948,,,,1957,,,,,R1,,,,,background,red
JFK.,1948,,,,1966,,,,,R2,,,,,background,red
JFK..,1948,,,,now,,,,,R3,,,,,background,red
JFK...,1948,,,,now,,,,,R4,,,,,background,red
JFK.......,1949,,,,now,,,,,R5,,,,,background,red
JFK........,1959,,,,now,,,,,R6,,,,,background,red
JFK.........,1966,,,,1990,,,,,R7,,,,,background,red
S,1920,,,,,,,,,ヒースロー空港,,,,,,black
LHR,1947,,,,1970,,,,,R1,,,,,background,green
LHR.,1947,,,,now,,,,,R2,,,,,background,green
LHR..,1947,,,,now,,,,,R3,,,,,background,green
LHR...,1950,,,,1970,,,,,R4,,,,,background,green
LHR....,1950,,,,1970,,,,,R5,,,,,background,green
LHR.....,1950,,,,1970,,,,,R6,,,,,background,green
T,1920,,,,,,,,,シャルル・ド・ゴール空港,,,,,,black
CDG,1974,,,,now,,,,,R1,,,,,background,green
CDG.,1974,,,,now,,,,,R2,,,,,background,green
CDG..,1995,,,,now,,,,,R3,,,,,background,green
CDG....,1995,,,,now,,,,,R4,,,,,background,green
U,1920,,,,,,,,,フランクフルト国際空港,,,,,,black
FRA,1945,,,,now,,,,,R1,,,,,background,green
FRA.,1948,,,,now,,,,,R2,,,,,background,green
FRA..,1987,,,,now,,,,,R3,,,,,background,green
FRA...,2011,,,,now,,,,,R4,,,,,background,green
V,1920,,,,,,,,,スキポール空港,,,,,,black
AMS,1935,,,,now,,,,,R1,,,,,background,green
AMS.,1935,,,,now,,,,,R2,,,,,background,green
AMS..,1935,,,,now,,,,,R3,,,,,background,green
AMS...,1935,,,,now,,,,,R4,,,,,background,green
AMS....,1940,,,,now,,,,,R5,,,,,background,green
AMS.....,2003,,,,now,,,,,R6,,,,,background,green
W,1920,,,,,,,,,ウィーン国際空港,,,,,,black
VIE,1938,,,,now,,,,,R1,,,,,background,green
VIE.,1977,,,,now,,,,,R2,,,,,background,green
X,1920,,,,,,,,,チューリッヒ空港,,,,,,black
ZRH,1945,,,,now,,,,,R1,,,,,background,green
ZRH.,1945,,,,now,,,,,R2,,,,,background,green
ZRH..,1976,,,,now,,,,,R3,,,,,background,green
