Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
日本の年号,1989,,,,now,,,,,平成,,,,,,
日本の年号,1926,,,,1988,,,,,昭和,,,,,,
日本の年号,1912,,,,1926,,,,,大正,,,,,,
日本の年号,1868,,,,1912,,,,,明治,,,,,,
日本の年号,1603,,,,1867,,,,,江戸,,,,,,
日本の年号,1573,,,,1602,,,,,安土桃山,,,,,,
日本の年号,1493,,,,1572,,,,,戦国,,,,,,
日本の年号,1336,,,,1492,,,,,室町,,,,,,
日本の年号,1185,,,,1335,,,,,鎌倉,,,,,,
日本の年号,794,,,,1184,,,,,平安,,,,,,
日本の年号,710,,,,793,,,,,奈良,,,,,,
日本の年号,590,,,,709,,,,,飛鳥,,,,,,
日本の年号,250,,,,589,,,,,古墳,,,,,,
大分類,400,,,,1400,,,,,中世,中心地：フランス,,,,,
大分類,400,,,,,,,,,グレゴリオ聖歌,,,,,,
大分類,800,,,,,,,,,オルガヌム,,,,,,
大分類,1250,,,,,,,,,モテット,,,,,,
大分類,1300,,,,,,,,,アルス・ノヴァ,,,,,,
大分類,1400,,,,1600,,,,,ルネサンス,前半：フランドル＠仏、後半：ヴェネツィア＠イタリア,,,,,
大分類,1500,,,,,,,,,マドリガーレ,,,,,,
大分類,1600,,,,1750,,,,,バロック,,,,,,
大分類,1750,,,,1800,,,,,古典派,,,,,,
大分類,1800,,,,,,,,,,,,,,,
大分類,,,,,,,,,,,,,,,,
大分類,,,,,,,,,,,,,,,,
大分類,,,,,,,,,,,,,,,,
出来事,768,,,,814,,,,,カール大帝のフランク王国統治,,,,,,
出来事,1009,,,,,,,,,第一回十字軍エルサレム奪還,,,,,,
出来事,1100,,,,1300,,,,,教会権力頂点,,,,,,
出来事,1400,,,,1600,,,,,教会権力失墜,,,,,,
出来事,1337,,,,1453,,,,,百年戦争＠英仏,ジャンヌ・ダルク,,,,,
出来事,1519,,,,1522,,,,,マゼラン世界一周,,,,,,
出来事,1517,,,,,,,,,宗教改革,,,,,,
出来事,1545,,,,1563,,,,,トレント公会議,カトリック教会の風紀引き締め強化,,,,,
出来事,1789,,,,1799,,,,,フランス革命,,,,,,
出来事,,,,,,,,,,,,,,,,
出来事,,,,,,,,,,,,,,,,
出来事,,,,,,,,,,,,,,,,
出来事,,,,,,,,,,,,,,,,
出来事,,,,,,,,,,,,,,,,
出来事,,,,,,,,,,,,,,,,
出来事,,,,,,,,,,,,,,,,
音楽,1250,,,,,,,,,ノートルダム学派,,,,,,
音楽,1400,,,,,,,,,フランコ・フランドル楽派,作品の概念誕生,,,,,
音楽,1450,,,,,,,,,ハルモニア、通模倣,,,,,,
音楽,1600,,,,,,,,,ヴェネツィア学派,均衡からダイナミズムへ。中心地はサン・マルコ寺院＠伊。,,,,,
音楽,1609,,,,,,,,,オペラ確立,モンテヴェルディ「オルフェオ」,,,,,
音楽,1720,,,,,,,,,前古典派,,,,,,
音楽,1750,,,,,,,,,マンハイム学派,古典派管弦楽曲の書法確立,,,,,
音楽,1725,,,,,,,,,定期演奏会開始,フランス,,,,,
音楽,1781,,,,,,,,,管弦楽団の定期演奏会始まる,ドイツ,,,,,
音楽,1750,,,,,,,,,宮廷劇場貸出開始,オーストリア,,,,,
音楽,1750,,,,,,,,,ソナタ形式誕生,,,,,,
音楽,1700,,,,,,,,,オペラ・ブッファ,オペラ・セリア（王侯のため）から喜劇へ,,,,,
音楽,,,,,,,,,,,,,,,,
音楽,,,,,,,,,,,,,,,,
音楽,,,,,,,,,,,,,,,,
音楽,,,,,,,,,,,,,,,,
音楽,,,,,,,,,,,,,,,,
音楽,,,,,,,,,,,,,,,,
音楽,,,,,,,,,,,,,,,,
作曲者,1150,,,,1201,,,,,（レオナン）,ミサ用オルガヌムを体系的にまとめ（2声）,,,,,
作曲者,1180,,,,1230,,,,,（ペロタン）,レオナンまとめをさらに大規模改修（4声）,,,,,
作曲者,1400,,,,1474,,,,,デュファイ,「私の顔が蒼いのは」,,,,,
作曲者,1425,,,,1497,,,,,オケゲム,,,,,,
作曲者,1460,,,,1518,,,,,ピエール・ド・ラリュー,レクイエム,,,,,
作曲者,1440,,,,1521,,,,,ジョスカン・デ・プレ,「アヴェ・マリア」「我が子アブサロン」,,,,,
作曲者,1557,,,,1612,,,,,ジョヴァンニ・ダ・パレストリーナ,伊。無伴奏宗教合唱曲の頂点,,,,,
作曲者,1557,,,,1612,,,,,ショヴァンニ・ガブリエリ,伊。ヴェネツィア学派代表者。,,,,,
作曲者,1567,,,,1643,,,,,クラウディオ・モンテヴェルディ,マドリガーレで劇的表現のため不協和音を使いバロック誕生。,,,,,
作曲者,1562,,,,1621,,,,,スヴェーリンク,プロテスタント圏。オルガン伝統音楽の礎。,,,,,
作曲者,1685,,,,1750,,,,,バッハ,,,,,,
作曲者,1632,,,,1687,,,,,リュリ,ヴェルサイユ宮殿,,,,,
作曲者,1685,,,,1759,,,,,ヘンデル,英で人気,,,,,
作曲者,1685,,,,1757,,,,,ドミニコ・スカルラッティ,ポル王女に仕える。鍵盤ソナタ。,,,,,
作曲者,1699,,,,1783,,,,,ハッセ,独人だが伊で人気のオペラ作曲家。,,,,,
作曲者,1710,,,,1736,,,,,ペルゴレジ,「奥様女中」,,,,,
作曲者,1681,,,,1767,,,,,テレマン,食卓音楽,,,,,
作曲者,1683,,,,1764,,,,,ラモー,,,,,,
作曲者,1714,,,,1788,,,,,カール・フィリップ・エマヌエル,バッハ次男,,,,,
作曲者,1735,,,,1782,,,,,ヨハン・クリスチャン,バッハ末子,,,,,
作曲者,1732,,,,1809,,,,,ハイドン,ウィーン古典派三大巨匠,,,,,
作曲者,1717,,,,1757,,,,,ヨハン・シュターミッツ,マンハイム学派代表,,,,,
作曲者,1714,,,,1787,,,,,グルック,「トーリードのイフェジェニー」パリ、簡潔なオペラ,,,,,
作曲者,1678,,,,1741,,,,,ヴィヴァルディ,「四季」,,,,,
作曲者,1756,,,,1791,,,,,モーツァルト,ウィーン古典派三大巨匠,,,,,
作曲者,1770,,,,1827,,,,,ベートーヴェン,ウィーン古典派三大巨匠,,,,,
作曲者,1792,,,,1868,,,,,ロッシーニ,,,,,,
作曲者,1797,,,,1828,,,,,シューベルト,魔王,,,,,
作曲者,1786,,,,1826,,,,,ウェーバー,,,,,,
作曲者,1803,,,,1869,,,,,ベルリオーズ,,,,,,
作曲者,1791,,,,1857,,,,,ツェルニー,,,,,,
作曲者,1782,,,,1840,,,,,ニコロ・パガニーニ,,,,,,
作曲者,1811,,,,1886,,,,,フランツ・リスト,,,,,,
作曲者,1813,,,,1901,,,,,ヴェルディ,,,,,,
作曲者,1834,,,,1861,,,,,バダジェフスカ,,,,,,
作曲者,1833,,,,1897,,,,,ブラームス,,,,,,
作曲者,1813,,,,1883,,,,,ワーグナー,,,,,,
作曲者,,,,,,,,,,,,,,,,
作曲者,,,,,,,,,,,,,,,,
