Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
All,2019,7,4,10:50,2019,7,4,11:00,,"全チームでSrv4,8 Death",,,,,,
All,2019,7,4,11:22,2019,7,4,11:25,,アナウンス チーム内でパスワード変更したの共有してないの？,,,,,,
Team7,2019,7,4,11:31,2019,7,4,11:30,,[南]WinSrvのRDPが重い,,,,,,
Team4-west,2019,7,4,11:15,2019,7,4,11:20,,メールパスワード変更できない,,,,,,
Team3-east,2019,7,4,11:15,2019,7,4,11:20,,RDPが切れる,,,,,,
Team8-south,2019,7,4,11:31,2019,7,4,11:40,,作業端末につながらないほどのDoS,,,,,,
Team12-north,2019,7,4,11:47,2019,7,4,11:57,,srv8につながらない,,,,,,
Team8-south,2019,7,4,11:50,2019,7,4,12:00,,マルウェア発見　 桜の花びらや爆発のイフェクト,"C:\Users\Default\BombClick16/
C:\Users\Default\hana2015.exe",,,,,
Team12-north,2019,7,4,11:50,2019,7,4,12:00,,マルウェア発見　 桜の花びらや爆発のイフェクト,"C:\Users\Default\BombClick16/
C:\Users\Default\hana2015.exe",,,,,
Team6-west,2019,7,4,11:57,2019,7,4,12:07,,user3　windows踏み台サーバーが攻撃,,,,,,
Team4-west,2019,7,4,12:13,2019,7,4,12:23,,マルウェア発見　 桜の花びらや爆発のイフェクト,"C:\Users\Default\BombClick16/
C:\Users\Default\hana2015.exe",,,,,
All,2019,7,4,12:26,2019,7,4,12:36,,アナウンス ショップの商品もう販売開始してますね。4万円だから売上あがるんだろうなー,,,,,,
Team6-west,2019,7,4,12:57,2019,7,4,13:07,,マルウェア発見　 桜の花びらや爆発のイフェクト,"C:\Users\Default\BombClick16/
C:\Users\Default\hana2015.exe",,,,,
Team6-west,2019,7,4,12:53,2019,7,4,13:03,,srv3のDumpファイルを奪取された,/var/www/html/entry.dump,,,,,
Team12-north,2019,7,4,13:23,2019,7,4,13:33,,srv10 アンチスパイウェア設定が無効化された,"HKLM/SOFTWARE/Policies/Microsoft/Windows Defender/
DisableAntiSpyware 1→0へ",,,,,
All,2019,7,4,13:37,2019,7,4,13:47,,アナウンス 商品2の追加イベントやってますかー,,,,,,
Team02-east,2019,7,4,13:28,2019,7,4,13:38,,srv5に置いている商品紹介ページ商品画像が改ざん,,,,,,
All,2019,7,4,13:38,2019,7,4,13:38,,アナウンス あーれークーマーになってないー？,,,,,,
Cisco-MP,2019,7,4,13:24,2019,7,4,13:24,,cmd.exe経由でPowerShellでEncodedCommandの実行が複数確認,C:\Windows\system32\cmd.exe /C PowerShell -NoProfile -NonInteractive -ExecutionPolicy Unrestricted -EncodedCommand ,,,,,
Team1-east,2019,7,4,13:57,2019,7,4,13:57,,Dump奪取された 攻撃元IP：10.2.250.41,,,,,,
Team12-north,2019,7,4,13:53,2019,7,4,13:53,,商品画像がクマになっている,,,,,,
Team9-south,2019,7,4,13:54,2019,7,4,13:54,,商品画像がクマになっている,,,,,,
All,2019,7,4,14:00,2019,7,4,14:00,,BigEnterボタン押される,,,,,,
Team12-north,2019,7,4,14:01,2019,7,4,14:01,,北連合の電源が落ちて一時的にネットワークに接続不可,,,,,,
Team3-east,2019,7,4,14:09,2019,7,4,14:09,,Shop3でWebShellが設置され、カード情報をcard.starbed.corpに送信された,,,,,,
All,2019,7,4,14:15,2019,7,4,14:15,,アナウンス だれだー！素材6をたくさん買ったのはー！,,,,,,
All,2019,7,4,14:18,2019,7,4,14:18,,アナウンス 誤発注じゃなくてアカウント不正利用？,,,,,,
Team12-north,2019,7,4,14:16,2019,7,4,14:16,,"srv4,5が落とされた",,,,,,
Team7-south,2019,7,4,14:41,2019,7,4,14:41,,srv2の10000portでつかっていなそうなwebminがうごいてい,,,,,,
Team6-west,2019,7,4,14:26,2019,7,4,14:26,,誤発注　一桁間違いで12億,,,,,,
Team11-north,2019,7,4,14:06,2019,7,4,14:06,,パスワードが漏れているとメールが届いたと顧客から問い合わせ,,,,,,
Team10-north,2019,7,4,14:30,2019,7,4,14:30,,記者会見実施,,,,,,
All,2019,7,4,15:00,2019,7,4,15:00,,アナウンス unboundってフルリゾルバなんだよね,,,,,,
Team9-south,2019,7,4,15:09,2019,7,4,15:09,,商品4-6の価格が改ざん,,,,,,
Team8-south,2019,7,4,15:47,2019,7,4,15:53,,srv8のhtaccessの設定にdenyを追加される,,,,,,
Team02-east,2019,7,4,16:15,2019,7,4,16:15,,srv5 wallでkuromameからラブコール,,,,,,
Team5,2019,7,4,16:17,2019,7,4,16:17,,srv5 wallでkuromameからラブコール,,,,,,
Team8-south,2019,7,4,16:17,2019,7,4,16:17,,srv5 wallでkuromameからラブコール,,,,,,
Team12-north,2019,7,4,16:18,2019,7,4,16:18,,srv4 でxss ,"10.2.250.24 - - [04/Jul/2019:16:09:12 +0900] ""GET /<script>alert('Vulnerable')</script> HTTP/1.1"" 404 246 ""-"" ""Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36        (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393""",,,,,
Team12-north,2019,7,4,16:34,2019,7,4,16:34,,srv4 ランサムウェア index.php.nktsr,,,,,,
Team02-east,2019,7,4,16:44,2019,7,4,16:44,,srv8が乗っ取り,,,,,,
All,2019,7,4,16:40,2019,7,4,16:40,,チームゼンマシマシのパスワードは....,,,,,,
All,2019,7,4,16:40,2019,7,4,16:40,,チパシリのパスワードは...,,,,,,
All,2019,7,4,16:40,2019,7,4,16:40,,ピリカのパスワードは...,,,,,,
Team9-south,2019,7,4,16:47,2019,7,4,16:47,,srv4 ランサムウェア ,,,,,,
Team1-east,2019,7,4,17:14,2019,7,4,17:14,,"特定IPからのスキャン攻撃　送信元：10.2.250.24 , 25, 51","送信元：10.2.250.24 , 25, 51",,,,,
All,2019,7,4,17:38,2019,7,4,17:38,,team9のパスワードは...,,,,,,
Cisco-MP,2019,7,4,16:30,2019,7,4,16:30,,複数のチームで10.2.250.41からWordPress宛のXSS攻撃らしき通信を確認してブロック,,,,,,
All,2019,7,4,17:40,2019,7,4,17:40,,team7のパスワードは...,,,,,,
Team02-east,2019,7,4,16:30,2019,7,4,16:30,,10.2.250.41からWordPress宛のXSS攻撃らしき通信を確認してCISCOでブロック,,,,,,
