Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
全体,1994,,,,1999,9,14,,,Jr.,,,,,,orange
全体,1994,10,16,,now,,,,,大野智,,https://www.j-storm.co.jp/arashi/profile/satoshi_ohno,,,,blue
全体,1995,10,22,,now,,,,,櫻井翔,,https://www.j-storm.co.jp/arashi/profile/sho_sakurai,,,,red
全体,1996,5,17,,now,,,,,松本潤,,https://www.j-storm.co.jp/arashi/profile/jun_matsumoto,,,,purple
全体,1996,6,19,,now,,,,,二宮和也,,https://www.j-storm.co.jp/arashi/profile/kazunari_ninomiya,,,,yellow
全体,1996,8,15,,now,,,,,相葉雅紀,,https://www.j-storm.co.jp/arashi/profile/masaki_aiba,,,,green
全体,1999,9,15,,now,,,,,嵐,,https://www.johnnys-net.jp/page?id=artistTop&artist=10,,,,pink
レーベル,1999,9,15,,2001,11,11,,,ポニーキャニオン,,,,,,brown
レーベル,2001,11,12,,now,,,,,J Storm,,,,,,brown
トピックス,1999,9,15,,,,,,,嵐 結成日,"ハワイ時間：9/15<br>
日本時間：9/16",,,,,pink
トピックス,1999,11,2,,1999,12,2,,,ワールドカップバレーボール'99 イメージキャラクター,"ワールドカップバレー開催期間中、メイン会場にてゲスト出演<br>
※試合会場からの中継(めざましテレビ、試合前後のレポート、試合中の応援など)、試合前のコートでのパフォーマンス",,,,,pink
トピックス,1999,11,3,,,,,,,嵐 CDデビュー,デビュー曲「A・RA・SHI」発売,,,,,pink
トピックス,2000,3,20,,2000,3,26,,,第31回春の高校バレー イメージキャラクター,"開会式・閉会式出演、始球式・表彰式プレゼンター<br>
試合会場からの中継(レポート、応援など)",,,,,pink
トピックス,2000,12,1,,,,,,,嵐ファンクラブ入会受付開始,"Jr.情報局 vol.71(2000/11月頃)にて嵐ファンクラブ結成のお知らせ<br>
2000/12/1より郵便振り込みによる入会受付開始",,,,,pink
トピックス,2001,3,20,,2001,3,26,,,第32回春の高校バレー イメージキャラクター,開会式出演,,,,,pink
