Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
自治運営,2005,,,,2018,,,,,告知ビラの全戸配布,,,,,,
自治運営,2006,,,,2016,,,,,学習会・シンポジウム,,,,,,
自治運営,2008,,,,2018,,,,,住民アンケート,,,,,,
自治運営,2011,,,,2016,,,,,つどい案内パンフレット配布,,,,,,
福祉,2005,,,,2018,,,,,地域通貨「ありがとう」試行,後のつどい券,,,,,
福祉,2006,,,,2018,,,,,送迎サービス活動,後の移送サービス,,,,,
福祉,2013,,,,2018,,,,,ひとり暮らし高齢者の安否確認活動,,,,,,
福祉,2016,,,,2018,,,,,リハビリツアー,,,,,,
福祉,2016,,,,2018,,,,,単身者きずなの会,,,,,,
趣味・健康,2009,,,,2018,,,,,パソコン倶楽部,,,,,,
趣味・健康,2010,,,,2018,,,,,買い物ツアー,,,,,,
趣味・健康,2010,,,,2018,,,,,ラジオ体操,,,,,,
趣味・健康,2014,,,,2018,,,,,ムジカの会,,,,,,
趣味・健康,2014,,,,2018,,,,,しながイケメン会,,,,,,
趣味・健康,2015,,,,2018,,,,,食べ歩きツアー,,,,,,
繋がり,2004,,,,2018,,,,,ふれあいサロン,他団体主催の事業・活動を支援,,,,,
繋がり,2005,,,,2011,,,,,映画会,,,,,,
繋がり,2008,,,,2018,,,,,ほっと一息コーヒータイム,,,,,,
繋がり,2008,,,,2013,,,,,百人一首かるた大会,,,,,,
繋がり,2009,,,,2012,,,,,会員懇親会,,,,,,
繋がり,2010,,,,2018,,,,,男のコーヒータイム,,,,,,
繋がり,2010,,,,2016,,,,,餅つき大会,,,,,,
繋がり,2012,,,,2015,,,,,会員親睦旅行,,,,,,
繋がり,2012,,,,2018,,,,,癒しの場,,,,,,
繋がり,2012,,,,2018,,,,,新年互礼会,,,,,,
繋がり,2013,,,,2018,,,,,ご近所喫茶,,,,,,
繋がり,2017,,,,2018,,,,,交流サロン「きたじりさんち」,,,,,,
世代間交流,2011,,,,2018,,,,,こども安全見守り隊,他団体主催の事業・活動を支援,,,,,
世代間交流,2011,,,,2018,,,,,小学区PTA交通安全,他団体主催の事業・活動を支援,,,,,
世代間交流,2014,,,,2018,,,,,キッズクッキング,,,,,,
出来事,2005,,,,,,,,,文集の発行,,,,,point,
出来事,2005,,,,,,,,,つどい会員制に移行,,,,,point,
出来事,2006,,,,,,,,,つどい会則の制定・施行,,,,,point,
出来事,2009,,,,,,,,,つどいパンフレット作成,,,,,point,
出来事,2011,,,,,,,,,東日本大震災復興支援,,,,,point,
出来事,2011,,,,,,,,,つどい会則の改定,,,,,point,
出来事,2012,,,,,,,,,監事の設置,,,,,point,
出来事,2016,,,,,,,,,社外への実践活動,,,,,point,
出来事,2017,,,,,,,,,社外への視察研修,,,,,point,
出来事,2017,,,,,,,,,地域公共交通検討委員参画,,,,,point,
出来事,2010,,,,,,,,,スポーツ観戦実施,,,,,point,
出来事,2011,,,,,,,,,太子スポーツDay参加,,,,,point,
出来事,2012,,,,,,,,,太子スポーツDay参加,,,,,point,
出来事,2008,,,,,,,,,"夏休み子ども実験教室
(こども会協力事業)",,,,,point,
出来事,2011,,,,,,,,,夏休みの宿題をする会,,,,,point,
出来事,2015,,,,,,,,,「これからの磯長台」懇親会,,,,,point,
出来事,2016,,,,,,,,,「これからの磯長台」懇親会,,,,,point,
出来事,2017,,,,,,,,,夏休みのこどもと大人の理科実験教室,,,,,point,
出来事,2007,,,,,,,,,百人一首を楽しむ会,,,,,point,
出来事,2008,,,,,,,,,バサー実施,,,,,point,
出来事,2015,,,,,,,,,つどい版地域福祉計画の策定,,,,,point,
