Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,Url,Image URL,(未実装) Image Credit,Type,Color
1872-1920,1872,,,,1972,,,,,Bill Johnson( William Manel Johnson),"New Orleans,  The Original Creole Bnad",https://www.artofslapbass.com/bill-johnson/,,,,
1872-1920,1888,,,,1969,,,,,Alcide Pavageau,"New Orleans,  Bunk Johnson, George Lewis",https://64parishes.org/entry/alcide-pavageau,,,,
1872-1920,1891,,,,1986,,,,,Wellman Braud,New Orleans,,,,,
1872-1920,1892,,,,1969,,,,,Pops Foster,New Orleans,,,,,
1872-1920,1894,,,,1950,,,,,John Lindsay,New Orleans,,,,,
1872-1920,1908,,,,1952,,,,,John Kirby,VA,,,,,
1872-1920,1910,,,,2000,,,,,Milt Hinton,MS,,,,,
1872-1920,1914,,,,1987,,,,,Slam Stewart,NJ,,,,,
1872-1920,1916,,,,1977,,,,,Benny Moten,NY,,,,,
1872-1920,1917,,,,1986,,,,,Curley Russell,NY,,,,,
1872-1920,1918,,,,1974,,,,,Eddie Safanski,PA,,,,,
1872-1920,1918,,,,1988,,,,,Tommy Potter,Philly,,,,,
1872-1920,1918,,,,1942,,,,,Jimmy Blanton,TN,,,,,
1872-1920,1919,,,,2005,,,,,Al Mckibbon,Chicago,,,,,
1872-1920,1919,,,,1974,,,,,Joe Benjamin,NJ,,,,,
1872-1920,1919,,,,1962,,,,,Israel Crosby,IL,,,,,
1872-1920,1920,,,,1985,,,,,George Duvivier,NY,,,,,
1921-1950,1921,,,,1982,,,,,Monk Mongomery,IN,,,,,
1921-1950,1922,,,,1979,,,,,Charles Mingus,AZ,,,,,
1921-1950,1922,,,,1960,,,,,Oscar Pettiford,OK,,,,,
1921-1950,1923,,,,2005,,,,,Percy Heath,NC,,,,,
1921-1950,1923,,,,1979,,,,,Willbur Ware,Chicago,,,,,
1921-1950,1924 ,,,,1981,,,,,Sam Jones,FL,,,,,
1921-1950,1926,,,,2002,,,,,Ray Brown,PA,,,,,
1921-1950,1926,,,,2020,,,,,Jimmy Merritt,Philly,,,,,
1921-1950,1927,,,,1965,,,,,George Tucker,NY,,,,,
1921-1950,1927,,,,2004,,,,,Malachi Favors,MS,,,,,
1921-1950,1927,,,,1992,,,,,Red Michell,OR,,,,,
1921-1950,1928,,,,2005,,,,,Piere Michelot,France,,,,,
1921-1950,1928,,,,1999,,,,,Leroy Vinngar,IN,,,,,
1921-1950,1930,,,,now,,,,,Richard Davis,Chicago,,,,,
1921-1950,1931,,,,1987,,,,,Ali Jackson,Detroit,,,,,
1921-1950,1932,,,,2016,,,,,Bob Cranshaw,Chicago,,,,,
1921-1950,1932,,,,1979,,,,,David Izenzon,PA,,,,,
1921-1950,1933,,,,2006,,,,,Wakter Booker,TX,,,,,
1921-1950,1934,,,,1976,,,,,Jimmy Garrison,FL,,,,,
1921-1950,1934,,,,1962,,,,,Doug Watkins,Detroit,,,,,
1921-1950,1934,,,,2007,,,,,Art Davis,PA,,,,,
1921-1950,1934,,,,now,,,,,Barrie Phillips,CA,,,,,
1921-1950,1935,,,,1969,,,,,Paul Chambers,Detroit,,,,,
1921-1950,1935,,,,now,,,,,Gary Peacock,ID,,,,,
1921-1950,1935,,,,now ,,,,,Cecil McBee,OK,,,,,
1921-1950,1936,,,,now,,,,,Chuck Israel,,,,,,
1921-1950,1936,,,,1961,,,,,Scott LaFaro,NJ,,,,,
1921-1950,1936,,,,1995,,,,,Larry Gales,NY,,,,,
1921-1950,1937,,,,2014,,,,,Charlie Haden,IA,,,,,
1921-1950,1937,,,,now,,,,,Ron Carter,Detroit,,,,,
1921-1950,1937,,,,now,,,,,Reggie Workan,OK,,,,,
1921-1950,1937,,,,1973,,,,,Spanky DeBaest,Philly,,,,,
1921-1950,1937,,,,now,,,,,Larry Ridley,IN,,,,,
1921-1950,1939,,,,2013,,,,,Butch Warren,D.C,,,,,
1921-1950,1940,,,,now,,,,,Eberhard Weber,Germany,,,,,
1921-1950,1940,,,,now,,,,,Steve Swallow,NJ,,,,,
1921-1950,1941,,,,now,,,,,Ron MuClure,CT,,,,,
1921-1950,1942,,,,now,,,,,Buster Williams,NJ,,,,,
1921-1950,1944,,,,now,,,,,Eddie Gomez,Puerto Rico,,,,,
1921-1950,1944,,,,now,,,,,George Mraz,Czech,,,,,
1921-1950,1944,,,,now,,,,,Rufus Reid,GA,,,,,
1921-1950,1946,,,,now,,,,,Dave Holland,UK,,,,,
1921-1950,1946,,,,2005,,,,,NHOP,Denmark,,,,,
1921-1950,1946,,,,now,,,,,Ray Drummond,MA,,,,,
1921-1950,1947,,,,now,,,,,Miroslav Vitous,Czech,,,,,
1921-1950,1947,,,,now,,,,,Paul Jackson,CA,,,,,
1921-1950,1947,,,,now,,,,,Barry Guy,UK,,,,,
1921-1950,1948,,,,now,,,,,Harvie S,MA,,,,,
