Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
作品,1815,,,,1816,,,,,ヴァイオリン協奏曲第1番　二長調,,,,,,
作品,1826,,,,,,,,,ヴァイオリン協奏曲第2番　ロ短調『ラ・カンパネラ』,,,,,,
作品,1826,,,,,,,,,ヴァイオリン協奏曲第3番　ホ長調,,,,,,
作品,1829,,,,,,,,,ヴァイオリン協奏曲第4番　ニ短調,,,,,,
作品,1830,,,,,,,,,ヴァイオリン協奏曲第5番　イ短調,,,,,,
作品,1815,,,,,,,,,ヴァイオリン協奏曲第6番　ホ短調,,,,,,
作品,1805,,,,1808,,,,,ナポレオン・ソナタ　変ホ長調,,,,,,
作品,1810,,,,,,,,,ポラッカと変奏曲　イ長調,,,,,,
作品,1813,,,,,,,,,魔女たちの踊り,,,http://www.westatic.com/img/dict/dkijt/guericke_test2.jpg,,,
作品,1817,,,,1819,,,,,ロッシーニの『シンデレラ』の主題による幻想曲,,,,,,
