Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
アメリカ,1861,4,12,,1865,4,9,,,南北戦争,,,,,,
アメリカ,1844,,,,,,,,,ケンジントン暴動,アメリカ生まれプロテスタントで反カトリック主義のアメリカ共和党員が中心になって、フィラデルフィアのアイルランド地区ケンジントンを襲い、アイルランド系カトリックと激しい衝突を繰り返した。この宗教暴動には急増するアイルランド移民が大都市の貧しいプロテスタント・アメリカ人の低賃金労働を奪い合う底辺労働者間の厳しい競争があって、結びついたものであった。,,,,,
アメリカ,1846,8,7,,,,,,,メイン州、禁酒法を制定,港町ポートランドを中心に増えつつあったアイルランド移民は、居酒屋で夜遅くまでウイスキーを大量に飲み、町の通りで夜中に騒ぎを起こすことがしばしばあった。こうしたアイルランド移民を中心とした飲酒習慣の増大は、メイン州の社会秩序によって脅威であると宣伝がされ、禁酒法案が再度州議会に提出された。,,,,,
移民,1819,3,2,,,,,,,初の移民法制定,合衆国へ移民を運んでくる客船が遵守すべき規則と手続きを定めた。その中で最も重要な手続きは移民人数の登録。,,,,,
移民,1845,,,,1850,,,,,移民の急増,以前からアイルランド系移民は増加傾向にあったが、1845年にアイルランドでジャガイモ飢饉が発生し移民が急増、1847年から毎年10万人以上が移住。1848年には欧州各地で革命、政変が発生。カリフォルニアのゴールドラッシュも移民を引きつけた。,,https://www.newsweekjapan.jp/joyce/assets_c/2018/10/joyce181010-famine-thumb-720xauto-143831.jpg,,,
移民,1854,,,,,,,,,ドイツ移民急増/移民総数最多,"1853年のクリミア戦争勃発で東欧の社会不安は増大。54年のドイツ移民は21万5009人とピークに。中国人移民はこの年だけ多く(13,000)、移民総数は42万7833人。その後1873年までこの記録は越されることはない。",,,,,
移民,1882,,,,,,,,,移民数19世紀最高記録,1880年からアメリカ経済は好況期に入り、欧州からの移民が急増。,,,,,
移民,1891,3,3,,,,,,,移民監督局設立,移民の受け入れ業務を州から連邦に移管し、連邦政府最大の入国審査場をマンハッタン島ニューヨーク港沖のエリス島に建設。,,,,,
NY,1841,4,10,,1966,,,,,「ニューヨーク・トリビューン」/「ニューヨーク・ヘラルド・トリビューン」紙,編集者・政治家のホレス・グリーリーによって創刊。グリーリーは正義感にあふれるヒューマニストで、奴隷廃止、夫人権利の拡大、禁酒運動、労働者組織、自由土地運動、貧民救済運動などの社会改革運動を全面に支持。政治、文化、芸術、道徳、社会問題などについて高い見識と事実に基づく中立的な立場の記事を書くことを特徴。各分野の一流人物が執筆・編集に加わり、創刊から1ヶ月後には1万部を発行するほどの成功をおさめた。1924年には「ニューヨーク・ヘラルド」紙を買収、その後「ニューヨーク・ヘラルド・トリビューン」として1966年まで続く。　,,https://upload.wikimedia.org/wikipedia/commons/1/11/Horace_Greeley_restored.jpg,ホレス・グリーリー,,
NY,1887,,,,1920,,,,,「イブニング・サン」紙,(https://chroniclingamerica.loc.gov/lccn/sn83030428/) このページを訳せたら訳す…。(必要であれば),,,,,
NY,1832,6,28,,1838,,,,,NY市でコレラの流行が始まる,７月半ばにはペンシルヴェニア州フィラデルフィアとオハイオ州シンシナティ、８月半ばにはマサチューセッツ州ボストンとメリーランド州ボルティモアでそれぞれが流行し始め、大西洋岸のほとんどの大都市は大きな被害を受ける。　NY市の死者は2251人、NY州北部モホーク・ヴァレリーでは数千人、ニューオリンズでは10/25からの12日間で6000人が死んだ。これらの流行は1838年までに終息。,,,,,
NY,1843,,,,,,,,,ニューヨーク貧民生活改良協会(A.I.C.P)設立,1837年恐慌に続く長期不況で大都市に大量の生活困窮者が生じ、マサチューセッツ州貧民監督官で慈善事業の改革者であったジョセフ・タッカーマンの助言により設立。,,,,,
NY,1849,5,10,,,,,,,アスター広場暴動,,,,,,
NY,,,,,,,,,,,,,,,,
ジェイコブ・リース,1849,5,3,,1914,5,26,,,ジェイコブ・リース,デンマークのリーベにて生まれる。マサチューセッツ州バリにて逝去。,,,,,
ジェイコブ・リース,1870,,,,,,,,,アメリカ移住,当時21歳。当初は大工として職を求めた。,,,,,
ジェイコブ・リース,1889,,,,,,,,,How  the other half lives 出版,"日本語訳：千葉喜久枝『向こう半分の人々の暮らし』(創元社, 2018)",,,,,
ジェイコブ・リース,1901,,,,,,,,,The Making of an American 出版,ジェイコブ・リース自伝。日本語訳はないが、これについての日本語文献は 佐々木隆「ペンをふるう騎士──ジェイコブ・リースと『ある自伝─アメリカ人の誕生』」(同志社アメリカ研究、1992)(https://doors.doshisha.ac.jp/duar/repository/ir/9904/?lang=0)がある。,,,,,
ジェイコブ・リース,1877,,,,1888,,,,,「ニューヨーク・トリビューン」紙の警察詰記者となる,,,,,,
ジェイコブ・リース,1888,,,,1899,,,,,"






「イブニング・サン」紙の警察詰記者となる",,,,,,
ジェイコブ・リース,1884,,,,,,,,,不良アパート問題委員会(Tenement House Commission）を発足。,これにより「How the other half lives」の着想を得る,,,,,
ジェイコブ・リース,1892,,,,,,,,,The Children of the Poor 出版,,,,,,
ジェイコブ・リース,1903,,,,,,,,,Children of the Tenements 出版,,,,,,
