Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
日本の年号,2019,5,1,,now,,,,2019,令和,,,,,background,
日本の年号,1989,1,8,,2019,4,30,,,平成,,,,,background,
日本の年号,1926,12,25,,1989,1,7,,,昭和,,,,,background,
日本の年号,1912,7,30,,1926,12,25,,,大正,,,,,background,
日本の年号,1868,1,25,,1912,7,30,,,明治,,,,,background,
東映,1925,,,,2009,1,16,,,木更津東映,,,,,range,
富士館,1960,,,,2010,9,24,,,木更津富士館,,,,,range,
ムービーランド,1957,,,,2007,10,9,,,木更津ムービーランド,,,,,range,
セントラル,1965,,,,2012,1,13,,,木更津セントラル,,,,,range,
USシネマ,2014,10,18,,now,,,,,USシネマ木更津,,,,,range,
出来事,1997,12,18,,,,,,,アクアライン開通,,,,,box,
東映,2019,4,6,,,,,,,跡地,跡地は現在hanahaco bento の店舗になっている。,,,,box,
出来事,1959,,,,,,,,,キネマ旬報　昭和３４年春の特別号,当時の映画館が紹介されている。,,,,point,
東映,2007,,,,,,,,,日本で最後の”木更津キャッツアイ　ワールドシリーズ”　”日本シリーズ”の上映,,,,,point,
富士館,2019,4,6,,,,,,,跡地,現在ラケル木更津店モカの駐車場になっている。,,,,box,
ムービーランド,2019,4,6,,,,,,,跡地,現在は駐車場になっている。,,,,box,
ムービーランド,1965,,,,,,,,昭和40年代,木更津日活に,,,,,point,
セントラル,2019,4,6,,,,,,,跡地,現在はデュオヒルズ木更津の建設予定地になっている。,,,,box,
セントラル,1959,,,,,,,,,橘館,,,,,point,
セントラル,1959,,,,,,,,,弁天座,,,,,point,
セントラル,1972,,,,,,,,,セントラルボウル建設,,,,,point,
セントラル,1975,,,,,,,,,2館体制で再スタート,,,,,point,
東映,1939,,,,,,,,,常設の映画館”木更津銀映劇場”に,,,,,point,
東映,1958,,,,,,,,,木更津東映に,,,,,point,
出来事,1941,12,8,,1945,8,15,,,太平洋戦争,,,,,box,
出来事,2003,11,1,,,,,,,木更津キャッツアイ　日本シリーズ上映,,,,,,
出来事,2006,10,28,,,,,,,木更津キャッツアイ　ワールドシリーズ上映,,,,,,
