Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
政体,1804,,,,1814,,,,,第一帝政,,,,,range,
政体,1792,,,,1804,,,,,第一共和政,,,,,range,
政体,1789,5,5,,,,,,,フランス革命,,,,,point,
政体,1815,,,,,,,,,百日天下,,,,,point,
政体,1814,,,,1830,,,,,復古王政,,,,,range,
政体,1830,,,,1848,,,,,七月王政,,,,,range,
政体,1830,,,,,,,,,七月革命,,,,,point,
政体,1848,,,,1852,,,,,第二共和政,,,,,range,
アルマン,1848,,,,,,,,,二月革命,,,,,point,
政体,1852,,,,1870,,,,,第二帝政,,,,,range,
アルマン,1851,,,,,,,,,1851年のクーデタ,,,,,point,
アルマン,1870,,,,,,,,,普仏戦争,,,,,point,
アルマン,1827,8,13,,1900,,,,,アルマン,,,,,range,
アルマン,1846,5,24,,,,,,,ルイ＝ナポレオンの脱獄,,,,,point,
アルマン,1830,,,,1870,9,10,,,マリー,,,,,range,
政体,1870,9,,,1940,,,,,第三共和政,,,,,range,
次世代,1871,3,26,,1871,5,,,,パリ＝コミューン,,,,,point,
次世代,1894,,,,,,,,,ドレフュス事件,,,,,point,
ジジ,1914,7,28,,1918,11,11,,,第一次世界大戦,,,,,point,
ロベール,1929,,,,,,,,,世界恐慌,,,,,point,
ロベール,1939,,,,1945,,,,,第二次世界大戦,,,,,point,
ロベール,1940,,,,,,,,,パリ陥落,,,,,point,
ロベール,1944,6,6,,,,,,,ノルマンディー上陸,,,,,point,
ロベール,1944,8,25,,,,,,,パリ解放,,,,,point,
アルマン,1830,,,,1907,,,,,オドレイ,,,,,range,
アルマン,1808,4,20,,1873,1,9,,,ナポレオン３世,,,,,range,
次世代,1862,,,,1904,,,,,サン・ジャック,ナポレオン3世(54)、マリー(32)の非嫡出子。,,,,range,
次世代,1859,,,,1929,,,,,アルマンの娘,アルマン(32)、オドレイ(29)の娘。,,,,range,
ジジ,1884,10,31,,1955,2,2,,,ジジ,,,,,range,
ジジ,1881,,,,1945,,,,,エドガー,,,,,range,
ジジ,1882,7,2,,1957,12,26,,,クローディーヌ,,,,,range,
ジジ,1881,,,,1913,,,,,フレデリック,アルマンの息子の長男。アルマンの直系嫡子。,,,,range,
ジジ,1881,,,,1946,,,,,ルイス,サン・ジャック(19)、アルマンの娘(16)の長男。父方の祖父はナポレオン3世、祖母はマリー。母方の祖父はアルマン、祖母はオドレイ。,,,,range,
ジジ,1903,,,,1976,,,,,マクサンス,,,,,range,
ロベール,1912,4,14,,1994,4,1,,,ロベール,,,,,range,
ロベール,1912,,,,1989,,,,,ジャン,,,,,range,
ロベール,1913,,,,1995,,,,,ジョゼット,,,,,range,
ジジ,1901,,,,,,,,,ジジとエドガーの結婚,,,,,point,
アルマン,1849,,,,1870,,,,,ストーリー,,,,,background,
ジジ,1900,,,,1918,,,,,ストーリー,,,,,background,
ロベール,1930,,,,1945,,,,,ストーリー,,,,,background,
ジジ,1906,,,,2000,,,,,ジルベルト,,,,,range,
ジジ,1909,,,,2000,,,,,ナナ,,,,,range,
