Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,Url,Image URL,(未実装) Image Credit,Type,Color
Early Jazz,1872,,,,1972,,,,,Bill Johnson( William Manel Johnson),NOLA,,,,,
Early Jazz,1888,,,,1969,,,,,Alcide Parageau,NOLA,,,,,
Early Jazz,1891,,,,1986,,,,,Wellman Braud,NOLA,,,,,
Early Jazz,1892,,,,1969,,,,,Pops Foster,NOLA,,,,,
Early Jazz,1894,,,,1950,,,,,John Lindsay,NOLA,,,,,
Early Jazz,1908,,,,1952,,,,,John Kirby,VA,,,,,
Swing,1910,,,,2000,,,,,Milt Hinton,MS,,,,,
Swing,1914,,,,1987,,,,,Slam Stewart,NJ,,,,,
Swing,1916,,,,1977,,,,,Benny Moten,NY,,,,,
Swing,1917,,,,1986,,,,,Curley Russell,NY,,,,,
Swing,1918,,,,1974,,,,,Eddie Safanski,PA,,,,,
Bebop,1918,,,,1988,,,,,Tommy Potter,Philly,,,,,
Swing,1918,,,,1942,,,,,Jimmy Blanton,TN,,,,,
Bebop,1919,,,,2005,,,,,Al Mckibbon,Chicago,,,,,
Bebop,1919,,,,1974,,,,,Joe Benjamin,NJ,,,,,
Bebop,1919,,,,1962,,,,,Israel Crosby,IL,,,,,
Bebop,1920,,,,1985,,,,,George Duvivier,NY,,,,,
Bebop,1921,,,,1982,,,,,Monk Mongomery,IN,,,,,
Bebop,1922,,,,1979,,,,,Charles Mingus,AZ,,,,,
Bebop,1922,,,,1960,,,,,Oscar Pettiford,OK,,,,,
Bebop,1923,,,,2005,,,,,Percy Heath,NC,,,,,
Bebop,1923,,,,1979,,,,,Willbur Ware,Chicago,,,,,
Bebop,1924 ,,,,1981,,,,,Sam Jones,FL,,,,,
Bebop,1926,,,,2002,,,,,Ray Brown,PA,,,,,
Bebop,1926,,,,2020,,,,,Jimmy Merritt,Philly,,,,,
Bebop,1927,,,,1965,,,,,George Tucker,NY,,,,,
Bebop,1927,,,,2004,,,,,Malachi Favors,MS,,,,,
60s,1927,,,,1992,,,,,Red Michell,OR,,,,,
Bebop,1928,,,,2005,,,,,Piere Michelot,France,,,,,
Bebop,1928,,,,1999,,,,,Leroy Vinngar,IN,,,,,
60s,1930,,,,now,,,,,Richard Davis,Chicago,,,,,
Bebop,1931,,,,1987,,,,,Ali Jackson,Detroit,,,,,
60s,1932,,,,2016,,,,,Bob Cranshaw,Chicago,,,,,
Bebop,1932,,,,1979,,,,,David Izenzon,PA,,,,,
Bebop,1933,,,,2006,,,,,Wakter Booker,TX,,,,,
60s,1934,,,,1976,,,,,Jimmy Garrison,FL,,,,,
Bebop,1934,,,,1962,,,,,Doug Watkins,Detroit,,,,,
60s,1934,,,,2007,,,,,Art Davis,PA,,,,,
Bebop,1934,,,,now,,,,,Barrie Phillips,CA,,,,,
Bebop,1935,,,,1969,,,,,Paul Chambers,Detroit,,,,,
60s,1935,,,,now,,,,,Gary Peacock,ID,,,,,
60s,1935,,,,now ,,,,,Cecil McBee,OK,,,,,
60s,1936,,,,now,,,,,Chuck Israel,,,,,,
Bebop,1936,,,,1961,,,,,Scott LaFaro,NJ,,,,,
Bebop,1936,,,,1995,,,,,Larry Gales,NY,,,,,
60s-70s,1937,,,,2014,,,,,Charlie Haden,IA,,,,,
60s-70s,1937,,,,now,,,,,Ron Carter,Detroit,,,,,
60s-70s,1937,,,,now,,,,,Reggie Workan,OK,,,,,
60s-70s,1937,,,,1973,,,,,Spanky DeBaest,Philly,,,,,
60s-70s,1937,,,,now,,,,,Larry Ridley,IN,,,,,
60s-70s,1939,,,,2013,,,,,Butch Warren,D.C,,,,,
60s-70s,1940,,,,now,,,,,Eberhard Weber,Germany,,,,,
60s-70s,1940,,,,now,,,,,Steve Swallow,NJ,,,,,
60s-70s,1941,,,,now,,,,,Ron MuClure,CT,,,,,
60s-70s,1942,,,,now,,,,,Buster Williams,NJ,,,,,
60s-70s,1944,,,,now,,,,,Eddie Gomez,Puerto Rico,,,,,
60s-70s,1944,,,,now,,,,,George Mraz,Czech,,,,,
60s-70s,1944,,,,now,,,,,Rufus Reid,GA,,,,,
60s-70s,1946,,,,now,,,,,Dave Holland,UK,,,,,
60s-70s,1946,,,,2005,,,,,NHOP,Denmark,,,,,
60s-70s,1946,,,,now,,,,,Ray Drummond,MA,,,,,
60s-70s,1947,,,,now,,,,,Miroslav Vitous,Czech,,,,,
60s-70s,1947,,,,now,,,,,Paul Jackson,CA,,,,,
60s-70s,1947,,,,now,,,,,Barry Guy,UK,,,,,
60s-70s,1948,,,,now,,,,,Harvie S,MA,,,,,
60s-70s,1948,,,,now,,,,,Mads Vinding,Denmark,,,,,
80s-90s,1951,,,,1987,,,,,Jaco Pastorius,FL,,,,,
80s-90s,1951,,,,now,,,,,Stanley Clarke,Philly,,,,,
80s-90s,1951,,,,now,,,,,Alphonso Johnson,Philly,,,,,
80s-90s,1951,,,,2008,,,,,Dennis Irwin,AL,,,,,
80s-90s,1952,,,,now,,,,,John Clayton,CA,,,,,
80s-90s,1952,,,,now,,,,,William Parker,NY,,,,,
80s-90s,1952,,,,now,,,,,Mark Dresser,CA,,,,,
80s-90s,1953,,,,now,,,,,Marc Johnson,NE,,,,,
80s-90s,1955,,,,now,,,,,Nat Reeves,VA,,,,,
80s-90s,1955,,,,now,,,,,Jay Anderson,CA,,,,,
80s-90s,1955,,,,now,,,,,Santi Debriano,Panama,,,,,
80s-90s,1956,,,,now,,,,,Ralph Armstrong,Detroit,,,,,
80s-90s,1957,,,,now,,,,,Mike Boone,Philly,,,,,
80s-90s,1958,,,,now,,,,,Kiyoshi Kitagawa,Japan,,,,,
80s-90s,1958,,,,now,,,,,Gerald Cannon,WI,,,,,
80s-90s,1959,,,,now,,,,,John Patitucci,NY,,,,,
80s-90s,1959,,,,now,,,,,Marcus Miller,NY,,,,,
80s-90s,1959,,,,now,,,,,Drew Gress,NY,,,,,
80s-90s,1960,,,,now,,,,,Steve Baily,SC,,,,,
80s-90s,1960,,,,2016,,,,,Victor Baily,Philly,,,,,
