Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
"
",1973,,,,2000,,,,,"大規模小売店舗法
",大型店の出店が自由にできない（中小小売店を守るため）１,,,,,
,1986,12,,,1991,2,,,,バブル景気,コンビニ飯やコンビニ夜食が普及,,,,,
,2019,4,,,,,,,,有給休暇取得の義務化,,,,,,
,2001,9,11,,2001,9,11,,,9.11テロ,各地でゴミ箱の撤去され始める,,,,,
,2000,,,,,,,,,インターネット社会到来,,,,,,
,2008,9,15,,2008,9,15,,,リーマンショック,,,,,,
,2010,,,,,,,,,たばこ増税,,,,,,
,2007,11,,,2009,4,,,,ガソリン高・商品価格高,,,,,,
,2019,2,,,,,,,,東大阪市のセブン加盟店が深夜時短営業へ,,,,,,
セブンの歴史,1973,11,,,,,,,,米国サウスランド社と契約,,,,,,
セブンの歴史,1974,5,,,,,,,,第一号店出店（豊洲店）,,,,,,
セブンの歴史,1975,6,,,,,,,,24時間営業開始（虎丸店）,,,,,,
システム,1976,9,,,,,,,,ベンダーの集約化、共同配送開始,,,,,,
システム,1978,8,,,,,,,,ターミナルセブンによる発注開始,,,,,,
システム,1982,10,,,,,,,,POSシステム開始・EOBによる発注開始,,,,,,
システム,1985,5,,,,,,,,グラフ情報コンピューター導入開始,,,,,,
システム,1985,8,,,,,,,,双方向レジスター導入開始,,,,,,
システム,1987,3,,,,,,,,米飯共同配送３便制導入開始,,,,,,
サービス,1987,10,,,,,,,,東京電力料金収納業務取扱い開始,,,,,,
サービス,1988,3,,,,,,,,東京ガス料金収納業務取扱い開始,,,,,,
サービス,1988,11,,,,,,,,米飯２０度温度管理体制導入開始,,,,,,
サービス,1989,2,,,,,,,,第一生命保険料払い込み取扱開始,,,,,,
サービス,1989,6,,,,,,,,NHK放送受信料”継続振込”取扱開始,,,,,,
サービス,1989,11,,,,,,,,プリペイドカード取扱開始,,,,,,
サービス,1990,5,,,,,,,,三井海上ファミリーバイク自賠責保険取扱開始,,,,,,
システム,1990,9,,,,,,,,第4次総合店舗情報システム導入開始,,,,,,
サービス,1991,4,,,,,,,,NTT料金収納業務取扱開始,,,,,,
システム,1991,5,,,,,,,,ISDN(総合デジタル通信網：NTT)導入開始,Wi-Fiの前にあったインターネット接続方法,,,,,
システム,1992,10,,,,,,,,新本舗情報システム導入開始,,,,,,
サービス,1993,11,,,,,,,,「セブンイレブンみどりの募金」設立,,,,,,
サービス,1993,12,,,,,,,,共通食券取扱開始,,,,,,
店舗レイアウト,1994,4,,,,,,,,大型アイスクリームケース導入開始,,,,,,
サービス,1994,4,,,,,,,,割賦販売代金収納業務取扱開始,分割して支払う方法,,,,,
店舗レイアウト,1994,10,,,,,,,,チルドオープンケース導入開始,,,,,,
サービス,1994,11,,,,,,,,スキーリフト共通引換券取扱開始,,,,,,
サービス,1995,6,,,,,,,,通信販売代金収納業務取扱開始,,,,,,
店舗レイアウト,1996,1,,,,,,,,新型ゴンドラ導入開始,,,,,,
システム,1996,3,,,,,,,,気象情報システム導入開始,,,,,,
サービス,1996,4,,,,,,,,国際テレホンカード取扱開始,,,,,,
サービス,1996,10,,,,,,,,カラーコピー機導入開始,,,,,,
サービス,1996,11,,,,,,,,ゲームソフト販売開始,,,,,,
システム,1997,11,,,,,,,,衛星通信による第5次総合情報システム導入開始,,,,,,
サービス,1998,5,,,,,,,,音楽CD販売開始,,,,,,
サービス,1998,10,,,,,,,,雑誌定期購読予約サービス開始,,,,,,
システム,1999,3,,,,,,,,新型POSレジスター開始,,,,,,
店舗レイアウト,1999,3,,,,,,,,栄養ドリンク剤販売開始,,,,,,
サービス,1999,11,,,,,,,,イーショッピング・ブックス取扱開始,,,,,,
サービス,1999,11,,,,,,,,インターネット代金収納サービス開始,,,,,,
セブンの歴史,2000,2,,,,,,,,EC事業を設立,,,,,,
サービス,2000,8,,,,,,,,食事配達サービス設立,,,,,,
サービス,2001,4,,,,,,,,現セブン銀行設立,,,,,,
サービス,2001,5,,,,,,,,店内ATM設置開始,,,,,,
店舗レイアウト,2001,8,,,,,,,,オリジナルファストフード商品を販売,保存料・合成着色料を不使用,,,,,
サービス,2002,11,,,,,,,,マルチコピー機を活用したチケットサービス等の取り扱い開始,,,,,,
"
セブンの歴史",2004,1,,,,,,,,北京で第一号出店,,,,,,
サービス,2006,5,,,,,,,,チケット販売のイーブラスと提携、サービス開始,,,,,,
サービス,2007,4,,,,,,,,独自の電子マネーnanaco導入開始,,,,,,
店舗レイアウト,2007,8,,,,,,,,セブンプレミアムを販売開始,,,,,,
店舗レイアウト,2007,10,,,,,,,,カウンター調理商品の販売開始,,,,,,
セブンの歴史,2007,12,,,,,,,,日テレ７設立,情報メディアと小売業を融合,,,,,
セブンの歴史,2008,7,,,,,,,,セブンイレブンネット開始,,,,,,
サービス,2009,6,,,,,,,,大衆薬の24時間テスト販売開始,,,,,,
サービス,2009,12,,,,,,,,セブンネットショッピングサービス開始,,,,,,
サービス,2010,2,,,,,,,,マルチコピー機による住民票の写し、印鑑登録証明書の発行サービス開始,,,,,,
サービス,2010,6,,,,,,,,クレカで決済開始,,,,,,
サービス,2011,5,,,,,,,,お買い物支援向け移動販売開始,,,,,,
サービス,2012,2,,,,,,,,マルチコピー機による税の証明書の発行サービスを開始,,,,,,
サービス,2012,5,,,,,,,,セブンライフスタイル販売開始,,,,,,
サービス,2012,7,,,,,,,,超小型電気自動車による商品お届けサービス開始,,,,,,
店舗レイアウト,2013,1,,,,,,,,セブンカフェ販売開始,,,,,,
店舗レイアウト,2014,10,,,,,,,,セブンカフェドーナツ販売開始,,,,,,
サービス,2014,12,,,,,,,,免税サービス開始,,,,,,
サービス,2015,11,,,,,,,,オムニ７グランドオープン,,,,,,
"
セブンの歴史",2016,2,,,,,,,,水素ステーション併設店舗を開店,,,,,,
,1976,5,,,,,,,,出店数100,,,,,,
,1980,11,,,,,,,,出店数1000,,,,,,
,1984,2,,,,,,,,出店数2000,,,,,,
,1987,4,,,,,,,,出店数3000,,,,,,
,1990,6,,,,,,,,出店数4000,,,,,,
,1993,2,,,,,,,,出店数5000,,,,,,
,1995,5,,,,,,,,出店数6000,,,,,,
,1997,6,,,,,,,,出店数7000,,,,,,
,1999,11,,,,,,,,出店数8000,,,,,,
,2002,2,,,,,,,,出店数9000,,,,,,
,2003,8,,,,,,,,出店数10000,,,,,,
,2005,11,,,,,,,,出店数11000,,,,,,
,2008,2,,,,,,,,出店数12000,,,,,,
,2013,2,,,,,,,,出店数15000,,,,,,
,2018,1,,,,,,,,出店数20000,,,,,,
