Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,(未実装) Image Credit,Type,Color
プロローグ,1969,11,,,,,,,,第三機動隊が九号館に突入,,,,,,red
プロローグ,1969,4,,,,,,,1969年春,僕と直子の会話。大学のラウンジで,,,,,,red
プロローグ,1973,5,,,,,,,,「僕」が直子の故郷を訪問,,,,,,red
プロローグ,1973,9,,,,,,,,この小説の入口,,,,,,red
Chapter 1,1972,4,,,,,,,1972年春,「僕」が友人と翻訳事務所を開業,,,,,,red
Chapter 1,1973,4,,,,,,,1973年春,「僕」が双子の女の子と暮らし始める,,,,,,red
Chapter 2,1973,9,15,,,,,,1973年九月半ば,「鼠」がジェイズ・バーで過ごす,,,,,,blue
Chapter 2,1970,4,,,,,,,1970年春,「鼠」が大学を辞める,,,,,,blue
Chapter 3,1973,9,30,,,,,,,配電盤の工事,,,,,,red
Chapter 4,1973,9,29,,,,,,,「鼠」と無人灯台の思い出,,,,,,blue
Chapter 5,1969,10,,,1970,3,,,秋の初めから冬の終わり,「僕」がアパートの少女に電話を取り次ぐ,,,,,,red
Chapter 5,1970,3,,,,,,,三月の初め,アパートの少女の引っ越し,,,,,,red
Chapter 5,1973,10,1,3:00,,,,,,双子が眠ったあとで、「僕」が配電盤を見つめる,,,,,,red
Chapter 6,1973,9,29,,,,,,,女が鼠のアパートに来ている,,,,,,blue
Chapter 6,1973,9,1,,,,,,,鼠が女と初めて会う,,,,,,blue
Chapter 6,1973,9,4,,,,,,,女から電話。ジェイズ・バーへ,,,,,,blue
Chapter 6,1973,9,8,,,,,,,「鼠」と女が市民プールへ。女のアパートまで送り、寝る。,,,,,,blue
Chapter 7,1973,10,4,,,,,,,双子が「ラバー・ソウル」のレコードをかける,,,,,,red
Chapter 8,1973,10,6,,,,,,,「鼠」と女の霊園デート,,,,,,blue
Chapter 9,1973,10,8,,,,,,,いなくなった双子を探してゴルフコースへ,,,,,,red
Chapter 10,1973,10,10,,,,,,,「鼠」が閉店後のジェイズ・バーへ,,,,,,blue
Chapter 11,1973,10,11,,,,,,,双子が配電盤の葬式を提案する,,,,,,red
Chapter 11,1973,10,14,,,,,,,貯水池で配電盤の葬式,,,,,,red
Chapter 12,1973,10,18,,,,,,,「僕」と事務所の女の子がレストランに行く,,,,,,red
Chapter 13,1973,10,21,,,,,,,ピンボールが僕の心を捉える,,,,,,red
Chapter 13,1970,7,,,,,,,1970年夏,「僕」と「鼠」がジェイズ・バーでピンボールに熱中する,,,,,,red
Chapter 14,1973,10,25,,,,,,,久々に混み合ったジェイズ・バーで、鼠が飲みすぎて吐く,,,,,,blue
Chapter 15,1970,10,,,1971,2,,,,「僕」が新宿のスペースシップに熱中する,,,,,,red
Chapter 15,1971,2,,,,,,,,新宿のスペースシップが撤去される,,,,,,red
Chapter 16,1973,10,26,,,,,,,「鼠」が車の中から女の家の中の様子を思い出す,,,,,,blue
Chapter 17,1973,10,29,,,,,,,スペイン語の講師と会う,,,,,,red
Chapter 18,1973,10,30,,1973,11,6,,,何もかもが永遠にその姿を留めるようにも思える、素晴らしい一週間,,,,,,red
Chapter 18,1973,11,4,,,,,,,双子と植物園に行く,,,,,,red
Chapter 19,1973,11,2,,1973,11,4,,,鼠がジェイズ・バーに通うが、街を離れることを切り出せない,,,,,,blue
Chapter 19,1973,11,5,,,,,,,鼠が閉店後のジェイズ・バーでジェイと会話する,,,,,,blue
Chapter 20,1973,11,7,,,,,,,僕が大学講師から連絡を受け、倉庫に向かう,,,,,,red
Chapter 21,1973,11,7,,,,,,,タクシーが倉庫に到着,,,,,,red
Chapter 22,1973,11,7,,,,,,,倉庫でスペースシップとの再会,,,,,,red
Chapter 23,1973,11,9,,,,,,,鼠が女への連絡をやめる,,,,,,blue
Chapter 24,1973,11,10,,,,,,,鼠がジェイに旅立ちを告げる,,,,,,blue
Chapter 25,1973,11,15,,,,,,,僕が耳鼻科に行く,,,,,,red
Chapter 25,1973,11,18,,,,,,,僕が双子を見送る,,,,,,red
