Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
出来事,1954,11,3,,,,,,,ゴジラ,,,,,,
出来事,1955,4,24,,,,,,,ゴジラの逆襲,,,,,,
出来事,1962,8,11,,,,,,,キングコング対ゴジラ,,,,,,
出来事,1964,4,29,,,,,,,モスラ対ゴジラ,,,,,,
出来事,1964,12,20,,,,,,,三大怪獣 地球最大の決戦,,,,,,
出来事,1965,12,19,,,,,,,怪獣大戦争,,,,,,
出来事,1966,12,17,,,,,,,ゴジラ・エビラ・モスラ 南海の大決闘,,,,,,
出来事,1967,12,16,,,,,,,怪獣島の決戦 ゴジラの息子,,,,,,
出来事,1968,8,1,,,,,,,怪獣総進撃,,,,,,
出来事,1969,12,20,,,,,,,ゴジラ・ミニラ・ガバラ オール怪獣大進撃,,,,,,
出来事,1971,7,24,,,,,,,ゴジラ対へドラ,,,,,,
出来事,1972,3,12,,,,,,,地球攻撃命令 ゴジラ対ガイガン,,,,,,
出来事,1973,3,17,,,,,,,ゴジラ対メガロ,,,,,,
出来事,1974,3,21,,,,,,,ゴジラ対メカゴジラ,,,,,,
出来事,1975,3,15,,,,,,,メカゴジラの逆襲,,,,,,
出来事,1984,12,15,,,,,,,ゴジラ,,,,,,
出来事,1989,12,16,,,,,,,ゴジラvsビオランテ,,,,,,
出来事,1991,12,14,,,,,,,ゴジラvsキングギドラ,,,,,,
出来事,1992,12,12,,,,,,,ゴジラvsモスラ,,,,,,
出来事,1993,12,11,,,,,,,ゴジラvsメカゴジラ,,,,,,
出来事,1994,12,10,,,,,,,ゴジラvsスペースゴジラ,,,,,,
出来事,1995,12,9,,,,,,,ゴジラvsデストロイア,,,,,,
出来事,1999,12,11,,,,,,,ゴジラ2000 ミレニアム,,,,,,
出来事,2000,12,16,,,,,,,ゴジラ×メガギラス G消滅作戦,,,,,,
出来事,2001,12,15,,,,,,,ゴジラ・モスラ・キングギドラ 大怪獣総攻撃,,,,,,
出来事,2002,12,14,,,,,,,ゴジラ×メカゴジラ,,,,,,
出来事,2003,12,13,,,,,,,ゴジラ×モスラ×メカゴジラ 東京SOS,,,,,,
出来事,2004,12,4,,,,,,,ゴジラ FINAL WARS,,,,,,
出来事,2016,7,29,,,,,,,シン・ゴジラ,,,,,,
