Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
インド,-3228,,,,-3102,,,,－３２２８？～－３１０２？,クリシュナ,,,,,,
インド,-3139,,,,,,,,,マハーバーラタ戦争,,,,,,
インド,-1800,,,,-1720,,,,－１８００？～,ゴータマ・ブッダ（釈尊）,,,,,,
インド,1836,2,18,,1886,8,16,,,シュリー・ラーマクリシュナ,,,https://blogimg.goo.ne.jp/user_image/70/ca/455e8e92063e00d34e9380e412fd6a80.jpg,,,
インド,1896,4,30,,1982,8,27,,,アーナンダマイー・マー,,,https://blogimg.goo.ne.jp/user_image/00/e7/57ea58fe4326c193efa0b3084deebed7.jpg,,,
インド,1838,,,,1918,10,15,,,シルディ・サイババ,,,,,,
インド,-509,,,,-477,,,,－５０９～－４７７？,シャンカラ,,,,,,
インド,150,,,,250,,,,,龍樹（ナーガールジュナ）,,,https://blogimg.goo.ne.jp/user_image/4e/d7/5a77e815686e8af6307385e7ed1756e7.jpg,,,
インド,390,,,,470,,,,,アサンガ,,,https://blogimg.goo.ne.jp/user_image/58/82/1b596ff8e2f5017af8e15a34c8017787.jpg,,,
インド,650,,,,750,,,,,シャーンティデーヴァ,,,https://blogimg.goo.ne.jp/user_image/4e/72/067e10eb906d6fa6730431a4494c5582.jpg,,,
インド,980,,,,1052,,,,,アティーシャ,,,,,,
インド,988,,,,1069,,,,９８８～１０６９？,ティローパ,,,https://blogimg.goo.ne.jp/user_image/64/57/ef2b43949f608bb40997ab9c7627cfe4.jpg,,,
インド,1016,,,,1100,,,,１０１６～１１００？,ナーローパ,,,https://blogimg.goo.ne.jp/user_image/7e/3a/f71f9404c24bae013cdff09459df79f6.jpg,,,
インド,1486,,,,1533,,,,,チャイタニヤ,,,https://blogimg.goo.ne.jp/user_image/59/d0/f0c157a28e6d58179652d9457b15711f.jpg,,,
インド,1498,,,,1546,,,,,ミーラーバーイー,,,https://blogimg.goo.ne.jp/user_image/36/00/8c5d2a56c848da7b80871f3f049a6415.jpg,,,
インド,1554,,,,1623,,,,,トゥルシーダース,,,https://s.yimg.com/ny/api/res/1.2/lf22zKhnjbZu.f6tQONwSA--~A/YXBwaWQ9aGlnaGxhbmRlcjtzbT0xO3c9NjI1O2g9MzUwO2lsPXBsYW5l/http://media.zenfs.com/en_IN/News/Astroyogi/Tulsidas-JAyanti.jpg,,,
インド,1723,,,,1775,,,,１７１８or１７２３～ ,ラームプラサード,,,,,,
インド,1828,,,,1895,,,,,ラヒリ・マハーシャヤ,,,https://blogimg.goo.ne.jp/user_image/27/1d/3a01368075082b8987191a51781667e5.jpg,,,
