Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
サンフランシスコ国際空港,1927,,,,,,,,,市営空港として開港,,,,,,
サンフランシスコ国際空港,1985,,,,,,,,,ユナイテッド航空の主要拠点空港に,,,,,,
サンフランシスコ国際空港,1963,,,,now,,,,,ターミナル1,,,,,,
サンフランシスコ国際空港,1954,,,,now,,,,,ターミナル2,,,,,,
サンフランシスコ国際空港,2011,,,,,,,,,ターミナル2改修,,,,,,
サンフランシスコ国際空港,1979,,,,now,,,,,ターミナル3,,,,,,
サンフランシスコ国際空港,1981,,,,,,,,,ターミナル3増設,,,,,,
サンフランシスコ国際空港,2000,,,,now,,,,,国際線ターミナル,,,,,,
サンフランシスコ国際空港,2003,,,,,,,,,鉄道でサンフランシスコ中心部まで接続される,,,,,,
アメリカでの出来事,1975,,,,,,,,,航空規制緩和,,,,,,
アメリカでの出来事,2001,,,,,,,,,同時多発テロ,,,,,,
出来事,1939,,,,1945,,,,,第二次世界大戦,,,,,,
出来事,1973,,,,,,,,,オイルショック,,,,,,
出来事,2007,,,,,,,,,世界金融危機,,,,,,
出来事,1903,,,,,,,,,ライト兄弟による初飛行,,,,,,
出来事,1936,,,,,,,,,ダグラスDC-3就航開始,,,,,,
出来事,1943,,,,,,,,,ロッキードコンステレーション（4発大型航空機）初飛行,,,,,,
出来事,1957,,,,,,,,,B707（ジェット旅客機）初飛行,,,,,,
出来事,1969,,,,,,,,,B747（ジャンボジェット）初飛行,,,,,,
出来事,1976,,,,,,,,,超音速航空機（コンコルド）就航開始,,,,,,
出来事,2007,,,,,,,,,A380（総2階建て巨人機）就航開始,,,,,,
出来事,2011,,,,,,,,,B787（中型ジェット機）,,,,,,
出来事,1995,,,,2005,,,,,アジア・オーストラリア・中南米でLCCの企業が相次ぐ,,,,,,
