Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
人物,1482,11,17,,now,,,,,ゼロ・ディグニハイト,リェス・ドゥガー村の神官であるディグニハイト家の長男。神事に用いる呪術の素養が無く故郷では孤立していた。王宮軍に収監され、数年後に脱出したところをツヴァイクに助けられ今に至る。天真爛漫で気が強く、世間知らずな面もある。歌が得意。,,,,box,
人物,1474,7,20,,now,,,,,ユーリ・ローゼンツヴァイク,情報屋として生計を立てる隻眼の男性。銃使い。テラと共に暮らしている。とある事件が原因で精神を病む。冷静沈着で面倒見が良いが、不器用な一面もある。ゼロや王宮とは少なからず因縁がある模様。,,,,box,
人物,1483,3,9,,now,,,,,テラ・ジュラフスキ,ツヴァイクのもとで暮らす青年。落ち着いた性格でリアリストだが、情に厚い一面もある。書物を読むことが好きで知識も豊富。生き別れの兄マルやゼロとは反りが合わない。ツヴァイクにはある特別な感情を抱いている。,,,,box,
人物,1489,5,30,,now,,,,,アイリス・ディグニハイト,リェス・ドゥガー村の神官であるディグニハイト家の長女。ゼロの妹。生まれつき呪術に秀でており将来を期待されていた。村壊滅後は従者のマルと共に城下町の仕立屋で匿われている。社交的で誰にでもおおらかに接する。兄であるゼロを慕っている。,,,,box,
人物,1479,1,12,,now,,,,,マル・ジュラフスキ,リェス・ドゥガー村の神官であるディグニハイト家の長女。ゼロの妹。生まれつき呪術に秀でており将来を期待されていた。村壊滅後は従者のマルと共に城下町の仕立屋で匿われている。社交的で誰にでもおおらかに接する。兄であるゼロを慕っている。,,,,box,
人物,1468,10,2,,now,,,,,デューク・アルトマン,クレイウス王国第一王子アルフィリアに仕える上級使用人。謹厳実直で、若いながらも周囲からの信頼は厚い。継承戦争ではアルフィリア派の筆頭として奮闘するも、ロベルト派に王宮を追放される。ゼロたちと手を組み、ロベルトの目論見を止めるために行動する。剣術に秀でている。,,,,box,
人物,1473,12,22,,now,,,,,イリーナ・シャロノヴァ,クレイウス王国第二王子ロベルトに仕える上級使用人。若くして一メイドから昇格した異例の経歴を持つ、優秀な使用人である。ロベルトに心酔し、王位継承計画に全面的に加担している。プライドが高く、人を寄せ付けない凛々しさを持った女性。武器は槍。,,,,box,
人物,1465,4,14,,now,,,,,アルフィリア,クレイウス王国の第一王子。次期王位継承者であるが、ロベルトの策略によりその地位が揺らいでいる。明るく朗らかな性格で美を愛し、庶民からの人気も根強い。植物に対して造詣が深く、薬草の研究も行っている。魔術に対しては懐疑的な立ち位置を貫いている。,,,,box,
人物,1470,6,18,,now,,,,,ロベルト,クレイウス王国の第二王子。王宮軍の統治権も握る。魔術に魅せられ、独自に訓練を積み魔術師として暗躍。王の側室の息子であり継承順位は低いが、持ち前のカリスマ性で周囲を掌握し、義兄から王位を奪おうと目論む。内向的で皮肉屋。,,,,box,
人物,1000,,,,now,,,,,まもさん,リェス・ドゥガー村の近辺に住まう、歌声で人を魅了する半鳥の魔物。人間に敵意を抱いている。ディグニハイトの初代により封印されたが、村が壊滅したことで封印が解け、所在不明である。名前を決して明かさないため、ロベルトからは「セイレーン」村民からは「ディソナンス」と呼ばれている。,,,,box,
