Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
民間空港の歴史,1930,,,,1937,,,,,セレター空港,,,,,,
民間空港の歴史,1955,,,,1981,,,,,パヤ・レバー空港,,,,,,
チャンギ国際空港,1975,,,,1977,,,,,用地造成,,,,,,
チャンギ国際空港,1981,,,,,,,,,開港,,,,,,
チャンギ国際空港,1981,,,,now,,,,,ターミナル1,,,,,,
チャンギ国際空港,1990,,,,now,,,,,ターミナル2,,,,,,
チャンギ国際空港,2008,,,,now,,,,,ターミナル3,,,,,,
チャンギ国際空港,2006,,,,2011,,,,,旧バジェット・ターミナル（LCC専門）,,,,,,
チャンギ国際空港,2017,,,,now,,,,,ターミナル4,,,,,,
チャンギ国際空港,2018,,,,now,,,,,ジュエル・チャンギ・エアポート,,,,,,
出来事,2002,,,,,,,,,MRT開業,,,,,,
出来事,1973,,,,,,,,,オイルショック,,,,,,
出来事,2007,,,,,,,,,エアバスA380の世界初運行,,,,,,
出来事,2007,,,,,,,,,世界金融危機,,,,,,
