Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
品質指標,2019,8,1,,,,,,,品質指標策定Project KickOff,,,,,,
品質指標,2020,1,1,,,,,,,品質指標phase1,,,,,,
品質指標,2021,,,,,,,,,品質指標phase2,,,,,,
品質指標,2022,,,,,,,,,品質指標phase3,,,,,,
RealIssue管理,2019,9,1,,,,,,,RealIssueの定義,,,,,,
RealIssue管理,2020,1,1,,,,,,,RealIssue Phase1,,,,,,
RealIssue管理,2021,,,,,,,,,RealIssue Phase2,,,,,,
RealIssue管理,2022,,,,,,,,,RealIssue Phase3,,,,,,
前倒し欠陥率,2019,10,1,,,,,,,前倒し欠陥率の定義,,,,,,
前倒し欠陥率,2020,1,1,,,,,,,前倒し欠陥率phase1,,,,,,
前倒し欠陥率,2021,,,,,,,,,前倒し欠陥率phase2,,,,,,
前倒し欠陥率,2022,,,,,,,,,前倒し欠陥率phase3,,,,,,
コストモデル,2019,11,1,,,,,,,コストモデルの定義,,,,,,
コストモデル,2020,6,1,,,,,,,コストモデルphase1,,,,,,
コストモデル,2021,,,,,,,,,コストモデルphase2,,,,,,
コストモデル,2022,,,,,,,,,コストモデルphase3,,,,,,
