Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
マグナテルラ歴,2580,,,,2625,,,,,最終理想都市マグナテルラ,,,,,,
マグナテルラ歴,2610,,,,2611,,,,,旧都大戦,,,,,,
マグナテルラ歴,2620,2,12,,2620,2,25,,,旧都攻撃作戦/Resist Sequence.01,,,,,,
マグナテルラ歴,2620,3,16,,2620,3,31,,,第三工場暴動事件/Resist Sequence.02,,,,,,
マグナテルラ歴,2620,4,13,,2620,4,29,,,アルテミス掃討作戦/Resist Sequence.03,,,,,,
マグナテルラ歴,2620,7,21,,2620,8,12,,,コード・デッドエンド/Resist Sequence.04,,,,,,
マグナテルラ歴,2620,11,4,,2620,11,25,,,メカニカ・ビーストの再起動/Resist Sequence.05,,,,,,
マグナテルラ歴,2620,12,16,,2620,1,20,,,第14小隊救出作戦/Resist Sequence.06,,,,,,
モノ(T-LOS02),2590,,,,,,,,,T-LOSプロジェクト始動,,,,,,
モノ(T-LOS02),2590,,,,2610,,,,,T-LOSプロジェクト,,,,,,
モノ(T-LOS02),2605,,,,,,,,,T-LOS01～04を製造、起動,,,,,,
モノ(T-LOS02),2609,1,1,,,,,,2609年,T-LOS02の訓練課程が完了、地下への潜入を開始,,,,,,
モノ(T-LOS02),2605,,,,2609,,,,,T-LOS02訓練課程,,,,,,
モノ(T-LOS02),2609,,,,2611,,,,,T-LOS02地下潜入期間,,,,,,
モノ(T-LOS02),2609,2,1,,,,,,2609年,クラウスと出会い、ギアに所属する,,,,,,
モノ(T-LOS02),2610,,,,2621,,,,,ギア所属期間,,,,,,
モノ(T-LOS02),2620,2,12,,2620,2,25,,,旧都保管庫爆破作戦,,,,,,
モノ(T-LOS02),2620,3,16,,,,,,,片腕を損傷,,,,,,
モノ(T-LOS02),2620,11,3,,,,,,,ルシアと交戦、頭部のみ戦線離脱,,,,,,
モノ(T-LOS02),2620,11,5,,,,,,,ズクと会話中、予期せぬエラーが発生,,,,,,
シェイド・ワイゼンバウム,2583,,,,,,,,,0歳：マグナテルラ一般家庭に誕生,,,,,,
シェイド・ワイゼンバウム,2588,,,,,,,,,5歳：医師である叔父の家に移る,,,,,,
シェイド・ワイゼンバウム,2590,,,,2601,,,,,学校教育期間,,,,,,
シェイド・ワイゼンバウム,2597,,,,2601,,,,,叔父の元、医院にて経験を積む,,,,,,
シェイド・ワイゼンバウム,2598,,,,,,,,,14歳：フォイボスと出会う,,,,,,
シェイド・ワイゼンバウム,2602,,,,,,,,,18歳：政府軍に入隊,,,,,,
シェイド・ワイゼンバウム,2603,,,,2606,,,,,従軍医師(軍医)期間,,,,,,
シェイド・ワイゼンバウム,2606,,,,,,,,,22歳：捕虜となり、顔と背中に大やけどを負う,,,,,,
シェイド・ワイゼンバウム,2607,,,,2621,,,,,軍医兼カウンセラー,,,,,,
シェイド・ワイゼンバウム,2621,,,,,,,,,37歳：現在,,,,,,
シェイド・ワイゼンバウム,2621,,,,,,,,,ブルートの監視官兼主治医になる,,,,,,
