Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
event,1928,,,,,,,,,Born in Austria,,,,,point,
event,1941,,,,,,,,,MIyazaki Hayao born.,,,,,point,
event,1945,,,,,,,,,Finish World War II,,,,,point,
event,1945,,,,,,,,,travel to Africa.,,,,,point,
event,1984,,,,,,,,,風の谷のナウシカ上映,,,,,point,
event,1986,,,,,,,,,天空の城ラピュタ上映,,,,,point,
event,1988,,,,,,,,,となりのトトロ上映,,,,,point,
event,2000,,,,,,,,,Die(72),,,,,point,
event,2008,,,,,,,,,崖の上のポニョ,,,,,point,
event,2010,,,,,,,,,借りぐらしのアリエッティ,,,,,point,
works,1948,,,,,,,,,母の肖像(20歳),,,,,point,
works,1952,,,,,,,,,"
Building that sheds blood(血を流す建物)",,,https://cdn.snsimg.carview.co.jp/minkara/photo/000/003/910/372/3910372/p3.jpg?ct=c181f0beffac,,box,
works,1992,,,,,,,,,シュピッテラウ焼却場,,,https://niteru-news.info/wp-content/uploads/2019/02/syupitterau.jpg,,box,
works,1994,,,,,,,,,Plochingen集合住宅,,,https://stat.ameba.jp/user_images/20150811/13/ym0986/47/02/j/o0539037813392606867.jpg?caw=800,,box,
works,1997,,,,,,,,,Rogner Bad Blumau(ブルマウ温泉村),,,https://cdn.omni-links.com/tourimages/thumb/8a8dc79b941ccf3db5ffd3fa4bb9228d_thumb_1680x1280.jpg,,box,
works,1997,,,,,,,,,子どもの国,,,https://media-cdn.tripadvisor.com/media/photo-s/05/d2/52/14/caption.jpg,,box,
works,2000,,,,,,,,,Waldspirale,,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Waldspirale_Darmstadt_-_Hundertwasser-Haus.JPG/330px-Waldspirale_Darmstadt_-_Hundertwasser-Haus.JPG,,box,
works,2001,,,,,,,,,大阪市環境局舞洲工場,,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Maishima_waste_treatment_center_Osaka_JPN_002.jpg/330px-Maishima_waste_treatment_center_Osaka_JPN_002.jpg,,box,
works,2004,,,,,,,,,大阪市舞洲スラッジセンター,,,https://s3-ap-northeast-1.amazonaws.com/static.amanaimages.com/imgroom/cen3tzG4fTr7Gtw1PoeRer/02768/02768003171.jpg,,box,
