Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
ラズアリィ　本編,100,7,,,100,8,,,,平成,,,,,,
,1926,,,,1988,,,,,昭和,,,,,,
,1912,,,,1926,,,,,大正,,,,,,
,1868,,,,1912,,,,,明治,,,,,,
,1588,,,,1867,,,,,江戸,,,,,,
,1745,2,18,,1827,3,5,,,ボルタ,,,,,,
,1777,4,30,,1855,2,23,,,ガウス,,,,,,
,1789,3,16,,1854,7,6,,,オーム,,,,,,
,1660,,,,,,,,,ゲーリッケの硫黄球, 琥珀が羽毛を吸い寄せることに興味を持っていたゲーリッケは琥珀を強くこすり、これを他の物体に近づけるとパチパチと音を立てること、また暗闇ではわずかに光ることを発見し、もっと強い電気を求めた。,,http://www.westatic.com/img/dict/dkijt/guericke_test2.jpg,,,
,1746,,,,,,,,,ライデン瓶,,,,,,
,1775,,,,,,,,,ボルタの電気盆,,,,,,
,1752,,,,,,,,,フランクリンの凧,,,,,,
,1789,,,,,,,,,クーロンの法則,,,,,,
,1850,,,,,,,,,ガウスの法則,,,,,,
,1850,,,,,,,,,ウェーバの法則,,,,,,
,1791,,,,,,,,,カルバーニの生物電気仮説,,,,,,
,1799,,,,,,,,,ボルタの電池,,,,,,
,1836,,,,,,,,,ダニエル電池,,,,,,
,1800,,,,,,,,,カーライルの水の電気分解,,,,,,
,1821,,,,,,,,,ゼーベック効果,,,,,,
,1834,,,,,,,,,ペルチェ効果,,,,,,
,1826,,,,,,,,,オームの法則,,,,,,
,1845,,,,,,,,,キルヒホッフの法則,,,,,,
,1820,,,,,,,,,エルステッドの発見,,,,,,
