Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
主なジャンル,593,,,,,,,,飛鳥,仏画,中国からの影響を受け、平安時代初め頃まで描き続けられる　仏具や寺、古墳壁画など,,,,,
作家・作品,700,,,,,,,,奈良,「高松塚古墳壁画」,,,,,,
主なジャンル,794,,,,,,,,平安,大和絵,それまでの中国的な主題を描いたものを「唐絵」と呼ぶのに対し、日本を主題に（風土、生活、物語や和歌の世界）描いたものを「大和絵」と呼び始める　遠くのものを同じ大きさで上へ上へと積み重ねて描かれていく,,,,,
主なジャンル,980,,,,,,,,平安,絵巻,大和絵に文書を合わせたものが制作されるようになる　日本4大絵巻、、「鳥獣人物戯画」「源氏物語絵巻」「信貴山縁起」「伴大納言絵詞」屋根をなくす表現’吹抜屋台’や、異時同図法などが生まれた。,,,,,
主なジャンル,1192,,,,,,,,鎌倉,似絵,肖像画においては模写でなく直接本人に似せて描かれるようになる,,,,,
主なジャンル,1338,,,,,,,,室町,水墨画,鎌倉時代に中国から流入してきた禅宗の隆盛にあわせて流行（この時代の画人には禅僧が多い）　山水や花鳥は主に模写　それらのモチーフを再構成し限られた色彩で表現するという点に重きが置かれた,,,,,
流派,1338,,,,1868,,,,室町,土佐派,祖：土佐行光　やまと絵の伝統を受け継ぐ一派　室町時代における日本絵画界の中心だったが新興の狩野派に地位を奪われる,,,,,
作家・作品,1420,,,,,,,,1420,雪舟,実際に中国へ渡り独自の画風を得た,,,,,
主なジャンル,400,,,,,,,,古墳,装飾（古墳）壁画など,装飾古墳は、日本において絵筆に絵具を付けて絵を描くという行為が確認できる最古の例,,,,,
主なジャンル,1573,,,,,,,,安土桃山,障壁画,障壁画とは襖絵や屏風絵のこと　古くからあったがここで隆盛　権力の象徴となり、より巨大に豪華に創られるようになる,,,,,
流派,1500,,,,1900,,,,安土桃山,狩野派,祖：狩野正信　安土桃山〜江戸時代において繁栄　400年に渡り画壇の中心を成す　,,,,,
作家・作品,1543,,,,,,,,1543,狩野永徳,巨大障壁画を大成させる　「唐獅子図屏風」「洛中洛外図屏風」など,,,,,
主なジャンル,1603,,,,,,,,江戸,浮世絵,庶民が力を得て文化の担い手となる　生活や流行、遊女や役者などをテーマにした絵画　モノクロの墨摺絵から紅絵、極彩色の錦絵へと変化,,,,,
作家・作品,1618,,,,,,,,1618,菱川師宣,多くの版本の挿絵を描いた　肉筆浮世絵の祖と言われる,,,,,
作家・作品,1686,,,,,,,,1686,奥村政信,奥村派の始祖　西洋から遠近法を取り入れる　紅絵の発明、美人画の発展にも貢献　,,,,,
作家・作品,1725,,,,,,,,1725?,鈴木春信,錦絵を大成させる　美人画が大人気のカリスマ,,,,,
作家・作品,1752,,,,,,,,1752,鳥居清長,鈴木春信に次ぐカリスマ絵師　スタイルのいい美人画,,,,,
作家・作品,1756,,,,,,,,1756,鳥文斎栄之(ちょうぶんさいえいし),清長に憧れて美人画を制作　清長よりさらにスタイルのいい？美人画,,,,,
主なジャンル,1618,,,,,,,,江戸中期,美人画,,,,,,
主なジャンル,1794,,,,,,,,江戸後期,役者絵,役者の似顔絵　ブロマイドのようなもの,,,,,
作家・作品,1753,,,,,,,,1753?,喜多川歌麿,美人画において大首絵（上半身のクローズアップ）を発明　栄之をしのぐトップ絵師に,,,,,
作家・作品,1794,,,,,,,,不明,東洲斎写楽,わずか10ヶ月の間に140種の役者絵と少数の相撲絵を残したとされる　役者絵は型にはまることなく、似ていると評判　経歴は謎が多い　,,,,,
流派,1790,,,,1868,,,,江戸後期,歌川派,祖：歌川豊春,,,,,
作家・作品,1769,,,,,,,,1769,歌川豊国,,,,,,
作家・作品,1797,,,,,,,,1797,歌川広重,「東海道五十三次」によって当時主流ではなかった風景画の地位を向上,,,,,
作家・作品,1760,,,,,,,,1760,葛飾北斎,「冨嶽三十六景」が風景画隆盛のきっかけとなる,,,,,
流派,1603,,,,1900,,,,安土桃山〜近代,琳派,一門ではなく私淑での繋がり　制作での厳密な決まりはないが平面的でデザイン性が強いという特徴がある,,,,,
作家・作品,1603,,,,,,,,江戸初期,俵屋宗達,絵画における琳派の祖,,,,,
作家・作品,1658,,,,,,,,1658,尾形光琳,琳派,,,,,
作家・作品,1761,,,,,,,,1761,酒井抱一,琳派,,,,,
主なジャンル,1620,,,,,,,,江戸中期,文人画（南画）,当時、専門の絵師以外にも絵を描く知識人（主に中国的な教養を身につけた人々）がいた　ありのままの風景ではなく対象の精神や作家自身の精神を表現する,,,,,
主なジャンル,1750,,,,,,,,江戸後期,写生画,文人画とは全く反対に、実際の風景や対象を見たまま描く,,,,,
作家・作品,1733,,,,,,,,1733,円山応挙,写生画を日本で大成させる,,,,,
作家・作品,1716,,,,,,,,1716?,伊藤若冲,京都で応挙と並ぶ人気を誇った絵師　狩野派に弟子入りするが肌に合わず写生画を描く,,,,,
日本における出来事,1868,,,,,,,,,明治維新,,,,,,
日本における出来事,1582,,,,,,,,,本能寺の変,,,,,,
作家・作品,600,,,,,,,,飛鳥,「捨身飼虎図」（玉虫厨子）,,,,,,
作家・作品,750,,,,,,,,奈良,「絵因果経」,巻物に見立てた書物である巻子本の下段に経文を書写し、上段に経文の内容を説明した絵画を描いたもの　絵巻の源流と言われる,,,,,
作家・作品,800,,,,,,,,平安,「両界曼荼羅」,「胎蔵界曼荼羅」と「金剛界曼荼羅」の両方を示す呼び方,,,,,
作家・作品,1539,,,,,,,,1539,長谷川等伯,画壇のトップにいた狩野派を脅かすほどの絵師であった,,,,,
作家・作品,1602,,,,,,,,1602,狩野探幽,狩野永徳の孫,,,,,
作家・作品,1716,,,,,,,,1716,与謝蕪村,文人画,,,,,
作家・作品,1745,,,,,,,,1745,浦上玉堂,文人画,,,,,
作家・作品,1793,,,,,,,,1793,渡辺崋山,文人画,,,,,
作家・作品,1752,,,,,,,,1752,呉春,写生画,,,,,
作家・作品,1754,,,,,,,,1754,長沢芦雪,写生画,,,,,
作家・作品,1747,,,,,,,,1747,司馬江漢,蘭学を日本に紹介　絵画制作に陰影や透視図法を取り入れ、日本で洋風画を開拓した重要人物,,,,,
作家・作品,1798,,,,,,,,1798,歌川国芳,浮世絵,,,,,
主なジャンル,1870,,,,,,,,,洋画,明治維新以降、西洋に追いつくために定着した　,,,,,
主なジャンル,1870,,,,,,,,,日本画,新興の洋画に対してこれまでの日本における伝統的な絵画の要素を受け継いでいるものを「日本画」と呼ぶようになる　,,,,,
作家・作品,1788,,,,,,,,1788,歌川国貞,,,,,,
