Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
Hubble,2020,1,1,,2020,1,16,,,1st提案_VI/KV/ロゴ,,,,,,
Hubble,2020,1,17,,2020,1,31,,,VI 、コンテンツ内容FIX,,,,,,
Hubble,2020,2,3,,2020,2,16,,,WEBデザイン,,,,,,
Hubble,2020,2,3,,2020,2,16,,,ムービー制作開始,,,,,,
Hubble,2020,2,17,,2020,3,30,,,WEBサイトディレクション,,,,,,
Hubble,2020,2,17,,2020,3,30,,,各種コンテンツ作成,,,,,,
Hubble,2020,4,13,,2020,4,19,,,展示会施工,,,,,,
Norel,2020,1,1,,2020,1,17,,,提案_VI/KV/ロゴ,,,,,,
Norel,2020,1,20,,2020,2,10,,,マイカー_デザイン制作（2/10〆）,,,,,,
Norel,2020,1,28,,2020,2,11,,,ロケハン~撮影,,,,,,
Norel,2020,2,15,,2020,2,26,,,0円_デザイン/冊子制作（2/26〆）,,,,,,
Norel,2020,3,2,,2020,3,6,,,会場設営~店舗オープン,,,,,,
Evering,2020,1,9,,2020,2,15,,,ロゴ制作（2月中旬）,,,,,,
Evering,2020,2,15,,2020,3,30,,,パッケージデザイン制作,,,,,,
Evering,2020,4,1,,2020,5,31,,,KV/ブランドムービー制作,,,,,,
Evering,2020,9,1,,2020,9,30,,,サイト公開,,,,,,
ファミマ,2020,1,20,,2020,1,30,,,ロゴ提案,,,,,,
ファミマ,2020,5,1,,2020,5,31,,,プレローンチ,,,,,,
ファミマ,2020,9,1,,2020,9,30,,,ローンチ,,,,,,
Ploom S,2020,2,15,,2020,2,30,,,方向性擦り合わせ,,,,,,
Ploom S,2020,2,30,,2020,3,15,,,提案,,,,,,
Ploom S,2020,5,1,,2020,5,15,,,WEBデザイン方向性,,,,,,
Ploom S,2020,5,15,,2020,6,15,,,納品,,,,,,
NIKE,2020,2,15,,2020,3,30,,,動き出し？！,,,,,,
