Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
一般,1995,,,,,,,,,松本サリン事件,,,,,,
一般,1995,,,,,,,,,阪神淡路大震災,,,,,,
一般,2001,9,,,,,,,,9.11,,,,,,
一般,1997,,,,,,,,,神戸連続児童殺傷事件,,,,,,
一般,2007,,,,,,,,,iphone発売,,,,,,
一般,2008,,,,,,,,,秋葉原通り魔事件,,,,,,
一般,2008,,,,,,,,,リーマン・ショック,,,,,,
一般,2000,,,,,,,,,西鉄バスジャック事件,,,,,,
一般,2004,,,,,,,,,ブログブーム,,,,,,
一般,2004,,,,,,,,,mixi,,,,,,
一般,2011,,,,,,,,,東日本大震災,,,,,,
一般,1999,,,,,,,,,2ちゃんねる設立,その後あめぞう掲示板が機能不全に陥り（1999年10月から11月）閉鎖したことで、より多くの利用者が2ちゃんねるに移動した。,,,,,
レーベル,2006,,,,now,,,,,講談社BOX,,,,,,
セカイ系,1995,10,,,,,,,,新世紀エヴァンゲリオン,,,,,,
セカイ系,2000,1,,,2002,10,,,,最終兵器彼女,漫画・2000年1月から2001年10月まで連載、テレビアニメ・2002年7月3日から同年10月9日に放送,,,,,
セカイ系,2002,2,,,,,,,,ほしのこえ,,,,,,
セカイ系,2010,,,,,,,,,セカイ系とは何か,,,,,,
セカイ系,2004,,,,,,,,,美少女ゲームの臨界点,,,,,,
セカイ系,2007,,,,,,,,,ゲーム的リアリズムの誕生~動物化するポストモダン2 ,,,,,,
セカイ系,2001,,,,,,,,,動物化するポストモダン オタクから見た日本社会 ,,,,,,
セカイ系,2008,,,,,,,,,ゼロ年代の想像力,,,,,,
ファウスト系,2001,,,,,,,,,ネガディブハッピー・チェーンソーエッヂ,"著・滝本竜彦／イラスト・安倍吉俊
角川文庫",,,,,
ラノベ単体,2004,12,,,,,,,,All You Need Is Kill ,,,,,,
ラノベ,1998,,,,now,,,,,ブギーポップは笑わない,,,,,,
ラノベ,1998,8,,,2010,8,,,,フルメタル・パニック！,2002年7月3日から同年10月9日に、中部日本放送・ファミリー劇場（7月2日から放送）で放送,,,,,
ラノベ,1998,,,,2012,4,,,,マリア様がみてる,"著・今野緒雪／イラスト・ひびき玲音
コバルト文庫",,,,,
セカイ系,1995,10,,,now,,,,,＜セカイ系＞,要考察,https://ja.wikipedia.org/wiki/%E3%82%BB%E3%82%AB%E3%82%A4%E7%B3%BB,,,,
ラノベ,2000,,,,now,,,,,キノの旅,"著・時雨沢恵一／イラスト・黒星紅白
電撃文庫",,,,,
ラノベ,2001,,,,2003,8,,,,イリヤの空、UFOの夏,著・秋山瑞人／イラスト・駒都えーじ電撃文庫,,,,,
ファウスト系,2002,,,,2005,11,,,,クビキリサイクル,"著・西尾維新／イラスト・竹
講談社ノベルス",,,,,
ファウスト系,2001,,,,,,,,,フリッカー式,佐藤友哉(講談社ノベルス・2001年),,,,,
ファウスト系,1995,8,,,now,,,,,メフィスト賞原稿募集開始,,https://ja.wikipedia.org/wiki/%E3%83%A1%E3%83%95%E3%82%A3%E3%82%B9%E3%83%88%E8%B3%9E,,,,
ラノベ,2002,,,,2011,10,,,,灼眼のシャナ,"著・高橋弥七郎／イラスト・いとうのいぢ
電撃文庫",,,,,
ファウスト系,2003,9,,,2011,9,,,,文芸誌ファウスト,,,,,,
ファウスト系,2001,,,,,,,,,煙か土か食い物,舞城王太郎,,,,,
ファウスト系,2004,,,,,,,,,好き好き大好き超愛してる。,舞城王太郎,,,,,
ファウスト系,2002,7,,,,,,,,GOTH リストカット事件,乙一,,,,,
レーベル,2004,,,,now,,,,,このライトノベルがすごい！創刊,,,,,,
レーベル,2011,1,,,now,,,,,星海社文庫創刊,,,,,,
レーベル,2011,4,,,now,,,,,星海社FICTIONS,,,,,,
