Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
171227_NRI/政治･社会,2019,5,1,,,,,,,改元,新天皇即位、新元号に改元,,,,,
171227_NRI/政治･社会,2019,9,20,,,,,,,ラグビーWcup日本開催,日本でラグビーワールドカップ2019開催[総務省],,,,,
171227_NRI/政治･社会,2019,10,1,,,,,,,消費税率10%引き上げ,消費税率10%引き上げ[財務省],,,,,
171227_NRI/政治･社会,2019,,,,,,,,2019年,参議院改選,,,,,,
171227_NRI/政治･社会,2019,,,,,,,,2019年,G20日本開催,G20首脳会議日本開催[外務省],,,,,
171227_NRI/政治･社会,2020,4,,,,,,,,オートライト義務化,自動車の自動点灯(オートライト)が新型車に義務化[国交省],,,,,
171227_NRI/政治･社会,2020,7,,,2020,9,,,,オリンピック日本開催,夏季オリンピック・パラリンピック日本開催,,,,,
171227_NRI/政治･社会,2020,,,,,,,,2020年,自動運転実用化,自動運転車を実用化[国交省],,,,,
171227_NRI/政治･社会,2020,,,,,,,,2020年,無人移動サービス実用化,高速道路での自動走行や限定地域での無人自動走行による移動サービス解禁[国交省],,,,,
171227_NRI/政治･社会,2020,4,1,,2021,3,31,,2020年度,新東名全線開通,新東名高速道路が全線開通(17年度時点で御殿場～厚木南が未開通),,,国土交通省,box,
171227_NRI/政治･社会,2022,,,,,,,,2022年,参議院改選,,,,,,
171227_NRI/政治･社会,2023,,,,,,,,2023年,日本総世帯数ピーク,日本の総世帯数がピークの5419世帯に[IPSS],,,,,
171227_NRI/政治･社会,2025,,,,,,,,2025年,日本高齢化率30%,日本の高齢化率(65歳以上)が30.0%に[IPSS],,,,,
171227_NRI/政治･社会,2025,,,,,,,,2025年,日本総人口1.22億人,日本の総人口が1億2254万人に減少[IPSS],,,,,
171227_NRI/政治･社会,2025,,,,,,,,2025年,日本75歳以上2千万人超,日本の75歳以上の人口が2千万人を超える[IPSS],,,,,
171227_NRI/政治･社会,2025,,,,,,,,2025年,団塊の世代75歳以上に,団塊の世代が全て75歳以上に[厚労省],,,,,
171227_NRI/政治･社会,2025,,,,,,,,2025年,東京都人口ピーク,"東京都の人口が1,398万人でピークに[東京都]",,,,,
171227_NRI/政治･社会,2025,4,1,,2026,3,31,,2025年度,年金受給65歳へ,男性の厚生年金の受給が65歳からに全面的に引き上げ[厚労省],,,,,
171227_NRI/政治･社会,2026,,,,,,,,2026年,アジア大会愛知開催,アジア競技大会愛知県開催[愛知県],,,,,
171227_NRI/政治･社会,2027,,,,,,,,2027年,リニア開業,リニア中央新幹線(東京～名古屋) 開業[国交省],,,,,
171227_NRI/政治･社会,2026,,,,2029,,,,2020年代後半までに,日本原発半数廃炉,日本の原発48基のうち約半数が廃炉に[経産相],,,,,
171227_NRI/政治･社会,2035,,,,,,,,2035年までに,全都道府県で世帯数減少,沖縄を除く46都道府県で世帯数が減少[IPSS],,,,,
171227_NRI/政治･社会,2042,,,,,,,,2042年,日本高齢人口ピーク,日本の高齢者人口が3935万人でピークを迎え、その後減少に転じる[IPSS],,,,,
171227_NRI/政治･社会,2045,,,,,,,,2045年までに,リニア関西まで開業,リニア中央新幹線(名古屋～大阪)開業[国交省],,,,,
171227_NRI/経済･産業,,,,,,,,,,,,,,,,
171227_NRI/経済･産業,,,,,,,,,,,,,,,,
171227_NRI/経済･産業,,,,,,,,,,,,,,,,
171227_NRI/経済･産業,,,,,,,,,,,,,,,,
171227_NRI/経済･産業,,,,,,,,,,,,,,,,
171227_NRI/経済･産業,,,,,,,,,,,,,,,,
171227_NRI/経済･産業,,,,,,,,,,,,,,,,
171227_NRI/経済･産業,,,,,,,,,,,,,,,,
171227_NRI/経済･産業,,,,,,,,,,,,,,,,
171227_NRI/経済･産業,,,,,,,,,,,,,,,,
