Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
日本の年号,1926,,,,1988,,,,,昭和,,,,,,
日本の年号,1912,,,,1926,,,,,大正,,,,,,
日本の年号,1868,,,,1912,,,,,明治,,,,,,
同窓会の設立,1821,,,,1950,,,,,同窓会の設立,,,,,,
出来事,1821,,,,,,,,,ウィリアムズ・カレッジ同窓会設立, 「教育を受けた母校の支援・援護・発展を目指して、支援体制を統合した卒業生組織」という目的で設立。内情は当時の学長と理事会の対立による母校の混乱収束のため。,,,,,
出来事,1826,,,,,,,,,プリンストン大学同窓会設立,「母校の利益と卒業生の親睦を深めるために」という目的。,,,,,
出来事,1840,,,,,,,,,ハーバード大学同窓会設立,,,,,,
出来事,1865,,,,,,,,,ハーバード大学が管理者理事会の選出を卒業生に委ねる,同窓会から卒業生理事を母校の理事会に送り出す動きの始まり,,,,,
出来事,1867,,,,,,,,,コーネル大学で「校友教育」が始まる,校友の役割を現役学生に伝えることで彼らが校友になったあとの母校への誘導が目的,,,,,
出来事,1868,,,,,,,,,ブラウン大学が同窓会支援機能の強化及び理事会の参加を決定,同窓会=読書会や社交が中心の集まり,,,,,
出来事,1868,,,,,,,,,ウィリアムズカレッジの卒業生が大学運営に参加,,,,,,
出来事,1872,,,,,,,,,イェール大学の卒業生が大学運営に参加,,,,,,
出来事,1880,,,,,,,,,ジョージタウン大学学長が自ら校友組織を組織化,同窓会の組織化=大学からの働きかけで設立,,,,,
出来事,1881,,,,,,,,,ジョージタウン大学の同窓会が正式に発足,,,,,,
出来事,1927,,,,,,,,,校友会の全国学会設立,,,,,,
出来事,1927,,,,,,,,,Daniel Grantによる校友行政調査,継続教育や生涯教育に関した研究,,,,,
出来事,1930,,,,,,,,,全米での同窓会総数が250まで増加する,,,,,,
