1,Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
,1,戦争・事変,0001,,,,,,,,,ラプラス事件,地球総人口は90億人を突破し、地球連邦政府は宇宙移民政策を開始。西暦をあらためて「宇宙世紀」を採用したが、その記念すべき元年元日に首相官邸ラプラスが宇宙ステーションごとテロ活動で爆破される。,,,,
,2,Events,0009,,,,,,,,,ジオン・ズム・ダイクン誕生,,,,,
,2,Events,0010,,,,,,,,,木星エネルギー船団が再編され、木星開発事業団発足,,,,,
,2,Events,0016,,,,,,,,,連邦政府、フロンティア開発移民移送局を設立,,,,,
,2,Events,0018,,,,,,,,,サイド２で１００万人目のスペースノイド誕生,,,,,
,2,Events,0022,,,,,,,,,連邦政府、地球上からの紛争の消滅を宣言,,,,,
,2,Events,0027,,,,,,,,,初の月面恒久都市、フォン・ブラウン市完成,,,,,
,2,Events,0030,,,,,,,,,連邦政府、フロンティア開発移民移送局を民営化。宇宙引越事業団発足,,,,,
,2,Events,0034,,,,,,,,,連邦政府、宇宙引越事業団を再編。ＮＧＯとして宇宙引越公社設立,,,,,
,2,Events,0035,,,,,,,,,サイド３建設開始,,,,,
,2,Events,0040,,,,,,,,,総人口の４０％(約５０億人)宇宙への移民完了,,,,,
,2,Events,0041,,,,,,,,,小惑星ユノー移動工事開始,,,,,
,2,Events,0044,,,,,,,,,総人口の半数が宇宙に移民。エレズム(地球は聖地として保護し人類は宇宙に住むべきという思想)の発生と定着。,,,,,
,2,Events,0045,,,,,,,,,"小惑星ユノー(後のルナツー)月軌道に定着。
サイド３にミノフスキー物理学会設立。サイド１、サイド２に移民完了",,,,,
,2,Events,0046,,,,,,,,,"ジオン・ズム・ダイクン｢コントリズム(サイド国家主義)｣提唱
宇宙移民の中でエレズムとコントリズムが融合。",,,,,
,2,Events,0047,,,,,,,,,ミノフスキー・イヨネスコ型熱核融合炉の開発開始,ミノフスキー・イヨネスコ型熱核反応炉の実験中、熱核融合炉内にて特殊な電磁波効果を発見。追試をおこなったがこれは非公開とされた。,,,,
,6,Develop,0047,,,,,,,,,M&Y社設立,,,,,
,2,Events,0050,,,,,,,,,総人口は１１０億人に達し、そのうち９０億人が宇宙に移民,,,,,
,2,Events,0051,,,,,,,,,連邦政府、新規コロニー開発計画の凍結を発表,,,,,
,2,Events,0052,,,,,,,,,ジオン・ズム・ダイクン、サイド３に移住。コントリズムを提唱、実践。サイド６までの移民完了,,,,,
,2,Events,0053,,,,,,,,,ジオン・ズム・ダイクン、サイド３の首相に選出される,,,,,
,2,Events,0055,,,,,,,,,シャルンホルスト・ブッホ、ブッホ・ジャンク・インク創業,,,,,
,2,Events,0058,,,,,,,,,"ジオン・ズム・ダイクン、サイド３独立宣言。ジオン共和国樹立。国防隊発足
サイド３に対する連邦の経済圧力
",,,,,
,2,Events,0059,,,,,,,,,サイド３に対し連邦政府経済圧力(バルド政策)。治安維持名目の宇宙軍設立,,,,,
,2,Events,0060,,,,,,,,,"連邦軍、６０年代軍備増強計画発動(特に宇宙艦隊の統制に力を注ぐ)
ルナツーの軍事基地化が行われる",,,,,
,2,Events,0060,,,,,,,,,"連邦軍、６０年代軍備増強計画発動(特に宇宙艦隊の統制に力を注ぐ)
ルナツーの軍事基地化が行われる",,,,,
,2,Events,0061,,,,,,,,,連邦軍、６１式戦車を正式採用。陸上兵器の主力とする,,,,,
,1,戦争・事変,0063,,,,,,,,,ジオン・ズム・ダイクン急死,地球連邦国家からの独立運動の象徴たるダイクンが、議会での対連邦重要演説中に急死してしまう。,,,,
,2,Events,0064,,,,,,,,,"連邦軍、６０年代軍備増強計画発動による新型艦を中心に観艦式を挙行。以後恒例化
ルナⅡの軍事基地化が行われる。",,,,,
,2,Events,0065,,,,,,,,,"ミノフスキー学会、熱核融合炉内における特殊電磁波効果発見。追試の結果は非公開
ジオン・ズム・ダイクンとザビ家との権力闘争が表沙汰になる",,,,,
,2,Events,0067,,,,,,,,,"連邦政府、コロニー自治権整備法案棄却
ジオン軍、熱核ロケットエンジンとメガ粒子砲の装備を前提とした新型戦艦の建艦計画を発令
サイド７建設計画発表",,,,,
,2,Events,0067,,,,,,,,,ジオン国防軍，国軍に昇格,,,,,
,2,Events,0068,,,,,,,,,"ジオン・ズム・ダイクン死亡(暗殺の可能性あり)次期首相はデギン・ソド・ザビ
シャルンホルスト・ブッホ、旧欧州の名家ロナ家の名を購入",,,,,
,2,Events,0069,3,,,,,,,,"ミノフスキー粒子の発見により、ミノフスキー物理学が完成
ジオン軍、ミノフスキー粒子の散布技術を確立",宇宙世紀0070年3月には宇宙空間でのミノフスキー粒子散布下における電磁波妨害をはじめとする、「ミノフスキー効果」と呼ばれるさまざまな特殊効果の公開確証実験に成功し、宇宙世紀0070年5月にはメガ粒子砲までをも完成させた。,,,,
,2,Events,0069,8,15,,,,,,,ジオン公国宣言,,,,,
,6,Develop,0070,3,,,,,,,,ミノフスキー効果」と呼ばれるさまざまな特殊効果の公開確証実験に成功,,,,,
,6,Develop,0070,5,,,,,,,,公国軍メガ粒子砲完成,,,,,
,6,Develop,0070,9,,,,,,,,連邦軍、７０年代軍備増強計画によるサラミス、マゼラン級の新型宇宙艦艇就役。,,,,,
,2,Events,0070,12,,,,,,,,サイド７建設のため、ルナⅡを月軌道の反対側へ移動,,,,,
,2,Events,0071,,,,,,,,,ジオン公国軍は2年間をかけてミノフスキー粒子散布下における新型兵器を開発するよう各企業に命令,,,,,
,6,Develop,0071,,,,,,,,,ジオン公国兵器開発局，小型核融合炉1号機完成,ミノフスキー効果時の新型兵器開発に着手（小型、高機動、重火力を満たすことを目的としたその兵器は、作業ポッドを発展させることから開発が始まった）,,,,
,2,Events,0072,,,,,,,,,ミノフスキー博士が地球連邦に亡命,"ミノフスキー博士は軍国主義の旗色濃いジオンにおいて、戦争へ利用されることを恐れ、宇宙世紀0072年に地球連邦政府へ亡命。ミノフスキー技術は連邦側へも伝わることとなる。
",,,,
,2,Events,0072,,,,,,,,,ジオン公国，アステロイドベルトに小惑星基地アクシズを建設．目的は鉱物資源の発掘および地球圏への宇宙要塞となる小惑星移動のため．,,,,,
,6,Develop,0073,,,,,,,,,ジオニック社の新型兵器・モビルスーツ1号機クラブマンが完成，ＭＳ－０１形式番号とモビルスーツ（ＭＳ）の呼称を与えられる。,,,,,
,6,Develop,0074,2,,,,,,,,ジオニック社，初の制式量産ミノフスキー型核融合炉搭載のＭＳ－０５ザクIが完成,,,,,
,6,Develop,0075,5,,,,,,,,公国軍、ＭＳ－０５ザクⅠの実戦型ロールアウト,,,,,
,,,0075,6,,,,,,,,キシリア・ザビ大佐指揮の実験モビルスーツ部隊である教導機動大隊が編成,,,,,
,6,Develop,0075,7,,,,,,,,公国軍、ムサイ級軽巡洋艦の一番艦就役。,,,,,
,6,Develop,0076,12,,,,,,,,公国軍、地球侵攻作戦を前提とした局地戦用ＭＳの開発に着手。,,,,,
,,Events,0077,,,,,,,,,ジオン公国、独立戦争の準備が急ピッチで進む。MS-05ザク部隊、サイド6革命の武力援助で実戦へ,,,,,
,,Develop,0077,,,,,,,,,連邦軍、ジオンのMS技術を入手。MS兵器RX-75ガンタンク試作1号機の完成。,,,,,
,,Develop,0077,,,,,,,,,連邦軍、陸上機動兵器の開発に着手,,,,,
,6,Develop,0078,1,,,,,,,,公国軍、ザクの強化型、ＭＳ－０６ザクⅡの量産を開始する。,,,,,
,2,Events,0078,5,,,,,,,,サイド７第１号コロニー（グリーンノア）、未完成ながら移民が開始される。,,,,,
,,Develop,0078,5,,,,,,,,ジオン軍で開発中だった、陸戦、局地戦用、水中戦用のMS兵器の試作機が完成。MS兵器以上の火力を有する機動兵器の開発にも着手（後のモビルアーマー）,,,,,
,2,Events,0078,10,,,,,,,,ジオン公国、国家総動員令発令。,宇宙艦艇を国軍の主力とするドズル・ザビ少将の宇宙攻撃軍と、モビルスーツが主要兵器とするキシリア・ザビ大佐の突撃機動軍に二分される（両司令官はそれぞれ中将と少将に昇進）**,,,,
,1,戦争・事変,0079,1,3,,0080,1,1,,,一年戦争,サイド３がジオン公国を名乗り、地球連邦政府に独立を宣言。モビルスーツ“ザク”の部隊によってコロニーを地上へ落とす奇襲戦法で開戦した。連邦軍もモビルスーツ“ガンダム”を開発し、戦争は激化する。年初から年末にわたる戦いだったため、この呼び名がある。,,,,
,2,Events,0079,1,10,,,,,,,"サイド2「アイランド・イフィッシュ」の一部、シドニーへ落下。
コロニー落下以降の気象異変に乗じて、ジオン軍は大量の地上部隊を地上に降ろす（試作の水陸両用MS）",開戦からコロニー落下までを「一週間戦争」という。,,,,
,2,Events,0079,1,11,,,,,,,サイド6、中立を宣言。,1月17日とも。,,,,
,2,Events,0079,1,15,,0079,1,16,,,ルウム戦役,ジオン公国軍シャア・アズナブル中尉、戦艦5隻を撃沈。「赤い彗星」の異名をとる。,,,,
,2,Events,0079,1,16,,,,,,,黒い三連星、地球連邦軍レビル将軍を拿捕。,,,,,
,3,E.F.S.F.,0079,1,22,,,,,,,レビル将軍奪還作戦を開始。,,,,,
,1,戦争・事変,0079,1,3,,0079,1,10,,,一週間戦争,,,,,
,2,Events,0079,1,3,7:20,,,,,,ジオン公国、地球連邦政府に宣戦を布告。,宣戦布告と同時に先制攻撃。月面都市グラナダを制圧。サイド1・2・4に対して毒ガス攻撃（NBC兵器無差別投入）を敢行。,,,,
,2,Events,0079,1,31,,,,,,,レビル将軍がジオン本国を脱出。「ジオンに兵なし」演説。,,,,,
,2,Events,0079,1,31,,,,,,,「南極条約」締結。,本来は休戦条約となる予定であったが、レビル将軍の演説の影響で戦時条約へと変更。,,,,
,2,Events,0079,1,4,,,,,,,ジオン公国、「ブリティッシュ作戦」発動。,サイド2「アイランド・イフィッシュ」を、地球連邦軍本部ジャブローに向けて落下させる。,,,,
,,Events,0079,2,22,,,,,,,第2次降下作戦,,,,,
