Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
日本の年号,2019,,,,2060,,,,,令和,実際には年号は出ないため、時間経過の目安としてみてほしい,,,,,
日本の年号,1989,,,,2018,,,,,平成,,,,,,
日本の年号,1926,,,,1988,,,,,昭和,,,,,,
日本の年号,1868,,,,1912,,,,,明治,,,,,,
日本の歴史,1894,8,1,,1895,4,17,,,日清戦争勃発,,,,,,
人物,1894,12,20,,now,,,,,怪,旧校舎編の主人公　胎児から生まれた怪異,,,,,
人物,1911,4,6,,1962,10,30,,,先生(幽),志高き教師。ふくろにより殺害,,,,,
日本の年号,1912,,,,1926,,,,,大正,,,,,,
人物,1923,9,1,,2013,8,12,,,あかね,あかね屋の看板娘、あやねの祖母。,,,,,
人物,1925,3,6,,1938,7,15,,,れいこ,普通に陰気な中学生。ふくろに食われて死亡,,,,,
人物,1938,7,16,,now,,,,,霊子,霊として爆誕。怪くんのところに押しかけ女房,,,,,
人物,1940,1,11,,now,,,,,豪傑,,,,,,
人物,1949,1,11,,now,,,,,クール祖父,,,,,,
人物,1952,1,11,,now,,,,,灯子,熱血のおばあちゃん,,,,,
人物,1955,1,11,,now,,,,,涼子,クールのおばあちゃん,,,,,
人物,1962,10,30,,now,,,,,幽,志ヤバき幽霊。自身を警察だと誤認している,,,,,
人物,1977,4,30,,now,,,,,豪快,熱血くんの父,,,,,
人物,1995,7,1,,now,,,,,あやね,こさめの友達、現あかね屋の看板娘。最近ペットを亡くした,,,,,
人物,1995,7,1,,now,,,,,こさめ,おいらせシリーズの主人公(の姉),,,,,
人物,2000,3,16,,now,,,,,熱血,熱血編の主人公,,,,,
人物,2000,3,16,,now,,,,,クール,熱血編の主人公,,,,,
出来事,1938,7,16,,,,,,,霊子誕生、怪との出会い,ふくろに襲われ人間のれいこは死亡。校舎前で殺され自爆霊の霊子として新たに誕生する,,,,,
出来事,2013,5,12,,,,,,,ますく誕生,"あかね屋の店主が殺される事件と犬が電車にひかれる事件
真相は…",,,,,
日本の歴史,1904,2,10,,1905,9,5,,,日露戦争勃発,,,,,,
日本の歴史,1914,7,28,,1918,11,11,,,第1次世界大戦勃発,,,,,,
