Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
丑野毅,1991,,,,,,,,,レプリカ法による土器圧痕の観察,PDF確保済。読了。,,,,,
安達香織,2017,,,,,,,,,青森県内遺跡出土の縄紋時代中期後葉～後期初頭の土器から得られた幼虫圧痕について,PDF確保済。,,,,,
丑野毅,2009,,,,,,,,,上黒岩遺跡出土繊維土器のレプリカ法による観察,PDF確保済。読了。,,,,,
遠藤英子,2016,,,,,,,,,栽培穀物からみた、日本列島における農耕開始期の様相,PDF確保済。,,,,,
安藤広道,2006,,,,,,,,,先史時代の植物遺体・土器圧痕の分析をめぐる覚書,,,,,,
安藤広道,2016,,,,,,,,,コクゾウムシは何をたべたか,,,,,,
安藤広道,2012,,,,,,,,,大倉精神文化研究所内遺跡（太尾遺跡）及び出土遺物の考察,,,,,,
会田進ほか,2017,,,,,,,,,アズキ亜属種子が多量に混入する縄文土器と種実が多量に混入する意味,,,,,,
山本華ほか,2017,,,,,,,,,東京都下野谷遺跡における縄文時代中期の植物資源利用,,,,,,
守屋亮,2014,,,,,,,,,種実圧痕の定量分析に関する予察―補填財重量の検討―,,,,,,
遠藤英子,2014,,,,,,,,,種実由来土器圧痕の解釈について,,,,,,
小畑弘己,2010,,,,,,,,,縄文時代におけるアズキ・ダイズの栽培について,,,,,,
小畑弘己,2006,,,,,,,,,レプリカ法による長崎県権現脇遺跡出土土器圧痕の種子類の同定,,,,,,
小畑弘己,2012,,,,,,,,,イネを食べなかった縄文時代のコクゾウムシ,,,,,,
小畑弘己,2007,,,,,,,,,レプリカ法による長崎県権現脇遺跡出土土器圧痕の種子類の同定Ⅱ,,,,,,
中沢道彦,2009,,,,,,,,,縄文農耕論をめぐって―栽培種植物種子の検証を中心に―,,,,,,
中沢道彦,2011,,,,,,,,,長野県荒神沢遺跡出土縄文時代晩期後期土器のアワ・キビ圧痕の評価に向けて,,,,,,
中沢道彦,2012,,,,,,,,,レプリカ法による静岡県富士市山王遺跡出土土器の種実圧痕の観察とその評価,,,,,,
中沢道彦,2013,,,,,,,,,レプリカ法による近畿・東海・北陸・中部高地の調査成果とその評価,,,,,,
中山誠二,2018,,,,,,,,,縄文土器に残る圧痕から栽培植物の起源を探る,,,,,,
中山誠二,2014,,,,,,,,,日韓における穀物農耕の起源,,,,,,
那須浩郎,2015,,,,,,,,,土器種実圧痕の焼成実験報告,,,,,,
佐々木由香ほか,2010,,,,,,,,,レプリカ法による土器種実圧痕の同定,,,,,,
佐々木由香ほか,2010,,,,,,,,,神奈川県平沢同明遺跡出土土器圧痕出土土器圧痕からみた弥生時代前期後半の栽培植物,,,,,,
小畑弘己,2014,,,,,,,,,圧痕レプリカ法からみた下宅部遺跡の種実利用,,,,,,
佐々木由香ほか,2010,,,,,,,,,土坑から出土した炭化種実同定,,,,,,
中沢道彦,2014,,,,,,,,,先史時代の初期農耕を考える―レプリカ法の実践から―,,,,,,
高瀬克範,2010,,,,,,,,,レプリカ・セム法による先史時代の植物利用に関する基礎的研究―青森県域出土土器を対象として―．,,,,,,
吉崎昌一,2003,,,,,,,,,先史時代の雑穀：ヒエとアズキの考古植物学,,,,,,
中山誠二,2010,,,,,,,,,考古学から見た栽培植物と農耕の起源,,,,,,
中沢道彦ほか,2002,,,,,,,,,山梨県韮崎市中道遺跡出土の大麦圧痕土器について--レプリカ法による縄文時代晩期土器の籾状圧痕の観察(2),,,,,,
中沢道彦ほか,1998,,,,,,,,,レプリカ法による縄文時代晩期土器の籾状圧痕の観察,,,,,,
渡部忠世,1998,,,,,,,,,板屋Ⅲ遺跡出土縄文土器片付着の圧痕について,,,,,,
山崎純男,2005,,,,,,,,,西日本農耕論,,,,,,
小畑弘己ほか,2007,,,,,,,,,土器圧痕からみた縄文時代後・晩期における九州のダイズ栽培,,,,,,
佐々木由香ほか,2009,,,,,,,,,「長野県石行遺跡と神奈川県中屋敷遺跡出土土器における 縄文晩期終末から弥生前期のアワ圧痕の同定,,,,,,
小畑弘己,2015,,,,,,,,,,読了,,,,,
小畑弘己,2019,,,,,,,,,,読了,,,,,
安藤広道,2005,,,,,,,,,日本列島の初期稲作技術を理解するために 東アジア的視点からの基礎整理 ,,,,,,
