Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
日本の年号,1989,,,,2019,4,30,,,平成,,,,,,
サービス,2005,12,,,now,,,,,Youtube,大規模動画投稿、閲覧サイト,https://ja.wikipedia.org/wiki/YouTube,,,,
サービス,1995,1,,,now,,,,,インターネット回線,日本での利用し始めを参考にしています。,https://ja.wikipedia.org/wiki/%E3%82%A4%E3%83%B3%E3%82%BF%E3%83%BC%E3%83%8D%E3%83%83%E3%83%88,,,,
サービス,1990,5,30,,2017,10,1,,,2ch,日本内での電子掲示板サイト　BBS,https://ja.wikipedia.org/wiki/2%E3%81%A1%E3%82%83%E3%82%93%E3%81%AD%E3%82%8B,,,,
サービス,1995,8,20,,now,,,,,テレホーダイ,電話回線を利用したインターネットサービス　パソコンでのwebページ閲覧などが可能になる。,https://ja.wikipedia.org/wiki/%E3%83%86%E3%83%AC%E3%83%9B%E3%83%BC%E3%83%80%E3%82%A4,,,,
サービス,1999,2,,,2016,11,2,,,i-mode,NTTドコモが運営するメール、携帯でのwebページ閲覧が出来るサービス,https://ja.wikipedia.org/wiki/I%E3%83%A2%E3%83%BC%E3%83%89,,,,
骨董品となった機器,1982,12,,,now,,,,,テレホンカード式公衆電話,不特定多数が利用できる公共の電話機,https://ja.wikipedia.org/wiki/%E6%97%A5%E6%9C%AC%E3%81%AE%E5%85%AC%E8%A1%86%E9%9B%BB%E8%A9%B1#%E6%98%8E%E6%B2%BB%E6%9C%9F%E3%82%88%E3%82%8A%E6%88%A6%E5%BE%8C%E3%81%BE%E3%81%A7,,,,
骨董品となった機器,1987,,,,1996,,,,,ポケベル,ここでは数桁の数字を送れる機種のサービスの開始から最盛期を期間とする。,https://ja.wikipedia.org/wiki/%E7%84%A1%E7%B7%9A%E5%91%BC%E3%81%B3%E5%87%BA%E3%81%97,,,,
骨董品となった機器,1994,,,,2004,,,,,フィーチャー・フォン（ガラパゴス携帯含む）,小型携帯からスマートフォン登場までの最盛期の期間を参考。,https://ja.wikipedia.org/wiki/%E3%83%95%E3%82%A3%E3%83%BC%E3%83%81%E3%83%A3%E3%83%BC%E3%83%BB%E3%83%95%E3%82%A9%E3%83%B3,,,,
骨董品となった機器,1995,,,,2006,,,,,PHS,簡易型携帯電話サービス NTTが一般利用を開始からNTTなどの大手会社がサービス終了を目処に期間を記載。,,,,,
骨董品となった機器,1983,,,,,,,,,ブラウン管TV,,,,,,
